pmid	doi	year	title	Hugo_Symbol
31516393	10.1186/s12935-019-0954-3	2022	Development of transplantable B-cell lymphomas in the MHC-defined miniature swine model.	PRKDC
33615686	10.1002/kjm2.12352	2022	The depletion of Circ-PRKDC enhances autophagy and apoptosis in T-cell acute lymphoblastic leukemia via microRNA-653-5p/Reelin mediation of the PI3K/AKT/mTOR signaling pathway.	PRKDC
33974997	10.1016/j.ymthe.2021.05.006	2022	Self-driving armored CAR-T cells overcome a suppressive milieu and eradicate CD19<sup>+</sup> Raji lymphoma in preclinical models.	PRKDC
34158342	10.1158/1535-7163.MCT-21-0074	2022	Targeting TfR1 with the ch128.1/IgG1 Antibody Inhibits EBV-driven Lymphomagenesis in Immunosuppressed Mice Bearing EBV<sup>+</sup> Human Primary B-cells.	PRKDC
35255940	10.1186/s12967-022-03317-7	2022	Lenvatinib inhibits the growth of gastric cancer patient-derived xenografts generated from a heterogeneous population.	PRKDC
35400595	10.1016/j.jcyt.2022.02.006	2022	CCR7 expression in CD19 chimeric antigen receptor-engineered natural killer cells improves migration toward CCL19-expressing lymphoma cells and increases tumor control in mice with human lymphoma.	PRKDC
35411036	10.1038/s41388-022-02301-1	2022	Novel TENM3-ALK fusion is an alternate mechanism for ALK activation in neuroblastoma.	PRKDC
35659513	10.1016/j.canlet.2022.215762	2022	CD147-specific chimeric antigen receptor T cells effectively inhibit T cell acute lymphoblastic leukemia.	PRKDC
30546948	10.1080/2162402X.2018.1512455	2021	Ibrutinib significantly inhibited Bruton's tyrosine kinase (BTK) phosphorylation,<i>in-vitro</i> proliferation and enhanced overall survival in a preclinical Burkitt lymphoma (BL) model.	PRKDC
31736441	10.1177/0300985819882631	2021	Morphologic and Immunohistochemical Characterization of Spontaneous Lymphoma/Leukemia in NSG Mice.	PRKDC
32202225	10.1177/0300985820913265	2021	Spectrum of Posttransplant Lymphoproliferations in NSG Mice and Their Association With EBV Infection After Engraftment of Pediatric Solid Tumors.	PRKDC
32938796	10.1126/scitranslmed.aba5942	2021	B cell acute lymphoblastic leukemia cells mediate RANK-RANKL-dependent bone destruction.	PRKDC
33106625	10.1038/s41375-020-01068-2	2021	Xenograft and cell culture models of Sézary syndrome reveal cell of origin diversity and subclonal heterogeneity.	PRKDC
33593826	10.1136/jitc-2020-001524	2021	Nanoencapsulated rituximab mediates superior cellular immunity against metastatic B-cell lymphoma in a complement competent humanized mouse model.	PRKDC
30623002	10.1016/j.omtm.2018.11.010	2020	Development of a Novel Anti-CD19 Chimeric Antigen Receptor: A Paradigm for an Affordable CAR T Cell Production at Academic Institutions.	PRKDC
31967647	10.1093/jpids/piaa005	2020	A 4-Year-Old Boy With Prolonged Cough and Fever.	PRKDC
