pmid	doi	year	title	Hugo_Symbol
29311820	10.3389/fnmol.2017.00432	2022	Activation of Autophagy Contributes to Sevoflurane-Induced Neurotoxicity in Fetal Rats.	PTEN
29594222	10.1016/j.ctro.2017.09.006	2022	The impact of the IGF-1 system of cancer cells on radiation response - An <i>in vitro</i> study.	PTEN
31572063	10.1186/s12935-019-0960-5	2022	Ethanol extract of <i>Ligustrum lucidum Ait.</i> leaves suppressed hepatocellular carcinoma in vitro and in vivo.	PTEN
32393046	10.1080/09603123.2020.1757043	2022	The expression of microRNAs and exposure to environmental contaminants related to human health: a review.	PTEN
32431543	10.2147/CMAR.S242903	2022	Clinicopathological Characteristics and Mutational Profiling of Adult T-Cell Lymphoblastic Lymphoma in a Chinese Population.	PTEN
32606772	10.2147/OTT.S250233	2022	HDAC1/2 Inhibitor Romidepsin Suppresses DEN-Induced Hepatocellular Carcinogenesis in Mice.	PTEN
33404293	10.1080/15548627.2020.1871204	2022	BNIP3L-mediated mitophagy is required for mitochondrial remodeling during the differentiation of optic nerve oligodendrocytes.	PTEN
33458694	10.1158/2643-3230.BCD-20-0201	2022	A Tumor Suppressor Enhancer of <i>PTEN</i> in T-cell development and leukemia.	PTEN
34046322		2022	Cytotoxic effects of hydroalcoholic extract of <i>Cuscuta chinensis</i> on PC3 and MCF7 cancer cell lines.	PTEN
34217275	10.1186/s12920-021-01023-9	2022	Hypodiploidy in a pediatric patient of T-cell acute lymphoblastic leukemia: a case report.	PTEN
34396903	10.1080/10428194.2021.1965139	2022	Response to everolimus in a patient with refractory HGBL-NOS harboring multiple genomic aberrations in PTEN.	PTEN
34669944	10.1093/mtomcs/mfab058	2022	Maternal selenium deficiency suppresses proliferation, induces autophagy dysfunction and apoptosis in the placenta of mice.	PTEN
34708625	10.19852/j.cnki.jtcm.2021.05.003	2022	Mechanism of total glucosides from Chishao (Radix Paeoniae Rubra) on proliferation and apoptosis of hepatocellular carcinoma cells via phosphatase and tensin homolog deleted on chromosome ten / phosphatidylinositol 3-kinase / protein kinase B signaling pathway.	PTEN
34750354	10.1038/s41419-021-04353-9	2022	Cooperative miRNA-dependent PTEN regulation drives resistance to BTK inhibition in B-cell lymphoid malignancies.	PTEN
34814054	10.1016/j.tice.2021.101674	2022	Mechanism of IDH1-R132H mutation in T cell acute lymphoblastic leukemia mouse model via the Notch1 pathway.	PTEN
34831026	10.3390/cells10112803	2022	Fluctuations in AKT and PTEN Activity Are Linked by the E3 Ubiquitin Ligase cCBL.	PTEN
