pmid	doi	title	Hugo_Symbol
35806064	10.3390/ijms23137060	Biochemical, Enzymatic, and Computational Characterization of Recurrent Somatic Mutations of the Human Protein Tyrosine Phosphatase PTP1B in Primary Mediastinal B Cell Lymphoma.	PTPN1
34657149	10.1182/blood.2020008136	Tyrosine phosphatases regulate resistance to ALK inhibitors in ALK+ anaplastic large cell lymphoma.	PTPN1
34606417	10.1080/21655979.2021.1988376	Protein tyrosine phosphatase 1B(PTP1B) promotes melanoma cells progression through Src activation.	PTPN1
33382412	10.1093/carcin/bgaa144	The PTP1B mutant PTP1B∆2-4 is a positive regulator of the JAK/STAT signalling pathway in Hodgkin lymphoma.	PTPN1
32079702	10.3324/haematol.2019.237719	Targeted genotyping of circulating tumor DNA for classical Hodgkin lymphoma monitoring: a prospective study.	PTPN1
31774495	10.1182/blood.2019001904	Gene alterations in epigenetic modifiers and JAK-STAT signaling are frequent in breast implant-associated ALCL.	PTPN1
31622281	10.1172/jci.insight.131434	A unique mutator phenotype reveals complementary oncogenic lesions leading to acute leukemia.	PTPN1
31331250	10.2217/pme-2018-0068	Bioinformatic validation identifies candidate key genes in diffuse large-B cell lymphoma.	PTPN1
29650799	10.1182/blood-2017-11-814913	Pervasive mutations of JAK-STAT pathway genes in classical Hodgkin lymphoma.	PTPN1
28245838	10.1186/s13045-017-0431-1	Spectrum of somatic mutations detected by targeted next-generation sequencing and their prognostic significance in adult patients with acute lymphoblastic leukemia.	PTPN1
28082443	10.1182/blood-2016-06-720516	A novel PTPN1 splice variant upregulates JAK/STAT activity in classical Hodgkin lymphoma cells.	PTPN1
27268263	10.1182/blood-2015-11-683003	Comprehensive characterization of programmed death ligand structural rearrangements in B-cell non-Hodgkin lymphomas.	PTPN1
26817397	10.1016/j.cyto.2015.12.025	TC-PTP and PTP1B: Regulating JAK-STAT signaling, controlling lymphoid malignancies.	PTPN1
26599546	10.1371/journal.pone.0139663	Genomic Landscape of Primary Mediastinal B-Cell Lymphoma Cell Lines.	PTPN1
25617799	10.1016/j.canlet.2015.01.020	PTP1B promotes cell proliferation and metastasis through activating src and ERK1/2 in non-small cell lung cancer.	PTPN1
25057888	10.1042/BJ20140712	The molecular regulation of Janus kinase (JAK) activation.	PTPN1
24706663	10.1158/2159-8290.CD-RW2014-048	PTPN1 is recurrently mutated in lymphoid cancers.	PTPN1
24531327	10.1038/ng.2900	Recurrent somatic mutations of PTPN1 in primary mediastinal B cell lymphoma and Hodgkin lymphoma.	PTPN1
23274914	10.1007/s11418-012-0735-y	A polybromodiphenyl ether from an Indonesian marine sponge Lamellodysidea herbacea and its chemical derivatives inhibit protein tyrosine phosphatase 1B, an important target for diabetes treatment.	PTPN1
22890838	10.1002/ijc.27774	High-resolution genomic profiling reveals clonal evolution and competition in gastrointestinal marginal zone B-cell lymphoma and its large cell variant.	PTPN1
21144060	10.1186/1471-2121-11-99	3D nuclear organization of telomeres in the Hodgkin cell lines U-HO1 and U-HO1-PTPN1: PTPN1 expression prevents the formation of very short telomeres including ""t-stumps"".	PTPN1
18716132	10.1182/blood-2008-03-148726	PTP1B is a negative regulator of interleukin 4-induced STAT6 signaling.	PTPN1
16267035	10.1158/0008-5472.CAN-05-1353	Genetic ablation of protein tyrosine phosphatase 1B accelerates lymphomagenesis of p53-null mice through the regulation of B-cell development.	PTPN1
15591113	10.1182/blood-2004-10-3820	Distinct IL-4-induced gene expression, proliferation, and intracellular signaling in germinal center B-cell-like and activated B-cell-like diffuse large-cell lymphomas.	PTPN1
11832424	10.1152/ajprenal.00184.2001	Altered regulation of SHP-2 and PTP 1B tyrosine phosphatases in cystic kidneys from bcl-2 -/- mice.	PTPN1
28082443	10.1182/blood-2016-06-720516	A novel PTPN1 splice variant upregulates JAK/STAT activity in classical Hodgkin lymphoma cells.	PTPN1
25617799	10.1016/j.canlet.2015.01.020	PTP1B promotes cell proliferation and metastasis through activating src and ERK1/2 in non-small cell lung cancer.	PTPN1
24706663	10.1158/2159-8290.CD-RW2014-048	PTPN1 is recurrently mutated in lymphoid cancers.	PTPN1
24531327	10.1038/ng.2900	Recurrent somatic mutations of PTPN1 in primary mediastinal B cell lymphoma and Hodgkin lymphoma.	PTPN1
23499906	10.1016/j.cellsig.2013.02.020	Control of ALK (wild type and mutated forms) phosphorylation: specific role of the phosphatase PTP1B.	PTPN1
26817397	10.1016/j.cyto.2015.12.025	TC-PTP and PTP1B: Regulating JAK-STAT signaling, controlling lymphoid malignancies.	PTPN1
18716132	10.1182/blood-2008-03-148726	PTP1B is a negative regulator of interleukin 4-induced STAT6 signaling.	PTPN1
18636124	10.1371/journal.pone.0002816	Polymorphisms in the estrogen receptor 1 and vitamin C and matrix metalloproteinase gene families are associated with susceptibility to lymphoma.	PTPN1
