pmid	doi	year	title	Hugo_Symbol
29657712	10.12688/f1000research.13826.1	2022	Recent advances in understanding the biology of marginal zone lymphoma.	PTPRD
35123209	10.1016/j.esmoop.2021.100337	2022	Real-world circulating tumor DNA analysis depicts resistance mechanism and clonal evolution in ALK inhibitor-treated lung adenocarcinoma patients.	PTPRD
35592856	10.3389/fmed.2022.808378	2022	A Somatic Mutation Signature Predicts the Best Overall Response to Anti-programmed Cell Death Protein-1 Treatment in Epidermal Growth Factor Receptor/Anaplastic Lymphoma Kinase-Negative Non-squamous Non-small Cell Lung Cancer.	PTPRD
32732678	10.1097/PPO.0000000000000463	2021	Marginal Zone Lymphomas.	PTPRD
33206936	10.1182/blood.2020005650	2021	Genomic and transcriptomic correlates of Richter transformation in chronic lymphocytic leukemia.	PTPRD
27335277	10.1182/blood-2016-02-696757	2017	The genetics of nodal marginal zone lymphoma.	PTPRD
25189415	10.1038/leu.2014.264	2015	The mutational pattern of primary lymphoma of the central nervous system determined by whole-exome sequencing.	PTPRD
23991058	10.1371/journal.pone.0072182	2014	Breakpoint features of genomic rearrangements in neuroblastoma with unbalanced translocations and chromothripsis.	PTPRD
22367537	10.1038/nature10910	2012	Sequencing of neuroblastoma identifies chromothripsis and defects in neuritogenesis genes.	PTPRD
20544841	10.1002/gcc.20780	2010	High resolution analysis of follicular lymphoma genomes reveals somatic recurrent sites of copy-neutral loss of heterozygosity and copy number alterations that target single genes.	PTPRD
19424578	10.3892/ijo_00000290	2009	Molecular allelokaryotyping of relapsed pediatric acute lymphoblastic leukemia.	PTPRD
