pmid	doi	year	title	Hugo_Symbol
30935402	10.1186/s13045-019-0716-7	2020	Molecular pathogenic pathways in extranodal NK/T cell lymphoma.	PTPRK
29966370	10.3390/ijms19071931	2018	The Genomics and Molecular Biology of Natural Killer/T-Cell Lymphoma: Opportunities for Translation.	PTPRK
26432421	10.1002/cam4.551	2016	Whole-exome sequencing of breast cancer, malignant peripheral nerve sheath tumor and neurofibroma from a patient with neurofibromatosis type 1.	PTPRK
25612622	10.1182/blood-2014-07-588970	2015	Receptor-type tyrosine-protein phosphatase κ directly targets STAT3 activation for tumor suppression in nasal NK/T-cell lymphoma.	PTPRK
24045499	10.1038/leu.2013.270	2014	DNA methylation of membrane-bound tyrosine phosphatase genes in acute lymphoblastic leukaemia.	PTPRK
24612100	10.1111/cas.12388	2014	High-resolution genomic copy number profiling of primary intraocular lymphoma by single nucleotide polymorphism microarrays.	PTPRK
17720884	10.1182/blood-2006-11-059881	2008	Down-regulation of the TGF-beta target gene, PTPRK, by the Epstein-Barr virus encoded EBNA1 contributes to the growth and survival of Hodgkin lymphoma cells.	PTPRK
18287131	10.3324/haematol.12251	2008	Detection of somatic quantitative genetic alterations by multiplex polymerase chain reaction for the prediction of outcome in diffuse large B-cell lymphomas.	PTPRK
18645192	10.1200/JCO.2008.16.1455	2008	Del(6)(q22) and BCL6 rearrangements in primary CNS lymphoma are indicators of an aggressive clinical course.	PTPRK
12591717		2003	Novel tumor suppressor loci on 6q22-23 in primary central nervous system lymphomas.	PTPRK
