pmid	doi	year	title	Hugo_Symbol
34226971	10.1007/s00428-021-03148-9	2022	Transdifferentiation of mantle cell lymphoma into sarcoma with limited neuromuscular differentiation after conventional chemotherapy.	RB1
34551361	10.1016/j.jep.2021.114656	2022	Chinese patent medicine Aidi injection for cancer care: An overview of systematic reviews and meta-analyses.	RB1
34657128	10.1038/s41375-021-01448-2	2022	Prognostic impact of chromosomal abnormalities and copy number alterations in adult B-cell precursor acute lymphoblastic leukaemia: a UKALL14 study.	RB1
35609408	10.1016/j.lungcan.2022.05.002	2022	Neuroendocrine transformation from EGFR/ALK-wild type or TKI-naïve non-small cell lung cancer: An under-recognized phenomenon.	RB1
35896160	10.1111/1759-7714.14592	2022	Genotyping of cerebrospinal fluid in lung cancer patients with leptomeningeal metastasis.	RB1
35982972	10.3389/fonc.2022.835965	2022	Retinoblastoma in Adults: Clinical Features, Gene Mutations and Treatment Outcomes: <i>A Study of Six Cases</i>.	RB1
32908255	10.1038/s41379-020-00669-7	2021	The survival impact of CKS1B gains or amplification is dependent on the background karyotype and TP53 deletion status in patients with myeloma.	RB1
33541390	10.1186/s13039-020-00526-x	2021	Bi-allelic amplification of ATM gene in blastoid variant of mantle cell lymphoma: a novel mechanism of inactivation due to chromoanagenesis?	RB1
33563892	10.1038/s41392-020-00412-3	2021	Whole-exome mutational landscape of neuroendocrine carcinomas of the gallbladder.	RB1
34232939	10.1097/CAD.0000000000001094	2021	Coexistence of a secondary STRN-ALK, EML4-ALK double-fusion variant in a lung adenocarcinoma patient with EGFR mutation: a case report.	RB1
34340673	10.1186/s12885-021-08635-5	2021	Clinical application of whole transcriptome sequencing for the classification of patients with acute lymphoblastic leukemia.	RB1
34371436	10.1016/j.leukres.2021.106683	2021	Proposal and clinical application of molecular genetic risk scoring system, MRplus, for BCR-ABL1 negative pediatric B-cell acute lymphoblastic leukemia- report from a single centre.	RB1
34440292	10.3390/genes12081118	2021	T-Cell Acute Lymphoblastic Leukemia: Biomarkers and Their Clinical Usefulness.	RB1
34729013	10.2147/OTT.S323700	2021	<i>ALK</i> Rearrangement in Small-Cell Lung Cancer and Durable Response to Alectinib: A Case Report.	RB1
31885322	10.1080/15384101.2019.1706903	2020	The double dealing of cyclin D1.	RB1
31931161	10.1016/j.jep.2019.112536	2020	Baoyuan decoction ameliorates apoptosis via AT1-CARP signaling pathway in H9C2 cells and heart failure post-acute myocardial infarction rats.	RB1
31992242	10.1186/s12887-020-1923-7	2020	Survival and ocular preservation in a long-term cohort of Japanese patients with retinoblastoma.	RB1
32245383	10.1186/s12920-020-0709-y	2020	Comprehensive chromosomal aberrations in a case of a patient with TCF3-HLF-positive BCP-ALL.	RB1
32345961	10.1038/s41408-020-0310-9	2020	DNA methylation and copy number variation profiling of T-cell lymphoblastic leukemia and lymphoma.	RB1
32592278	10.1002/gcc.22882	2020	Frequency and prognostic impact of PAX5 p.P80R in pediatric acute lymphoblastic leukemia patients treated on an AIEOP-BFM acute lymphoblastic leukemia protocol.	RB1
32661308	10.1038/s41598-020-68311-9	2020	MLPA and DNA index improve the molecular diagnosis of childhood B-cell acute lymphoblastic leukemia.	RB1
33020271	10.1073/pnas.2007946117	2020	Rewiring of B cell receptor signaling by Epstein-Barr virus LMP2A.	RB1
33324635	10.3389/fcell.2020.577784	2020	Dissection of Anti-tumor Activity of Histone Deacetylase Inhibitor SAHA in Nasopharyngeal Carcinoma Cells <i>via</i> Quantitative Phosphoproteomics.	RB1
33369444	10.31557/APJCP.2020.21.12.3493	2020	Frequency and Correlation of Common Genes Copy Number Alterations in Childhood Acute Lymphoblastic Leukemia with Prognosis.	RB1
