pmid	doi	year	title	Hugo_Symbol
32536813	10.1186/s12935-020-01288-7	2022	Upregulation of ARHGAP30 attenuates pancreatic cancer progression by inactivating the β-catenin pathway.	RHOA
33406263	10.1093/intimm/dxab002	2022	CD47 promotes T-cell lymphoma metastasis by up-regulating AKAP13-mediated RhoA activation.	RHOA
33567811	10.3324/haematol.2020.265991	2022	Early detection of T-cell lymphoma with T follicular helper phenotype by RHOA mutation analysis.	RHOA
33849798	10.1016/j.clml.2021.03.002	2022	Clinicopathological Implications of RHOA Mutations in Angioimmunoblastic T-Cell Lymphoma: A Meta-analysis: RHOA mutations in AITL.	RHOA
34390161	10.1002/pbc.29285	2022	Molecular features of non-anaplastic peripheral T-cell lymphoma in children and adolescents.	RHOA
34426436	10.1158/1078-0432.CCR-21-0573	2022	Genome-Wide miRNA Expression Profiling of Molecular Subgroups of Peripheral T-cell Lymphoma.	RHOA
34449978	10.1002/dc.24861	2022	Angioimmunoblastic T-cell lymphoma diagnosed from pleural fluid by integration of morphologic, immunophenotypic, and molecular findings.	RHOA
34742294	10.1186/s13000-021-01163-7	2022	Large cell morphology, CMYC+ tumour cells, and PD-1+ tumour cell/intense PD-L1+ cell reactions are important prognostic factors in nodal peripheral T-cell lymphomas with T follicular helper markers.	RHOA
35027991		2022	Update on recurrent mutations in angioimmunoblastic T-cell lymphoma.	RHOA
35064935	10.1111/his.14619	2022	Parallel evolution of two distinct lymphoid proliferations in clonal haematopoiesis.	RHOA
35174167	10.3389/fcell.2021.806258	2022	Role of ARHGEF3 as a GEF and mTORC2 Regulator.	RHOA
35240014	10.4143/crt.2022.017	2022	Circulating Tumor DNA-Based Genotyping and Monitoring for Predicting Disease Relapses of Patients with Peripheral T-Cell Lymphomas.	RHOA
35281533	10.1155/2022/7052066	2022	Effects of BMI1 Gene on Regulating Apoptosis, Invasion, and Migration of HEC-1B Cells Induced by Ionizing Radiation.	RHOA
35322197	10.1038/s41388-022-02266-1	2022	Discoidin Domain Receptor 2 orchestrates melanoma resistance combining phenotype switching and proliferation.	RHOA
35459873	10.1038/s41375-022-01571-8	2022	Integrated clinical and genomic evaluation of guadecitabine (SGI-110) in peripheral T-cell lymphoma.	RHOA
35476848	10.1182/blood.2021015008	2022	Whole-genome sequencing reveals complex genomic features underlying anti-CD19 CAR T-cell treatment failures in lymphoma.	RHOA
35528192	10.1158/2767-9764.crc-21-0022	2022	The Genetic Landscape of Ocular Adnexa MALT Lymphoma Reveals Frequent Aberrations in NFAT and MEF2B Signaling Pathways.	RHOA
35568648	10.1016/j.trecan.2022.04.005	2022	RHOA takes the RHOad less traveled to cancer.	RHOA
35625998	10.3390/cancers14102392	2022	Novel T Follicular Helper-like T-Cell Lymphoma Therapies: From Preclinical Evaluation to Clinical Reality.	RHOA
35639414	10.1096/fj.202101808RR	2022	Characterization and computational simulation of human Syx, a RhoGEF implicated in glioblastoma.	RHOA
35732446	10.2169/internalmedicine.9248-22	2022	A Case of Cardiac Tamponade as a Recurrence of Angioimmunoblastic T-Cell Lymphoma with the Detection of a p.Gly17Val RHOA Mutation in the Pericardial Effusion.	RHOA
