pmid	doi	year	title	Hugo_Symbol
33078873	10.1002/gcc.22901	2022	Rare and novel RUNX1 fusions in myeloid neoplasms: A single-institute experience.	RUNX1
33368842	10.1002/gcc.22933	2022	Sister chromatid cohesion defects are associated with chromosomal copy number heterogeneity in high hyperdiploid childhood acute lymphoblastic leukemia.	RUNX1
33890726	10.1002/cjp2.211	2022	CRLF2 and IKZF1 abnormalities in Mexican children with acute lymphoblastic leukemia and recurrent gene fusions: exploring surrogate markers of signaling pathways.	RUNX1
34250504	10.1158/2643-3230.BCD-20-0229	2022	Clinical significance of novel subtypes of acute lymphoblastic leukemia in the context of minimal residual disease-directed therapy.	RUNX1
34325057	10.1016/j.jmoldx.2021.07.008	2022	Comparison of Two Quantitative PCR-Based Assays for Detection of Minimal Residual Disease in B-Precursor Acute Lymphoblastic Leukemia Harboring Three Major Fusion Transcripts.	RUNX1
34348305	10.1159/000518280	2022	Cytogenetic and Fluorescence in situ Hybridization Profile of Pediatric Acute Lymphoblastic Leukemia in a University Hospital in South India.	RUNX1
34535762	10.1038/s41375-021-01409-9	2022	ETV6-RUNX1 and RUNX1 directly regulate RAG1 expression: one more step in the understanding of childhood B-cell acute lymphoblastic leukemia leukemogenesis.	RUNX1
34547766	10.1182/bloodadvances.2021004895	2022	Distinct clinical characteristics of DUX4- and PAX5-altered childhood B-lymphoblastic leukemia.	RUNX1
34597466	10.1002/pbc.29361	2022	Clonal dynamics in pediatric B-cell precursor acute lymphoblastic leukemia with very early relapse.	RUNX1
34601571	10.1182/blood.2021013156	2022	Effective therapy for AML with RUNX1 mutation by cotreatment with inhibitors of protein translation and BCL2.	RUNX1
34617433	10.4274/tjh.galenos.2021.2021.0326	2022	Characterization of Immunophenotypic Aberrancies with Respect to Common Fusion Transcripts in B-Cell Precursor Acute Lymphoblastic Leukemia: A Report of 986 Indian Patients	RUNX1
34698360	10.3892/ijo.2021.5274	2022	lncRNA GAS5, as a ceRNA, inhibits the proliferation of diffuse large B‑cell lymphoma cells by regulating the miR‑18a‑5p/RUNX1 axis.	RUNX1
34727170	10.1182/bloodadvances.2021005522	2022	Decreased IL-10 accelerates B-cell leukemia/lymphoma in a mouse model of pediatric lymphoid leukemia.	RUNX1
34753926	10.1038/s41408-021-00570-9	2022	Cancer drivers and clonal dynamics in acute lymphoblastic leukaemia subtypes.	RUNX1
34788984	10.3324/haematol.2021.279177	2022	Genetic and genomic analysis of acute lymphoblastic leukemia in older adults reveals a distinct profile of abnormalities: analysis of 210 patients from the UKALL14 and UKALL60+ clinical trials.	RUNX1
34819303	10.1101/mcs.a006157	2022	Hi-C detects genomic structural variants in peripheral blood of pediatric leukemia patients.	RUNX1
34871373	10.1182/blood.2021012727	2022	Impact of high-risk cytogenetics on outcomes for children and young adults receiving CD19-directed CAR T-cell therapy.	RUNX1
34902205	10.1111/cas.15239	2022	RUNX1 transactivates BCR-ABL1 expression in Philadelphia chromosome positive acute lymphoblastic leukemia.	RUNX1
34933343	10.1182/bloodadvances.2021005634	2022	Whole-transcriptome analysis in acute lymphoblastic leukemia: a report from the DFCI ALL Consortium Protocol 16-001.	RUNX1
34940123	10.3390/cimb43030149	2022	Molecular Genetics of Pre-B Acute Lymphoblastic Leukemia Sister Cell Lines during Disease Progression.	RUNX1
34974289	10.1016/j.cancergen.2021.12.003	2022	Somatic homozygous loss of SH2B3, and a non-Robertsonian translocation t(15;21)(q25.3;q22.1) with NTRK3 rearrangement, in an adolescent with progenitor B-cell acute lymphoblastic leukemia with the iAMP21.	RUNX1
34975010	10.1016/j.clml.2021.11.013	2022	Differential Implications of CSF3R Mutations in t(8;21) and CEBPA Double Mutated Acute Myeloid Leukemia.	RUNX1
34981432	10.1007/s12185-021-03269-6	2022	Newly diagnosed ETV6-RUNX1-positive B-acute lymphoblastic leukemia localized to the left pelvic bone marrow.	RUNX1
34982829	10.1182/bloodadvances.2021005703	2022	A somatic UBA2 variant preceded ETV6-RUNX1 in the concordant BCP-ALL of monozygotic twins.	RUNX1
34998786	10.1016/j.clml.2021.12.008	2022	The Application of NextGen Sequencing in the Diagnosis of Myeloid Neoplasms in Myeloma Patients With Cytopenia.	RUNX1
