pmid	doi	year	title	Hugo_Symbol
35353559	10.1126/sciadv.abn0067	2022	Structure of S1PR2-heterotrimeric G<sub>13</sub> signaling complex.	S1PR2
33945543	10.1371/journal.pone.0248886	2021	Detection of new drivers of frequent B-cell lymphoid neoplasms using an integrated analysis of whole genomes.	S1PR2
34218556	10.3760/cma.j.cn121094-20201116-00633	2021	[Chlorpromazine hydrochloride plays a tumor suppressive role in diffuse large B lymphoma by promoting the expression of S1PR2].	S1PR2
30666658	10.1002/path.5237	2019	Regulation of S1PR2 by the EBV oncogene LMP1 in aggressive ABC-subtype diffuse large B-cell lymphoma.	S1PR2
31404445	10.1007/s12308-019-00354-y	2019	Evaluation of S1PR1, pSTAT3, S1PR2, FOXP1 Expression in Aggressive, Mature B Cell Lymphomas.	S1PR2
31648327	10.1182/bloodadvances.2019000210	2019	Pharmacological DNA demethylation restores SMAD1 expression and tumor suppressive signaling in diffuse large B-cell lymphoma.	S1PR2
28878352	10.1038/leu.2017.275	2018	S1PR1 drives a feedforward signalling loop to regulate BATF3 and the transcriptional programme of Hodgkin lymphoma cells.	S1PR2
29615404	10.1182/blood-2017-10-810630	2018	The tumor suppressive TGF-β/SMAD1/S1PR2 signaling axis is recurrently inactivated in diffuse large B-cell lymphoma.	S1PR2
27389057	10.1038/leu.2016.175	2017	Combined copy number and mutation analysis identifies oncogenic pathways associated with transformation of follicular lymphoma.	S1PR2
26729899	10.1182/blood-2015-08-662635	2016	The hematopoietic oncoprotein FOXP1 promotes tumor cell survival in diffuse large B-cell lymphoma by repressing S1PR2 signaling.	S1PR2
26989186	10.1182/blood-2016-01-692129	2016	S1PR2 deficiency in DLBCL: a FOXy connection.	S1PR2
27959929	10.1371/journal.pmed.1002197	2016	Histological Transformation and Progression in Follicular Lymphoma: A Clonal Evolution Study.	S1PR2
27980305	10.3960/jslrt.56.71	2016	Molecular Pathogenesis of Diffuse Large B-Cell Lymphoma.	S1PR2
25938000	10.1186/s40164-015-0004-3	2015	Immunohistochemical analysis indicates that the anatomical location of B-cell non-Hodgkin's lymphoma is determined by differentially expressed chemokine receptors, sphingosine-1-phosphate receptors and integrins.	S1PR2
25274307	10.1038/nature13765	2014	Loss of signalling via Gα13 in germinal centre B-cell-derived lymphoma.	S1PR2
23419711	10.1038/labinvest.2013.7	2013	Sphingosine-1-phosphate receptor 1 in classical Hodgkin lymphoma: assessment of expression and role in cell migration.	S1PR2
19903857	10.1158/0008-5472.CAN-09-1110	2009	Targeted disruption of the S1P2 sphingosine 1-phosphate receptor gene leads to diffuse large B-cell lymphoma formation.	S1PR2
