pmid	doi	year	title	Hugo_Symbol
34977845	10.1016/j.xjidi.2021.100068	2022	Genomic Analysis of Cutaneous CD30-Positive Lymphoproliferative Disorders.	SETD2
35030632	10.1182/bloodadvances.2021006410	2022	Distinct clinical and genetic features of hepatitis B virus-associated follicular lymphoma in Chinese patients.	SETD2
35443279	10.1158/2159-8290.CD-21-1514	2022	SETD2 Haploinsufficiency Enhances Germinal Center-Associated AICDA Somatic Hypermutation to Drive B-cell Lymphomagenesis.	SETD2
35459873	10.1038/s41375-022-01571-8	2022	Integrated clinical and genomic evaluation of guadecitabine (SGI-110) in peripheral T-cell lymphoma.	SETD2
35522148	10.3324/haematol.2021.280005	2022	Focal structural variants revealed by whole genome sequencing disrupt the histone demethylase <i>KDM4C</i> in B cell lymphomas.	SETD2
35551151	10.1097/PAS.0000000000001914	2022	Targeted Next-generation Sequencing Reveals a Wide Morphologic and Immunophenotypic Spectrum of Monomorphic Epitheliotropic Intestinal T-Cell Lymphoma.	SETD2
35708139	10.3324/haematol.2022.281226	2022	Monomorphic epitheliotropic intestinal T-cell lymphoma comprises morphologic and genomic heterogeneity impacting outcome.	SETD2
35726023	10.1038/s41684-022-00998-x	2022	The genomic landscape of canine diffuse large B-cell lymphoma identifies distinct subtypes with clinical and therapeutic implications.	SETD2
35895386	10.1111/bjd.21791	2022	Primary cutaneous peripheral T-cell lymphomas with a T-follicular helper phenotype: an integrative clinical, pathological and molecular case series study.	SETD2
35979577	10.3960/jslrt.22005	2022	Surface CD3-negative monomorphic epitheliotropic intestinal T-cell lymphoma.	SETD2
34406703	10.1002/ajh.26324	2021	The clinical outcomes and genomic landscapes of acute lymphoblastic leukemia patients with E2A-PBX1: A 10-year retrospective study.	SETD2
34576156	10.3390/ijms22189992	2021	Comparative Molecular Analysis of Primary Central Nervous System Lymphomas and Matched Vitreoretinal Lymphomas by Vitreous Liquid Biopsy.	SETD2
34895266	10.1186/s13000-021-01173-5	2021	Clinicopathological and molecular genomic features of monomorphic epitheliotropic intestinal T-cell lymphoma in the Chinese population: a study of 20 cases.	SETD2
31028364	10.1038/s41379-019-0279-8	2020	Whole exome sequencing reveals mutations in FAT1 tumor suppressor gene clinically impacting on peripheral T-cell lymphoma not otherwise specified.	SETD2
31599770	10.1097/CCO.0000000000000590	2020	Novel molecular targets for the treatment of lung cancer.	SETD2
31914529	10.3760/cma.j.issn.0529-5807.2020.01.004	2020	[Monomorphic epitheliotropic intestinal T-cell lymphoma: a clinicopathological analysis of twelve cases].	SETD2
32271188	10.1097/PAS.0000000000001470	2020	Primary Cutaneous CD4+ Small/Medium T-Cell Lymphoproliferative Disorders: A Clinical, Pathologic, and Molecular Study of 60 Cases Presenting With a Single Lesion: A Multicenter Study of the French Cutaneous Lymphoma Study Group.	SETD2
32349779	10.1186/s13073-020-00739-0	2020	CEOP/IVE/GDP alternating regimen compared with CEOP as the first-line therapy for newly diagnosed patients with peripheral T cell lymphoma: results from a phase 2, multicenter, randomized, controlled clinical trial.	SETD2
32469082	10.1002/cncr.32866	2020	Genome-defined African ancestry is associated with distinct mutations and worse survival in patients with diffuse large B-cell lymphoma.	SETD2
32695399	10.1186/s40364-020-00205-4	2020	Plasma circulating tumor DNA assessment reveals <i>KMT2D</i> as a potential poor prognostic factor in extranodal NK/T-cell lymphoma.	SETD2
32853382	10.1182/bloodadvances.2019000938	2020	The hematopoietic stem cell marker VNN2 is associated with chemoresistance in pediatric B-cell precursor ALL.	SETD2
33260897	10.3390/cancers12123539	2020	Monomorphic Epitheliotropic Intestinal T-Cell Lymphoma in Asia Frequently Shows <i>SETD2</i> Alterations.	SETD2
30307363	10.1080/15384047.2018.1523857	2019	Successful implementation of genomically based treatment of chemotherapy refractory peripheral T-cell lymphoma (PTCL).	SETD2
31221981	10.1038/s12276-019-0230-6	2019	The cancer driver genes IDH1/2, JARID1C/ KDM5C, and UTX/ KDM6A: crosstalk between histone demethylation and hypoxic reprogramming in cancer metabolism.	SETD2
31344256	10.1111/bjh.16117	2019	The landscape of genetic mutations in patients with chronic lymphocytic leukaemia and complex karyotype.	SETD2
31411343	10.1002/path.5333	2019	Genomic characterisation of breast fibroepithelial lesions in an international cohort.	SETD2
28910456	10.1001/jamaoncol.2017.2918	2018	Identification of ALK Rearrangements in Malignant Peritoneal Mesothelioma.	SETD2
29305415	10.3324/haematol.2017.182444	2018	Histone modifier gene mutations in peripheral T-cell lymphoma not otherwise specified.	SETD2
29337025	10.1016/j.humpath.2018.01.005	2018	Hepatosplenic T-cell Lymphoma: a review of clinicopathologic features, pathogenesis, and prognostic factors.	SETD2
29694893	10.1016/j.celrep.2018.03.124	2018	SETDB2 Links E2A-PBX1 to Cell-Cycle Dysregulation in Acute Leukemia through CDKN2C Repression.	SETD2
28122867	10.1158/2159-8290.CD-16-0330	2017	The Genetic Basis of Hepatosplenic T-cell Lymphoma.	SETD2
