pmid	doi	year	title	Hugo_Symbol
34151705	10.1080/10428194.2021.1941925	2022	Efficacy of lenalidomide in a patient with systemic mastocytosis associated with <i>SF3B1</i>-mutant myelodysplastic syndrome.	SF3B1
34265801	10.1097/PAS.0000000000001780	2022	Plasticity of Mature B Cells Between Follicular and Classic Hodgkin Lymphomas: A Series of 22 Cases Expanding the Spectrum of Transdifferentiation.	SF3B1
34448437	10.1080/10428194.2021.1971217	2022	Treatment outcomes for patients with myelodysplastic syndrome/myeloproliferative neoplasms with ring sideroblasts and thrombocytosis.	SF3B1
34799485	10.1097/PAS.0000000000001834	2022	Resistance of B-Cell Lymphomas to CAR T-Cell Therapy Is Associated With Genomic Tumor Changes Which Can Result in Transdifferentiation.	SF3B1
34812550	10.1111/cas.15213	2022	Aberrant RNA splicing and therapeutic opportunities in cancers.	SF3B1
34840089	10.1016/j.clml.2021.10.015	2022	Excellent Prognosis of Low-Risk Myelodysplastic Syndromes (MDS) Without Detectable Myeloid-Related Mutations.	SF3B1
34933652	10.1080/10428194.2021.2018579	2022	Prognostic scoring systems and risk stratification in myelodysplastic syndrome: focus on integration of molecular profile.	SF3B1
34998786	10.1016/j.clml.2021.12.008	2022	The Application of NextGen Sequencing in the Diagnosis of Myeloid Neoplasms in Myeloma Patients With Cytopenia.	SF3B1
35014928	10.1080/10428194.2021.2020779	2022	Up to 6.5 years (median 4 years) of follow-up of first-line ibrutinib in patients with chronic lymphocytic leukemia/small lymphocytic lymphoma and high-risk genomic features: integrated analysis of two phase 3 studies.	SF3B1
35061527	10.1126/sciadv.abj8357	2022	SF3B1 homeostasis is critical for survival and therapeutic response in T cell leukemia.	SF3B1
35101379	10.1016/j.clml.2022.01.002	2022	Therapeutic Outcomes and Prognostic Impact of Gene Mutations Including TP53 and SF3B1 in Patients with Del(5q) Myelodysplastic Syndromes (MDS).	SF3B1
35787095	10.1080/10428194.2022.2095629	2022	Impact of SF3B1 mutation in myelofibrosis.	SF3B1
36040792	10.7554/eLife.78136	2022	Activation of targetable inflammatory immune signaling is seen in myelodysplastic syndromes with SF3B1 mutations.	SF3B1
32013644	10.1080/10428194.2020.1719089	2021	Interrogation of molecular profiles can help in differentiating between MDS and AML with MDS-related changes.	SF3B1
32037286	10.1016/j.clml.2020.01.005	2021	SF3B1 Mutation but Not Ring Sideroblasts Identifies a Specific Group of Myelodysplastic Syndrome-Refractory Cytopenia With Multilineage Dysplasia.	SF3B1
32139296	10.1016/j.clml.2019.11.007	2021	Defining Acute Myeloid Leukemia Ontogeny in Older Patients.	SF3B1
32179032	10.1016/j.clml.2019.12.023	2021	SF3B1 Mutations Negatively Predict for Response to Immunosuppressive Therapy in Myelodysplastic Syndromes.	SF3B1
32397113	10.3390/ijms21093323	2021	Identification of Lenalidomide Sensitivity and Resistance Mechanisms in Non-Del(5q) Myelodysplastic Syndromes.	SF3B1
32848129	10.1038/s41408-020-00351-w	2021	Clinicopathological characterization of chronic lymphocytic leukemia with MYD88 mutations: L265P and non-L265P mutations are associated with different features.	SF3B1
33140678	10.1080/10428194.2020.1839647	2021	Analysis of distinct <i>SF3B1</i> hotspot mutations in relation to clinical phenotypes and response to therapy in myeloid neoplasia.	SF3B1
33585229	10.3389/fonc.2020.609409	2021	The Effect of <i>SF3B1</i> Mutation on the DNA Damage Response and Nonsense-Mediated mRNA Decay in Cancer.	SF3B1
34506616	10.1371/journal.pone.0257353	2021	Genomic mutation profile in progressive chronic lymphocytic leukemia patients prior to first-line chemoimmunotherapy with FCR and rituximab maintenance (REM).	SF3B1
34570179	10.1182/bloodadvances.2021004668	2021	Mutational patterns and their correlation to CHIP-related mutations and age in hematological malignancies.	SF3B1
30409066	10.1080/10428194.2018.1520990	2020	The relation of SF3B1 mutation and intracellular iron in myelodysplastic syndrome with less than 5% bone marrow blasts.	SF3B1
31680297	10.1002/ajh.25673	2020	Distinct and convergent consequences of splice factor mutations in myelodysplastic syndromes.	SF3B1
32143579	10.1186/s12885-020-6681-2	2020	An unusual hematopoietic stem cell transplantation for donor acute lymphoblastic leukemia: a case report.	SF3B1
28836866	10.1080/10428194.2017.1366998	2019	Prospective randomized trial of 5 days azacitidine versus supportive care in patients with lower-risk myelodysplastic syndromes without 5q deletion and transfusion-dependent anemia.	SF3B1
29367434	10.1074/mcp.RA117.000539	2019	Proteomics Profiling of CLL Versus Healthy B-cells Identifies Putative Therapeutic Targets and a Subtype-independent Signature of Spliceosome Dysregulation.	SF3B1
29616853	10.1080/10428194.2018.1443452	2019	Clonal shifts in MDS - from SF3B1 to EZH2.	SF3B1
29653964	10.1182/blood-2017-09-806679	2019	TRRAP is essential for regulating the accumulation of mutant and wild-type p53 in lymphoma.	SF3B1
29937400	10.1016/j.clml.2018.05.016	2019	Clinical Outcomes With Ring Sideroblasts and SF3B1 Mutations in Myelodysplastic Syndromes: MDS Clinical Research Consortium Analysis.	SF3B1
30038380	10.1038/s41375-018-0215-9	2019	Clonal diversity predicts adverse outcome in chronic lymphocytic leukemia.	SF3B1
30209976	10.1080/15384101.2018.1522912	2019	PTPN14 regulates Roquin2 stability by tyrosine dephosphorylation.	SF3B1
30282833	10.1172/jci.insight.121438	2019	Splicing modulation sensitizes chronic lymphocytic leukemia cells to venetoclax by remodeling mitochondrial apoptotic dependencies.	SF3B1
30508305	10.1002/cncr.31831	2019	Targeted multigene deep sequencing of Bruton tyrosine kinase inhibitor-resistant chronic lymphocytic leukemia with disease progression and Richter transformation.	SF3B1
31473630	10.1136/jclinpath-2019-205895	2019	Somatic <i>SF3B1</i> mutations in myelodysplastic syndrome with ring sideroblasts and chronic lymphocytic leukaemia.	SF3B1
27121112	10.3109/10428194.2016.1173212	2018	Genetic aberrations in small B-cell lymphomas and leukemias: molecular pathology, clinical relevance and therapeutic targets.	SF3B1
27771989	10.1080/10428194.2016.1246725	2018	Negative impact on clinical outcome of the mutational co-occurrence of SF3B1 and DNMT3A in refractory anemia with ring sideroblasts (RARS).	SF3B1
28925785	10.1080/10428194.2017.1376746	2018	Risk adjusted therapy in chronic lymphocytic leukemia: a phase II cancer trials Ireland (CTRIAL-IE [ICORG 07-01]) study of fludarabine, cyclophosphamide, and rituximab therapy evaluating response adapted, abbreviated frontline therapy with FCR in non-del(17p) CLL.	SF3B1
27235137	10.1182/blood-2016-02-700328	2017	Dual TORK/DNA-PK inhibition blocks critical signaling pathways in chronic lymphocytic leukemia.	SF3B1
27407063	10.1002/ijc.30263	2017	Mantle cell lymphoma-variant Richter syndrome: Detailed molecular-cytogenetic and backtracking analysis reveals slow evolution of a pre-MCL clone in parallel with CLL over several years.	SF3B1
27499002	10.1080/10428194.2016.1213829	2017	Biallelic ATM alterations detected at diagnosis identify a subset of treatment-naïve chronic lymphocytic leukemia patients with reduced overall survival similar to patients with p53 deletion.	SF3B1
27693133	10.1016/j.clml.2016.08.005	2017	Changes in the Updated 2016: WHO Classification of the Myelodysplastic Syndromes and Related Myeloid Neoplasms.	SF3B1
27810071	10.1016/j.cancergen.2016.08.007	2017	MYC rearranged B-cell neoplasms: Impact of genetics on classification.	SF3B1
27840426	10.1038/leu.2016.330	2017	Genetic characterization of MYD88-mutated lymphoplasmacytic lymphoma in comparison with MYD88-mutated chronic lymphocytic leukemia.	SF3B1
27936980	10.1080/17474086.2017.1270203	2017	Chronic lymphocytic leukemia and small lymphocytic lymphoma: two faces of the same disease.	SF3B1
28600336	10.1182/blood-2017-02-734541	2017	Diagnosis and classification of hematologic malignancies on the basis of genetics.	SF3B1
28892161	10.1002/path.4982	2017	A gene is known by the company it keeps: enrichment of TNFAIP3 gene aberrations in MALT lymphomas expressing IGHV4-34 antigen receptors.	SF3B1
25330446	10.3109/10428194.2014.976821	2016	Screening for SF3B1 mutations is a useful tool to differentiate between acquired clonal and non-clonal sideroblastic anemia.	SF3B1
25487075	10.3109/10428194.2014.995648	2016	Preferential occurrence of spliceosome mutations in acute myeloid leukemia with preceding myelodysplastic syndrome and/or myelodysplasia morphology.	SF3B1
25645650	10.1111/ejh.12515	2016	The molecular pathogenesis of the myelodysplastic syndromes.	SF3B1
25860243	10.3109/10428194.2015.1028051	2016	Association between gene and miRNA expression profiles and stereotyped subset #4 B-cell receptor in chronic lymphocytic leukemia.	SF3B1
25862704	10.3324/haematol.2014.122069	2016	Targeting the spliceosome in chronic lymphocytic leukemia with the macrolides FD-895 and pladienolide-B.	SF3B1
26426381	10.1097/PAS.0000000000000523	2016	NOTCH1, TP53, and MAP2K1 Mutations in Splenic Diffuse Red Pulp Small B-cell Lymphoma Are Associated With Progressive Disease.	SF3B1
26446488	10.1038/ncomms9325	2016	LRF maintains genome integrity by regulating the non-homologous end joining pathway of DNA repair.	SF3B1
26731899		2016	[Alternative Splicing Detection as a Biomarker for Cancer Diagnosis: A Novel Progressive Mechanism of Acute Lymphoblastic Leukemia with Alternative Splicing as a Biomarker Candidate].	SF3B1
24047479	10.3109/10428194.2013.845882	2015	Genomic imbalance defines three prognostic groups for risk stratification of patients with chronic lymphocytic leukemia.	SF3B1
24548608	10.1016/j.clml.2013.12.016	2015	Novel prognostic gene mutations identified in chronic lymphocytic leukemia and their impact on clinical practice.	SF3B1
24597984	10.3109/10428194.2014.898760	2015	NOTCH1, SF3B1, BIRC3 and TP53 mutations in patients with chronic lymphocytic leukemia undergoing first-line treatment: correlation with biological parameters and response to treatment.	SF3B1
25139387	10.1038/srep06098	2015	Regulation of HPV16 E6 and MCL1 by SF3B1 inhibitor in head and neck cancer cells.	SF3B1
25220401	10.1111/cas.12532	2015	Epigenetic modifications of splicing factor genes in myelodysplastic syndromes and acute myeloid leukemia.	SF3B1
25326804	10.1038/nm.3733	2015	Age-related mutations associated with clonal hematopoietic expansion and malignancies.	SF3B1
25371178	10.1038/leu.2014.318	2015	The impact of SF3B1 mutations in CLL on the DNA-damage response.	SF3B1
23167608	10.3109/10428194.2012.751530	2014	Exploring the genetic landscape in chronic lymphocytic leukemia using high-resolution technologies.	SF3B1
23270583	10.3109/10428194.2012.742528	2014	The significance of spliceosome mutations in chronic lymphocytic leukemia.	SF3B1
23343182	10.3109/10428194.2013.769049	2014	New boys in town: prognostic role of SF3B1, NOTCH1 and other cryptic alterations in chronic lymphocytic leukemia and how it works.	SF3B1
23480493	10.3109/10428194.2013.783913	2014	Prognostic markers and their clinical applicability in chronic lymphocytic leukemia: where do we stand?	SF3B1
22571487	10.1111/j.1365-2141.2012.09155.x	2012	Different impact of NOTCH1 and SF3B1 mutations on the risk of chronic lymphocytic leukemia transformation to Richter syndrome.	SF3B1
