pmid	doi	year	title	Hugo_Symbol
35106936	10.1002/cam4.4550	2022	SGK1 mutation status can further stratify patients with germinal center B-cell-like diffuse large B-cell lymphoma into different prognostic subgroups.	SGK1
32273478	10.3324/haematol.2020.251579	2021	Genetic lesions in MYC and STAT3 drive oncogenic transcription factor overexpression in plasmablastic lymphoma.	SGK1
33988691	10.1182/blood.2020010432	2021	SGK1 mutations in DLBCL generate hyperstable protein neoisoforms that promote AKT independence.	SGK1
34132431	10.1002/ptr.7157	2021	Suppression of phosphoinositide 3-kinase/phosphoinositide-dependent kinase-1/serum and glucocorticoid-induced protein kinase pathway.	SGK1
34272731	10.1111/bjh.17708	2021	EBV-positive HIV-associated diffuse large B cell lymphomas are characterized by JAK/STAT (STAT3) pathway mutations and unique clinicopathologic features.	SGK1
34378195	10.1111/bjh.17765	2021	Genetic subtype classification using a simplified algorithm and mutational characteristics of diffuse large B-cell lymphoma in a Japanese cohort.	SGK1
31958764	10.1016/j.biopha.2020.109835	2020	Clinical characteristics of colorectal cancer patients and anti-neoplasm activity of genistein.	SGK1
32187361	10.1182/blood.2019003535	2020	Targeted sequencing in DLBCL, molecular subtypes, and outcomes: a Haematological Malignancy Research Network report.	SGK1
33252851	10.1002/ctm2.221	2020	Influence of oncogenic mutations and tumor microenvironment alterations on extranodal invasion in diffuse large B-cell lymphoma.	SGK1
33584271	10.3389/fphar.2020.594038	2020	Piperazine-Derived α<sub>1D/1A</sub> Antagonist 1- Benzyl-N- (3-(4- (2-Methoxyphenyl) Piperazine-1-yl) Propyl) -1H- Indole-2- Carboxamide Induces Apoptosis in Benign Prostatic Hyperplasia Independently of α1-Adrenoceptor Blocking.	SGK1
30213827	10.3324/haematol.2018.203224	2019	<i>JUNB</i>, <i>DUSP2</i>, <i>SGK1</i>, <i>SOCS1</i> and <i>CREBBP</i> are frequently mutated in T-cell/histiocyte-rich large B-cell lymphoma.	SGK1
30694908	10.1097/WNR.0000000000001180	2019	Leonurine promotes neurite outgrowth and neurotrophic activity by modulating the GR/SGK1 signaling pathway in cultured PC12 cells.	SGK1
30926771	10.1038/s41408-019-0203-y	2019	Inhibition of the STAT3 target SGK1 sensitizes diffuse large B cell lymphoma cells to AKT inhibitors.	SGK1
31203134	10.1016/j.biopha.2019.109092	2019	Estradiol promotes trophoblast viability and invasion by activating SGK1.	SGK1
35540673	10.1039/c9ra07900a	2019	Retracted Article: Circular RNA hsa_circ_0000467 modulates SGK1 to facilitate cell migration, metastasis, and EMT while repressing apoptosis in colorectal cancer by sponging miR-383-5p.	SGK1
28905990	10.1002/ijc.31044	2018	The mTOR kinase inhibitor everolimus synergistically enhances the anti-tumor effect of the Bruton's tyrosine kinase (BTK) inhibitor PLS-123 on Mantle cell lymphoma.	SGK1
30613266	10.7150/thno.26888	2018	Arg1 expression defines immunosuppressive subsets of tumor-associated macrophages.	SGK1
28879465	10.1007/s00292-017-0335-4	2017	[Nodular lymphocyte-dominant Hodgkin's lymphoma : LP cells show recurrent mutations in DUSP2, SGK1 and JUNB].	SGK1
26658840	10.1038/leu.2015.328	2016	Highly recurrent mutations of SGK1, DUSP2 and JUNB in nodular lymphocyte predominant Hodgkin lymphoma.	SGK1
26229090	10.1158/2159-8290.CD-15-0370	2015	Detection of Enhancer-Associated Rearrangements Reveals Mechanisms of Oncogene Dysregulation in B-cell Lymphoma.	SGK1
26380811	10.1016/j.fob.2015.08.001	2015	NDRG2 promotes myoblast proliferation and caspase 3/7 activities during differentiation, and attenuates hydrogen peroxide - But not palmitate-induced toxicity.	SGK1
