pmid	doi	year	title	Hugo_Symbol
34140493	10.1038/s41467-021-24037-4	2021	Fusion transcripts FYN-TRAF3IP2 and KHDRBS1-LCK hijack T cell receptor signaling in peripheral T-cell lymphoma, not otherwise specified.	SIN3A
32363958	10.1177/0300060520918087	2020	CD56-positive diffuse large B-cell lymphoma/leukemia with <i>BCL6/MYC</i> double-hit and multiple gene mutations: an indicator of poor prognosis?	SIN3A
30617194	10.1182/blood-2018-09-871418	2019	Genome-wide discovery of somatic coding and noncoding mutations in pediatric endemic and sporadic Burkitt lymphoma.	SIN3A
30692217	10.1158/0008-5472.CAN-18-0359	2019	The Transcriptional Regulator Sin3A Contributes to the Oncogenic Potential of STAT3.	SIN3A
31221981	10.1038/s12276-019-0230-6	2019	The cancer driver genes IDH1/2, JARID1C/ KDM5C, and UTX/ KDM6A: crosstalk between histone demethylation and hypoxic reprogramming in cancer metabolism.	SIN3A
31555365	10.3892/etm.2019.7867	2019	miR-210-3p regulates the proliferation and apoptosis of non-small cell lung cancer cells by targeting SIN3A.	SIN3A
31558468	10.1182/blood.2019001880	2019	The whole-genome landscape of Burkitt lymphoma subtypes.	SIN3A
24344258	10.1073/pnas.1321704111	2014	Epstein-Barr virus nuclear antigen 3C binds to BATF/IRF4 or SPI1/IRF4 composite sites and recruits Sin3A to repress CDKN2A.	SIN3A
23633923	10.1593/neo.121784	2013	Epigenetic silencing of the proapoptotic gene BIM in anaplastic large cell lymphoma through an MeCP2/SIN3a deacetylating complex.	SIN3A
19769942	10.1016/j.bbrc.2009.09.059	2009	Escape mechanisms from antibody therapy to lymphoma cells: downregulation of CD20 mRNA by recruitment of the HDAC complex and not by DNA methylation.	SIN3A
17287852	10.1038/sj.leu.2404583	2007	Activation of the c-myc p1 promoter in Burkitt's lymphoma by the hs3 immunoglobulin heavy-chain gene enhancer.	SIN3A
16147992	10.1074/mcp.M500112-MCP200	2005	Analysis of BCL6-interacting proteins by tandem mass spectrometry.	SIN3A
12634383	10.1128/jvi.77.7.4261-4272.2003	2003	Epstein-Barr virus nuclear antigen 3C recruits histone deacetylase activity and associates with the corepressors mSin3A and NCoR in human B-cell lines.	SIN3A
11884454	10.4049/jimmunol.168.6.2847	2002	The ubiquitously expressed DNA-binding protein late SV40 factor binds Ig switch regions and represses class switching to IgA.	SIN3A
11719366	10.1182/blood.v98.12.3290	2001	The acute promyelocytic leukemia-associated protein, promyelocytic leukemia zinc finger, regulates 1,25-dihydroxyvitamin D(3)-induced monocytic differentiation of U937 cells through a physical interaction with vitamin D(3) receptor.	SIN3A
11000236	10.1128/jvi.74.20.9637-9645.2000	2000	Human herpesvirus 8 LANA interacts with proteins of the mSin3 corepressor complex and negatively regulates Epstein-Barr virus gene expression in dually infected PEL cells.	SIN3A
10490596	10.1128/MCB.19.10.6566	1999	Both TEL and AML-1 contribute repression domains to the t(12;21) fusion protein.	SIN3A
10611298	10.1073/pnas.96.26.14831	1999	Recruitment of SMRT/N-CoR-mSin3A-HDAC-repressing complexes is not a general mechanism for BTB/POZ transcriptional repressors: the case of HIC-1 and gammaFBP-B.	SIN3A
