pmid	doi	year	title	Hugo_Symbol
33641239	10.1111/gbb.12729	2022	Binge-like ethanol drinking activates anaplastic lymphoma kinase signaling and increases the expression of STAT3 target genes in the mouse hippocampus and prefrontal cortex.	SMARCA4
34633874	10.1177/10668969211047982	2022	Expanding the Immunophenotype Spectrum of SMARCA4-Deficient Non-Small Cell Lung Carcinomas: A Case Series with Neuroendocrine Markers Expression.	SMARCA4
34952945	10.1038/s41379-021-01002-6	2022	Genomic landscape of Epstein-Barr virus-positive extranodal marginal zone lymphomas of mucosa-associated lymphoid tissue.	SMARCA4
35592856	10.3389/fmed.2022.808378	2022	A Somatic Mutation Signature Predicts the Best Overall Response to Anti-programmed Cell Death Protein-1 Treatment in Epidermal Growth Factor Receptor/Anaplastic Lymphoma Kinase-Negative Non-squamous Non-small Cell Lung Cancer.	SMARCA4
35727053	10.1002/cncr.34348	2022	Differential prognostic effect of systemic inflammation in patients with non-small cell lung cancer treated with immunotherapy or chemotherapy: A post hoc analysis of the phase 3 OAK trial.	SMARCA4
35794096	10.1038/s41467-022-31355-8	2022	Clinical relevance of molecular characteristics in Burkitt lymphoma differs according to age.	SMARCA4
31776129	10.1101/mcs.a004614	2021	Dramatic increase in gene mutational burden after transformation of follicular lymphoma into TdT<sup>+</sup> B-lymphoblastic leukemia/lymphoma.	SMARCA4
32191807	10.1182/bloodadvances.2019001396	2021	Genomic profiles and clinical outcomes of de novo blastoid/pleomorphic MCL are distinct from those of transformed MCL.	SMARCA4
32854100	10.1159/000510323	2021	Cytology of SMARCA4-Deficient Thoracic Neoplasms: Comparative Analysis of SMARCA4-Deficient Non-Small Cell Lung Carcinomas and SMARCA4-Deficient Thoracic Sarcomas.	SMARCA4
33225950	10.1186/s13059-020-02192-z	2021	The evolution of relapse of adult T cell acute lymphoblastic leukemia.	SMARCA4
33367658	10.5858/arpa.2019-0633-OA	2021	SMARCA4/BRG1-Deficient Non-Small Cell Lung Carcinomas: A Case Series and Review of the Literature.	SMARCA4
33506327	10.1007/s00428-021-03032-6	2021	Undifferentiated large cell/rhabdoid carcinoma presenting in the intestines of patients with concurrent or recent non-small cell lung cancer (NSCLC): clinicopathologic and molecular analysis of 14 cases indicates an unusual pattern of dedifferentiated metastases.	SMARCA4
34176698	10.1053/j.semdp.2021.06.005	2021	NUT carcinoma of the lung.	SMARCA4
34256839	10.1186/s40164-021-00232-3	2021	Progress in molecular feature of smoldering mantle cell lymphoma.	SMARCA4
30299211	10.1080/15384047.2018.1504721	2020	MiRNA-155 regulates lymphangiogenesis in natural killer/T-cell lymphoma by targeting BRG1.	SMARCA4
30963600	10.1002/ajh.25487	2020	Mantle cell lymphoma: 2019 update on the diagnosis, pathogenesis, prognostication, and management.	SMARCA4
31747604	10.1016/j.celrep.2019.10.083	2020	Targeting Excessive EZH1 and EZH2 Activities for Abnormal Histone Methylation and Transcription Network in Malignant Lymphomas.	SMARCA4
32239765	10.1002/ajh.25796	2020	Efficacy of venetoclax in high risk relapsed mantle cell lymphoma (MCL) - outcomes and mutation profile from venetoclax resistant MCL patients.	SMARCA4
29307627	10.1016/j.humpath.2017.12.025	2019	Dedifferentiated liposarcoma composed predominantly of rhabdoid/epithelioid cells: a frequently misdiagnosed highly aggressive variant.	SMARCA4
29650362	10.1016/S1470-2045(18)30145-1	2019	Tazemetostat, an EZH2 inhibitor, in relapsed or refractory B-cell non-Hodgkin lymphoma and advanced solid tumours: a first-in-human, open-label, phase 1 study.	SMARCA4
30188361	10.1097/PAP.0000000000000206	2019	Diagnostic and Predictive Immunohistochemistry for Non-Small Cell Lung Carcinomas.	SMARCA4
30455436	10.1038/s41591-018-0243-z	2019	Dynamic molecular monitoring reveals that SWI-SNF mutations mediate resistance to ibrutinib plus venetoclax in mantle cell lymphoma.	SMARCA4
30762113	10.1007/s00330-019-06017-x	2019	Imaging features of SMARCA4-deficient thoracic sarcomas: a multi-centric study of 21 patients.	SMARCA4
30897306	10.1002/dc.24174	2019	A BAFfling liver aspirate: Metastatic high grade SMARCA4 deficient undifferentiated gastroesophageal junction carcinoma masquerading as a hematolymphoid malignancy.	SMARCA4
31578630	10.1007/s00292-019-00670-1	2019	[Un- and dedifferentiated endometrial carcinoma : A rare entity with a wide range of differential diagnosis].	SMARCA4
28251496	10.1007/s12094-017-1633-2	2018	BRG1 regulation by miR-155 in human leukemia and lymphoma cell lines.	SMARCA4
29132471		2018	[Oridonin inhibits proliferation of Jurkat cells via the down-regulation of Brg1].	SMARCA4
29661713	10.1016/j.anndiagpath.2017.11.011	2018	Review with novel markers facilitates precise categorization of 41 cases of diagnostically challenging, undifferentiated small round cell tumors. A clinicopathologic, immunophenotypic and molecular analysis.	SMARCA4
27490482	10.7554/eLife.18270	2017	MYC activation and BCL2L11 silencing by a tumour virus through the large-scale reconfiguration of enhancer-promoter hubs.	SMARCA4
28002318	10.1097/MD.0000000000005241	2017	Brahma-related gene 1 induces apoptosis in a p53-dependent manner in human rheumatoid fibroblast-like synoviocyte MH7A.	SMARCA4
28671688	10.1038/ng.3909	2017	The genomic landscape of pediatric and young adult T-lineage acute lymphoblastic leukemia.	SMARCA4
26294725	10.3324/haematol.2015.129692	2016	Pediatric T-cell lymphoblastic leukemia evolves into relapse by clonal selection, acquisition of mutations and promoter hypomethylation.	SMARCA4
26446488	10.1038/ncomms9325	2016	LRF maintains genome integrity by regulating the non-homologous end joining pathway of DNA repair.	SMARCA4
26473533	10.1038/bcj.2015.89	2016	Mutation of chromatin modifiers; an emerging hallmark of germinal center B-cell lymphomas.	SMARCA4
26551667	10.1038/ng.3442	2016	The mutational landscape of cutaneous T cell lymphoma and Sézary syndrome.	SMARCA4
24710217	10.1038/ncomms4630	2015	The landscape of somatic mutations in epigenetic regulators across 1,000 paediatric cancer genomes.	SMARCA4
24867287	10.1097/MOH.0000000000000059	2015	New clues to the molecular pathogenesis of Burkitt lymphoma revealed through next-generation sequencing.	SMARCA4
25229333	10.18632/oncotarget.2399	2015	Binding of a Smad4/Ets-1 complex to a novel intragenic regulatory element in exon12 of FPGS underlies decreased gene expression and antifolate resistance in leukemia.	SMARCA4
25587943	10.1080/15592294.2014.1003746	2015	Epigenetic regulation in human melanoma: past and future.	SMARCA4
25706938	10.1002/gcc.22246	2015	A population-based single nucleotide polymorphism array analysis of genomic aberrations in younger adult acute lymphoblastic leukemia patients.	SMARCA4
25918285	10.1200/JCO.2014.59.2444	2015	Genomic Characterization of Non-Small-Cell Lung Cancer in African Americans by Targeted Massively Parallel Sequencing.	SMARCA4
24682267	10.1182/blood-2013-07-517177	2014	The genomic landscape of mantle cell lymphoma is related to the epigenetically determined chromatin state of normal B cells.	SMARCA4
25275049		2014	Mixed adenoneuroendocrine carcinoma of the colon: molecular pathogenesis and treatment.	SMARCA4
22668559	10.1093/jb/mvs065	2013	Mediator CDK subunits are platforms for interactions with various chromatin regulatory complexes.	SMARCA4
23022380	10.1016/j.molcel.2012.08.022	2013	NOTCH1 nuclear interactome reveals key regulators of its transcriptional activity and oncogenic function.	SMARCA4
23143597	10.1038/ng.2468	2013	The genetic landscape of mutations in Burkitt lymphoma.	SMARCA4
23872584	10.1158/0008-5472.CAN-12-4593	2013	A synthetic lethality-based strategy to treat cancers harboring a genetic deficiency in the chromatin remodeling factor BRG1.	SMARCA4
21317927	10.1038/onc.2011.15	2011	MicroRNA-21 targets tumor suppressor genes ANP32A and SMARCA4.	SMARCA4
