pmid	doi	year	title	Hugo_Symbol
35885481	10.3390/diagnostics12071575	2022	Cell-Free DNA for Genomic Analysis in Primary Mediastinal Large B-Cell Lymphoma.	SOCS1
35879731	10.1186/s40364-022-00401-4	2022	Dynamic change of soluble interleukin-2 receptor distinguished molecular heterogeneity and microenvironment alterations in diffuse large B-cell lymphoma.	SOCS1
35790291	10.21873/anticanres.15823	2022	SOCS1 Gene Therapy for Head and Neck Cancers: An Experimental Study.	SOCS1
35600392	10.3389/fonc.2022.881801	2022	SOCS3 Acts as an Onco-immunological Biomarker With Value in Assessing the Tumor Microenvironment, Pathological Staging, Histological Subtypes, Therapeutic Effect, and Prognoses of Several Types of Cancer.	SOCS1
35240014	10.4143/crt.2022.017	2022	Circulating Tumor DNA-Based Genotyping and Monitoring for Predicting Disease Relapses of Patients with Peripheral T-Cell Lymphomas.	SOCS1
35205765	10.3390/cancers14041018	2022	Integration of Baseline Metabolic Parameters and Mutational Profiles Predicts Long-Term Response to First-Line Therapy in DLBCL Patients: A Post Hoc Analysis of the SAKK38/07 Study.	SOCS1
35075971	10.1080/10428194.2021.2010060	2022	Circulating tumor DNA in primary mediastinal large B-cell lymphoma versus classical Hodgkin lymphoma: a retrospective study.	SOCS1
34925435	10.3389/fgene.2021.677650	2021	Genetic Landscape of Relapsed and Refractory Diffuse Large B-Cell Lymphoma: A Systemic Review and Association Analysis With Next-Generation Sequencing.	SOCS1
34854137	10.1111/ejh.13730	2022	Combination of two monoclonal antibodies with SOCS1 N- and C-terminal binding sites to address SOCS1 status in B cells and B-cell lymphoma.	SOCS1
34791836	10.1002/cam4.4422	2022	Identification of a genetic signature enriching for response to ibrutinib in relapsed/refractory follicular lymphoma in the DAWN phase 2 trial.	SOCS1
34714908	10.1182/bloodadvances.2021005486	2022	Integrative genomic and transcriptomic analysis in plasmablastic lymphoma identifies disruption of key regulatory pathways.	SOCS1
34405005	10.7150/jca.60390	2021	Serial surveillance by circulating tumor DNA profiling after chimeric antigen receptor T therapy for the guidance of r/r diffuse large B cell lymphoma precise treatment.	SOCS1
34362488	10.19746/j.cnki.issn.1009-2137.2021.04.013	2021	[Second-generation Sequencing Analysis of Ph<sup>+</sup> and Ph-like Childhood T-cell Acute Lymphoblastic Leukemia].	SOCS1
