pmid	doi	year	title	Hugo_Symbol
33297669	10.3324/haematol.2020.267294	2022	Phenogenomic heterogeneity of post-transplant plasmablastic lymphomas.	SPEN
35106936	10.1002/cam4.4550	2022	SGK1 mutation status can further stratify patients with germinal center B-cell-like diffuse large B-cell lymphoma into different prognostic subgroups.	SPEN
32139889	10.1038/s41375-020-0766-4	2021	Targeting of inflammatory pathways with R2CHOP in high-risk DLBCL.	SPEN
33777778	10.3389/fonc.2021.628807	2021	Mutational Profile and Clonal Evolution of Relapsed/Refractory Diffuse Large B-Cell Lymphoma.	SPEN
34256839	10.1186/s40164-021-00232-3	2021	Progress in molecular feature of smoldering mantle cell lymphoma.	SPEN
35008340	10.3390/cancers14010176	2021	Recent Advances in the Genetic of MALT Lymphomas.	SPEN
32173361	10.1016/j.exphem.2020.03.001	2020	Molecular characterization of sorted malignant B cells from patients clinically identified with mantle cell lymphoma.	SPEN
32191807	10.1182/bloodadvances.2019001396	2020	Genomic profiles and clinical outcomes of de novo blastoid/pleomorphic MCL are distinct from those of transformed MCL.	SPEN
32598477	10.1182/bloodadvances.2019001350	2020	Genetic mutations and features of mantle cell lymphoma: a systematic review and meta-analysis.	SPEN
31132650	10.1016/j.anndiagpath.2019.05.004	2019	TP53 mutations are common in mantle cell lymphoma, including the indolent leukemic non-nodal variant.	SPEN
29481902	10.1016/j.jid.2018.02.015	2018	Panel Sequencing Shows Recurrent Genetic FAS Alterations in Primary Cutaneous Marginal Zone Lymphoma.	SPEN
30209976	10.1080/15384101.2018.1522912	2018	PTPN14 regulates Roquin2 stability by tyrosine dephosphorylation.	SPEN
25381127	10.3324/haematol.2014.116855	2015	The NOTCH pathway is recurrently mutated in diffuse large B-cell lymphoma associated with hepatitis C virus infection.	SPEN
24486720	10.1016/j.jmr.2013.12.013	2014	In vivo single-shot 13C spectroscopic imaging of hyperpolarized metabolites by spatiotemporal encoding.	SPEN
23744182	10.1007/s00247-013-2721-2	2013	Imaging features of pancreatic tumors in children: 13-year experience at a pediatric tertiary hospital.	SPEN
24349473	10.1371/journal.pone.0083244	2013	Whole exome sequencing identifies novel recurrently mutated genes in patients with splenic marginal zone lymphoma.	SPEN
22497198	10.3109/10428194.2012.684350	2012	Biological effects of decreasing RBM15 on chronic myelogenous leukemia cells.	SPEN
22891273	10.1084/jem.20120904	2012	The coding genome of splenic marginal zone lymphoma: activation of NOTCH2 and other pathways regulating marginal zone development.	SPEN
