pmid	doi	year	title	Hugo_Symbol
33297669	10.3324/haematol.2020.267294	2022	Phenogenomic heterogeneity of post-transplant plasmablastic lymphomas.	STAT3
33579790	10.1136/gutjnl-2020-322935	2022	Oncogenetic landscape of lymphomagenesis in coeliac disease.	STAT3
33944901	10.1093/asj/sjab215	2022	Nonmalignant CD30+ Cells in Contralateral Peri-Implant Capsule of Patient With BIA-ALCL: A Premalignant Step?	STAT3
34380908	10.4103/1673-5374.320991	2022	Krüppel-like factor 7 attenuates hippocampal neuronal injury after traumatic brain injury.	STAT3
34503423	10.2174/1871520621666210908103306	2022	The Acetyltransferase KAT5 Inhibitor NU 9056 Promotes Apoptosis and Inhibits JAK2/STAT3 Pathway in Extranodal NK/T Cell Lymphoma.	STAT3
34520436	10.1097/CAD.0000000000001249	2022	Sensitivity of eight types of ALK fusion variant to alectinib in ALK-transformed cells.	STAT3
34528236	10.1111/bjd.20760	2022	Transcriptomic changes during stage progression of mycosis fungoides.	STAT3
34587248	10.1182/blood.2021012976	2022	Genome-wide CRISPR-Cas9 screen identifies rationally designed combination therapies for CRLF2-rearranged Ph-like ALL.	STAT3
34657149	10.1182/blood.2020008136	2022	Tyrosine phosphatases regulate resistance to ALK inhibitors in ALK+ anaplastic large cell lymphoma.	STAT3
34687742	10.1016/j.jid.2021.09.024	2022	PLCγ1/PKCθ Downstream Signaling Controls Cutaneous T-Cell Lymphoma Development and Progression.	STAT3
34714908	10.1182/bloodadvances.2021005486	2022	Integrative genomic and transcriptomic analysis in plasmablastic lymphoma identifies disruption of key regulatory pathways.	STAT3
34743203	10.1038/s41418-021-00880-2	2022	Glycoprotein PTGDS promotes tumorigenesis of diffuse large B-cell lymphoma by MYH9-mediated regulation of Wnt-β-catenin-STAT3 signaling.	STAT3
34818414	10.1182/blood.2021012734	2022	Genome-wide CRISPR screen identifies CDK6 as a therapeutic target in adult T-cell leukemia/lymphoma.	STAT3
34862350	10.1097/MPH.0000000000002364	2022	Management of Peripheral T-Cell Lymphoma in Children and Adolescents Including STAT 3 Mutation Hyper-IgE Syndrome: One Size Does Not Fit All.	STAT3
34915482	10.1159/000521445	2022	STAT3 Promotes Cell Proliferation by Potentiating the CCL4 Transcriptional Activity in Diffuse Large B-Cell Lymphoma.	STAT3
34917911	10.1016/j.jhepr.2021.100386	2022	ROCK2 inhibition attenuates profibrogenic immune cell function to reverse thioacetamide-induced liver fibrosis.	STAT3
34922904	10.1016/j.cbi.2021.109779	2022	Diffuse large B-cell lymphoma-derived exosomes push macrophage polarization toward M2 phenotype via GP130/STAT3 signaling pathway.	STAT3
34977845	10.1016/j.xjidi.2021.100068	2022	Genomic Analysis of Cutaneous CD30-Positive Lymphoproliferative Disorders.	STAT3
35014680	10.3892/mmr.2022.12592	2022	Role of TGM2 in T‑cell lymphoblastic lymphoma via regulation of IL‑6/JAK/STAT3 signalling.	STAT3
35021606	10.3324/haematol.2021.280003	2022	Immune pathway upregulation and lower genomic instability distinguish EBV-positive nodal T/NK-cell lymphoma from ENKTL and PTCL-NOS.	STAT3
35059947	10.1007/s10875-021-01197-y	2022	Malignancy in STAT3 Deficient Hyper IgE Syndrome.	STAT3
35085771	10.1016/j.cellsig.2022.110264	2022	EML4-ALK G1202R mutation induces EMT and confers resistance to ceritinib in NSCLC cells via activation of STAT3/Slug signaling.	STAT3
35100463	10.1111/cas.15277	2022	Inhibition of adult T-cell leukemia cell proliferation by polymerized proanthocyanidin from blueberry leaves through JAK proteolysis.	STAT3
35133054	10.1111/cas.15296	2022	Downregulation of miR-26 promotes invasion and metastasis via targeting interleukin-22 in cutaneous T-cell lymphoma.	STAT3
35136485	10.18632/oncotarget.28189	2022	GZ17-6.02 and axitinib interact to kill renal carcinoma cells.	STAT3
35189357	10.1016/j.phrs.2022.106134	2022	Expanding the armory for treating lymphoma: Targeting redox cellular status through thioredoxin reductase inhibition.	STAT3
