pmid	doi	year	title	Hugo_Symbol
34210682	10.1158/1078-0432.CCR-21-0553	2022	Network Analysis Reveals Synergistic Genetic Dependencies for Rational Combination Therapy in Philadelphia Chromosome-Like Acute Lymphoblastic Leukemia.	STAT5B
34587248	10.1182/blood.2021012976	2022	Genome-wide CRISPR-Cas9 screen identifies rationally designed combination therapies for CRLF2-rearranged Ph-like ALL.	STAT5B
34895266	10.1186/s13000-021-01173-5	2022	Clinicopathological and molecular genomic features of monomorphic epitheliotropic intestinal T-cell lymphoma in the Chinese population: a study of 20 cases.	STAT5B
35354799	10.1038/s41420-022-00953-2	2022	Ablation of Cbl-b and c-Cbl in dendritic cells causes spontaneous liver cirrhosis via altering multiple properties of CD103<sup>+</sup> cDC1s.	STAT5B
35452696	10.1016/j.humpath.2022.04.002	2022	B-cell lymphoma-2 downregulation is a useful feature supporting a neoplastic phenotype in mature T-cell lymphomas.	STAT5B
35551151	10.1097/PAS.0000000000001914	2022	Targeted Next-generation Sequencing Reveals a Wide Morphologic and Immunophenotypic Spectrum of Monomorphic Epitheliotropic Intestinal T-Cell Lymphoma.	STAT5B
35708139	10.3324/haematol.2022.281226	2022	Monomorphic epitheliotropic intestinal T-cell lymphoma comprises morphologic and genomic heterogeneity impacting outcome.	STAT5B
35895386	10.1111/bjd.21791	2022	Primary cutaneous peripheral T-cell lymphomas with a T-follicular helper phenotype: an integrative clinical, pathological and molecular case series study.	STAT5B
36045346	10.1186/s12943-022-01640-7	2022	PDGFRβ promotes oncogenic progression via STAT3/STAT5 hyperactivation in anaplastic large cell lymphoma.	STAT5B
31123029	10.3324/haematol.2019.216986	2021	High activation of STAT5A drives peripheral T-cell lymphoma and leukemia.	STAT5B
31822801	10.1038/s41379-019-0415-5	2021	Mutational profile and EBV strains of extranodal NK/T-cell lymphoma, nasal type in Latin America.	STAT5B
32479694	10.1002/cyto.b.21882	2021	Single-cell profiling of pediatric T-cell acute lymphoblastic leukemia: Impact of PTEN exon 7 mutation on PI3K/Akt and JAK-STAT signaling pathways.	STAT5B
32619110	10.1080/10520295.2020.1770332	2021	Silencing Stat3 inhibits viability and induces apoptosis in BGC-823 human gastric cancer cell line.	STAT5B
32643174	10.1111/ijd.15036	2021	Mapping signal transducer and activator of transcription (STAT) activity in different stages of mycosis fungoides and Sezary syndrome.	STAT5B
33410350	10.1080/10428194.2020.1869964	2021	<i>STAT3</i> and <i>STAT5B</i> mutations have unique distribution in T-cell large granular lymphocyte proliferations and advanced myeloid neoplasms.	STAT5B
34299796	10.3390/ijerph18147345	2021	The Genomic Landscape of a Restricted ALL Cohort from Patients Residing on the U.S./Mexico Border.	STAT5B
34535769	10.1038/s41388-021-02012-z	2021	Identification of mutations that cooperate with defects in B cell transcription factors to initiate leukemia.	STAT5B
34680385	10.3390/cancers13205238	2021	A Recurrent <i>STAT5B<sup>N642H</sup></i> Driver Mutation in Feline Alimentary T Cell Lymphoma.	STAT5B
30516071	10.1080/10428194.2018.1543875	2020	MicroRNA-221 sensitizes chronic myeloid leukemia cells to imatinib by targeting STAT5.	STAT5B
31394087	10.1016/j.yexmp.2019.104294	2020	RHOA G17V mutation in angioimmunoblastic T-cell lymphoma: A potential biomarker for cytological assessment.	STAT5B
31774495	10.1182/blood.2019001904	2020	Gene alterations in epigenetic modifiers and JAK-STAT signaling are frequent in breast implant-associated ALCL.	STAT5B
31914529	10.3760/cma.j.issn.0529-5807.2020.01.004	2020	[Monomorphic epitheliotropic intestinal T-cell lymphoma: a clinicopathological analysis of twelve cases].	STAT5B
