pmid	doi	year	title	Hugo_Symbol
32964767	10.1080/10428194.2020.1821011	2021	Frequent mutations in HLA and related genes in extranodal NK/T cell lymphomas.	TAP1
35845006	10.1002/jha2.116	2020	Genetic aberrations of <i>NLRC5</i> are associated with downregulated MHC-I antigen presentation and impaired T-cell immunity in follicular lymphoma.	TAP1
29107940	10.1038/nature24627	2017	Structure of the human MHC-I peptide-loading complex.	TAP1
26910071	10.1007/978-1-4939-3347-1_7	2016	Fluorimetric Methods for Analysis of Permeability, Drug Transport Kinetics, and Inhibition of the ABCB1 Membrane Transporter.	TAP1
23302045	10.3109/10428194.2013.764417	2013	Whole blood transcriptional profiling reveals significant down-regulation of human leukocyte antigen class I and II genes in essential thrombocythemia, polycythemia vera and myelofibrosis.	TAP1
22419807	10.1128/JVI.07216-11	2012	Identification of host-chromosome binding sites and candidate gene targets for Kaposi's sarcoma-associated herpesvirus LANA.	TAP1
20020123	10.1007/s00262-009-0805-5	2010	Effective adoptive therapy of tap-deficient lymphoma using diverse high avidity alloreactive T cells.	TAP1
17285277	10.1007/s00277-007-0256-z	2007	Upregulation of antigen-processing machinery components at mRNA level in acute lymphoblastic leukemia cells after CD40 stimulation.	TAP1
16585582	10.4049/jimmunol.176.8.4869	2006	Expression of endoplasmic reticulum aminopeptidases in EBV-B cell lines from healthy donors and in leukemia/lymphoma, carcinoma, and melanoma cell lines.	TAP1
15905524	10.4049/jimmunol.174.11.6829	2005	Impaired transporter associated with antigen processing-dependent peptide transport during productive EBV infection.	TAP1
16103103	10.1158/0008-5472.CAN-03-3734	2005	Identification of mechanisms underlying transporter associated with antigen processing deficiency in metastatic murine carcinomas.	TAP1
15265880	10.4049/jimmunol.173.3.1526	2004	Antigen-processing machinery in human dendritic cells: up-regulation by maturation and down-regulation by tumor cells.	TAP1
14558951		2003	[Expression of transporter associated with antigen processing (TAP) in childhood acute leukemia and its clinical significance].	TAP1
11781255	10.1182/blood.v99.2.690	2002	HLA-DR, HLA-DQ, and TAP genes in familial Hodgkin disease.	TAP1
11169961	10.1002/1097-0215(200002)9999:9999&lt;::aid-ijc1056&gt;3.0.co;2-k	2001	Systemic deficits in transporter for antigen presentation (TAP)-1 or proteasome subunit LMP2 have little or no effect on tumor incidence.	TAP1
11340574	10.1002/1097-0215(20010601)92:5&lt;692::aid-ijc1237&gt;3.0.co;2-z	2001	Expression of HLA class I, beta(2)-microglobulin, TAP1 and IL-10 in Epstein-Barr virus-associated nasal NK/T-cell lymphoma: Implications for tumor immune escape mechanism.	TAP1
10760797	10.1002/(SICI)1521-4141(200004)30:4&lt;1088::AID-IMMU1088&gt;3.0.CO;2-O	2000	Innate and adaptive immunity to tumors: IL-12 is required for optimal responses.	TAP1
10597194	10.1002/(sici)1097-0215(19991210)83:6&lt;772::aid-ijc13&gt;3.0.co;2-g	1999	CD40 cross-linking enhances the immunogenicity of Burkitt's-lymphoma cell lines.	TAP1
9443401		1998	Mouse models for hereditary nonpolyposis colorectal cancer.	TAP1
9443410		1998	Molecular characterization of antigen-processing function in nasopharyngeal carcinoma (NPC): evidence for efficient presentation of Epstein-Barr virus cytotoxic T-cell epitopes by NPC cells.	TAP1
9531330	10.1046/j.1365-2141.1998.00631.x	1998	Loss of HLA molecules in B lymphomas is associated with an aggressive clinical course.	TAP1
9551890		1998	Rejection of allogeneic and syngeneic but not MHC class I-deficient tumor grafts by MHC class I-deficient mice.	TAP1
9562372	10.1016/s0165-2478(97)00157-0	1998	Peptide transport in human lymphoblastoid and tumor cells: effect of transporter associated with antigen presentation (TAP) polymorphism.	TAP1
9680372		1998	Antigen presenting phenotype of Hodgkin Reed-Sternberg cells: analysis of the HLA class I processing pathway and the effects of interleukin-10 on epstein-barr virus-specific cytotoxic T-cell recognition.	TAP1
9725200		1998	Constitutive IL-10 production accounts for the high NK sensitivity, low MHC class I expression, and poor transporter associated with antigen processing (TAP)-1/2 function in the prototype NK target YAC-1.	TAP1
9746788		1998	Analysis of major histocompatibility complex class I, TAP expression, and LMP2 epitope sequence in Epstein-Barr virus-positive Hodgkin's disease.	TAP1
9764810	10.1097/00008390-199808000-00008	1998	TAP prefers to transport melanoma antigenic peptides which are longer than the optimal T-cell epitope: evidence for further processing in the endoplasmic reticulum.	TAP1
9129970	10.1016/S0198-8859(97)00001-3	1997	Localization of class I histocompatibility molecule assembly by subfractionation of the early secretory pathway.	TAP1
9278330		1997	Chimeric peptides: a new approach to enhancing the immunogenicity of peptides with low MHC class I affinity: application in antiviral vaccination.	TAP1
9317117		1997	Down-regulation of the expression and function of the transporter associated with antigen processing in murine tumor cell lines expressing IL-10.	TAP1
9550373		1997	Engagement of CD40 antigen with soluble CD40 ligand up-regulates peptide transporter expression and restores endogenous processing function in Burkitt's lymphoma cells.	TAP1
8764046	10.1128/JVI.70.8.5357-5362.1996	1996	Peptide transporter (TAP-1 and TAP-2)-independent endogenous processing of Epstein-Barr virus (EBV) latent membrane protein 2A: implications for cytotoxic T-lymphocyte control of EBV-associated malignancies.	TAP1
8765034	10.1002/eji.1830260831	1996	Transporter (TAP)-independent processing of a multiple membrane-spanning protein, the Epstein-Barr virus latent membrane protein 2.	TAP1
8900437	10.1002/(SICI)1097-0215(19961009)68:2&lt;251::AID-IJC19&gt;3.0.CO;2-D	1996	Defective presentation of MHC class I-restricted cytotoxic T-cell epitopes in Burkitt's lymphoma cells.	TAP1
7565411	10.1128/mr.59.3.387-405.1995	1995	Immune regulation in Epstein-Barr virus-associated diseases.	TAP1
7774641	10.1002/eji.1830250536	1995	Restoration of endogenous antigen processing in Burkitt's lymphoma cells by Epstein-Barr virus latent membrane protein-1: coordinate up-regulation of peptide transporters and HLA-class I antigen expression.	TAP1
7517178	10.1093/intimm/6.4.639	1994	Endoplasmic reticulum signal sequence facilitated transport of peptide epitopes restores immunogenicity of an antigen processing defective tumour cell line.	TAP1
7796675	10.1002/9780470514672.ch2	1994	Potential antigenic targets on Epstein-Barr virus-associated tumours and the host response.	TAP1
7972022	10.1073/pnas.91.23.11128	1994	Abnormal class I assembly and peptide presentation in the nonobese diabetic mouse.	TAP1
