pmid	doi	year	title	Hugo_Symbol
34448823	10.1182/bloodadvances.2021004212	2022	The molecular hallmarks of primary and secondary vitreoretinal lymphoma.	TBL1XR1
34494161	10.1007/s00428-021-03186-3	2022	Mutational landscape of marginal zone B-cell lymphomas of various origin: organotypic alterations and diagnostic potential for assignment of organ origin.	TBL1XR1
34791836	10.1002/cam4.4422	2022	Identification of a genetic signature enriching for response to ibrutinib in relapsed/refractory follicular lymphoma in the DAWN phase 2 trial.	TBL1XR1
34799485	10.1097/PAS.0000000000001834	2022	Resistance of B-Cell Lymphomas to CAR T-Cell Therapy Is Associated With Genomic Tumor Changes Which Can Result in Transdifferentiation.	TBL1XR1
35205758	10.3390/cancers14041010	2022	Low Mutational Burden of Extranodal Marginal Zone Lymphoma of Mucosa-Associated Lymphoid Tissue in Patients with Primary Sjogren's Syndrome.	TBL1XR1
35300216	10.2147/JIR.S341355	2022	The Mutation of <i>BTG2</i> Gene Predicts a Poor Outcome in Primary Testicular Diffuse Large B-Cell Lymphoma.	TBL1XR1
35401516	10.3389/fimmu.2022.842439	2022	Oncogenic Mutations and Tumor Microenvironment Alterations of Older Patients With Diffuse Large B-Cell Lymphoma.	TBL1XR1
35583604	10.1158/1078-0432.CCR-21-3347	2022	Interactome of Aiolos/Ikaros Reveals Combination Rationale of Cereblon Modulators with HDAC Inhibitors in DLBCL.	TBL1XR1
35726023	10.1038/s41684-022-00998-x	2022	The genomic landscape of canine diffuse large B-cell lymphoma identifies distinct subtypes with clinical and therapeutic implications.	TBL1XR1
33777766	10.3389/fonc.2021.620435	2021	Case Report: Multiple Chromosomal Translocations Including Novel CIITA-CREBBP Fusion and Mutations in a Follicular Lymphoma.	TBL1XR1
34147695	10.1016/j.jmoldx.2021.04.013	2021	Detection of Gene Fusion Transcripts in Peripheral T-Cell Lymphoma Using a Multiplexed Targeted Sequencing Assay.	TBL1XR1
35528192	10.1158/2767-9764.crc-21-0022	2021	The Genetic Landscape of Ocular Adnexa MALT Lymphoma Reveals Frequent Aberrations in NFAT and MEF2B Signaling Pathways.	TBL1XR1
31557339	10.1111/his.14005	2020	Fluorescence in-situ hybridisation for TP63 rearrangements in T cell lymphomas: single-site experience of 470 patients and implications for clinical testing.	TBL1XR1
32012328	10.1002/hon.2718	2020	High throughput sequencing reveals high specificity of TNFAIP3 mutations in ocular adnexal marginal zone B-cell lymphomas.	TBL1XR1
32316399	10.3390/cancers12040986	2020	Identifying Genetic Lesions in Ocular Adnexal Extranodal Marginal Zone Lymphomas of the MALT Subtype by Whole Genome, Whole Exome and Targeted Sequencing.	TBL1XR1
32322395	10.1186/s40364-020-00189-1	2020	TBL1XR1 mutation predicts poor outcome in primary testicular diffuse large B-cell lymphoma patients.	TBL1XR1
32339039	10.1080/02713683.2020.1762228	2020	<i>TBL1XR1</i> Mutations in Primary Marginal Zone Lymphomas of Ocular Adnexa are Associated with Unique Morphometric Phenotypes.	TBL1XR1
32546039	10.1080/10428194.2020.1775216	2020	TBLR1 and CREBBP as potential novel prognostic immunohistochemical biomarkers in diffuse large B-cell lymphoma.	TBL1XR1
32619424	10.1016/j.cell.2020.05.049	2020	TBL1XR1 Mutations Drive Extranodal Lymphoma by Inducing a Pro-tumorigenic Memory Fate.	TBL1XR1
32932517	10.1182/blood.2020005857	2020	The dangers of déjà vu: memory B cells as the cells of origin of ABC-DLBCLs.	TBL1XR1
33252851	10.1002/ctm2.221	2020	Influence of oncogenic mutations and tumor microenvironment alterations on extranodal invasion in diffuse large B-cell lymphoma.	TBL1XR1
31648321	10.1182/bloodadvances.2019000404	2019	Transcriptome analysis offers a comprehensive illustration of the genetic background of pediatric acute myeloid leukemia.	TBL1XR1
31806993	10.2147/OTT.S227122	2019	Genomic Alterations In Primary Cardiac Diffuse Large B Cell Lymphoma: A Case Report And Literature Review.	TBL1XR1
29674500	10.3324/haematol.2018.191601	2018	Novel <i>GPR34</i> and <i>CCR6</i> mutation and distinct genetic profiles in MALT lymphomas of different sites.	TBL1XR1
29891112	10.1016/j.critrevonc.2018.05.010	2018	Molecular analysis in liquid biopsies for diagnostics of primary central nervous system lymphoma: Review of literature and future opportunities.	TBL1XR1
30214692	10.18632/oncotarget.26080	2018	Correction: The mutational landscape of ocular marginal zone lymphoma identifies frequent alterations in <i>TNFAIP3</i> followed by mutations in <i>TBL1XR1</i> and <i>CREBBP</i>.	TBL1XR1
30401751	10.1182/bloodadvances.2018022962	2018	Insights into the genomic landscape of MYD88 wild-type Waldenström macroglobulinemia.	TBL1XR1
28152507	10.18632/oncotarget.14928	2017	The mutational landscape of ocular marginal zone lymphoma identifies frequent alterations in TNFAIP3 followed by mutations in TBL1XR1 and CREBBP.	TBL1XR1
28479318	10.1016/j.jid.2017.04.010	2017	Identification of Somatic Mutations in Primary Cutaneous Diffuse Large B-Cell Lymphoma, Leg Type by Massive Parallel Sequencing.	TBL1XR1
28509585	10.1080/10428194.2017.1318437	2017	Identification of a novel fusion TBL1XR1-PDGFRB in a patient with acute myeloid leukemia harboring the DEK-NUP214 fusion and clinical response to dasatinib.	TBL1XR1
26111727	10.1111/nan.12259	2016	Recurrent mutations of CD79B and MYD88 are the hallmark of primary central nervous system lymphomas.	TBL1XR1
26608593	10.1002/gcc.22328	2016	Whole exome sequencing of relapsed/refractory patients expands the repertoire of somatic mutations in diffuse large B-cell lymphoma.	TBL1XR1
27248180	10.18632/oncotarget.9678	2016	The genetic landscape of dural marginal zone lymphomas.	TBL1XR1
25991819	10.1158/1078-0432.CCR-14-2116	2015	Genome-Wide Analysis Uncovers Novel Recurrent Alterations in Primary Central Nervous System Lymphomas.	TBL1XR1
26189108	10.1016/j.leukres.2015.06.005	2015	Next-generation-sequencing of recurrent childhood high hyperdiploid acute lymphoblastic leukemia reveals mutations typically associated with high risk patients.	TBL1XR1
23823658	10.1038/leu.2013.206	2014	Deletions of IKZF1 and SPRED1 are associated with poor prognosis in a population-based series of pediatric B-cell precursor acute lymphoblastic leukemia diagnosed between 1992 and 2011.	TBL1XR1
24689486	10.1111/exd.12405	2014	Novel TBL1XR1, EPHA7 and SLFN12 mutations in a Sezary syndrome patient discovered by whole exome sequencing.	TBL1XR1
24895125	10.1074/jbc.M114.569889	2014	Loss of TBL1XR1 disrupts glucocorticoid receptor recruitment to chromatin and results in glucocorticoid resistance in a B-lymphoblastic leukemia model.	TBL1XR1
24970810	10.18632/oncotarget.2080	2014	Mutational analysis of primary central nervous system lymphoma.	TBL1XR1
22496164	10.1182/blood-2012-02-414441	2012	TBL1XR1/TP63: a novel recurrent gene fusion in B-cell non-Hodgkin lymphoma.	TBL1XR1
22837180	10.1158/1078-0432.CCR-12-0845	2012	Recurrent mutations of MYD88 and TBL1XR1 in primary central nervous system lymphomas.	TBL1XR1
23022380	10.1016/j.molcel.2012.08.022	2012	NOTCH1 nuclear interactome reveals key regulators of its transcriptional activity and oncogenic function.	TBL1XR1
21562036	10.1158/1078-0432.CCR-11-0395	2011	Primary central nervous system lymphomas: a validation study of array-based comparative genomic hybridization in formalin-fixed paraffin-embedded tumor specimens.	TBL1XR1
21680795	10.1182/blood-2011-03-341412	2011	Key pathways are frequently mutated in high-risk childhood acute lymphoblastic leukemia: a report from the Children's Oncology Group.	TBL1XR1
20547759	10.1128/MCB.01600-09	2010	The repressing function of the oncoprotein BCL-3 requires CtBP, while its polyubiquitination and degradation involve the E3 ligase TBLR1.	TBL1XR1
18767146	10.1002/gcc.20613	2008	The complex genomic profile of ETV6-RUNX1 positive acute lymphoblastic leukemia highlights a recurrent deletion of TBL1XR1.	TBL1XR1
