pmid	doi	year	title	Hugo_Symbol
34471502	10.1016/j.csbj.2021.08.019	2022	The molecular feature of macrophages in tumor immune microenvironment of glioma patients.	TLR2
35345353	10.31557/APJCP.2022.23.3.823	2022	Clinical Implication of Toll-Like Receptors (TLR2 and TLR4) Polymorphisms in Adult Patients with Acute B-cell Lymphoblastic Leukemia.	TLR2
35715478	10.1038/s41598-022-14004-4	2022	Elevated expression of TLR2 and its correlation with disease activity and clinical manifestations in adult-onset Still's disease.	TLR2
35818037	10.1186/s12906-022-03660-8	2022	Qin Huang formula enhances the effect of Adriamycin in B-cell lymphoma via increasing tumor infiltrating lymphocytes by targeting toll-like receptor signaling pathway.	TLR2
25610736	10.4161/21624011.2014.947892	2021	Two in one: improving synthetic long peptide vaccines by combining antigen and adjuvant in one molecule.	TLR2
32008135	10.1007/s10875-020-00760-3	2021	Human BCL10 Deficiency due to Homozygosity for a Rare Allele.	TLR2
32041862	10.1136/bmjopen-2019-034629	2021	Third-generation anti-CD19 chimeric antigen receptor T-cells incorporating a TLR2 domain for relapsed or refractory B-cell lymphoma: a phase I clinical trial protocol (ENABLE).	TLR2
32378684	10.1039/d0fo00575d	2021	Polysaccharides from Enteromorpha prolifera protect against carbon tetrachloride-induced acute liver injury in mice via activation of Nrf2/HO-1 signaling, and suppression of oxidative stress, inflammation and apoptosis.	TLR2
32598477	10.1182/bloodadvances.2019001350	2021	Genetic mutations and features of mantle cell lymphoma: a systematic review and meta-analysis.	TLR2
32970964	10.1165/rcmb.2020-0083OC	2021	<i>Aspergillus</i> <i>fumigatus</i> Recognition by Dendritic Cells Negatively Regulates Allergic Lung Inflammation through a TLR2/MyD88 Pathway.	TLR2
33757561	10.1186/s13104-021-05521-y	2021	HTLV-1-associated myelopathy/tropical spastic paraparesis (HAM/TSP) versus adult T-cell leukemia/lymphoma (ATLL).	TLR2
33776761	10.3389/fphar.2021.602676	2021	Pharmacogenetics-Based Preliminary Algorithm to Predict the Incidence of Infection in Patients Receiving Cytotoxic Chemotherapy for Hematological Malignancies: A Discovery Cohort.	TLR2
34113355	10.3389/fimmu.2021.684424	2021	Hippo Pathway Counter-Regulates Innate Immunity in Hepatitis B Virus Infection.	TLR2
29723986	10.3390/cancers10050129	2020	EBV Positive Diffuse Large B Cell Lymphoma and Chronic Lymphocytic Leukemia Patients Exhibit Increased Anti-dUTPase Antibodies.	TLR2
30930876	10.3389/fmicb.2019.00475	2020	Clinical Significance of Polymorphisms in Immune Response Genes in Hepatitis C-Related Hepatocellular Carcinoma.	TLR2
32359574	10.1016/j.psj.2019.10.034	2020	Gut microbiota mediates the protective role of Lactobacillus plantarum in ameliorating deoxynivalenol-induced apoptosis and intestinal inflammation of broiler chickens.	TLR2
29458388	10.1186/s13045-018-0572-x	2019	A novel generation 1928zT2 CAR T cells induce remission in extramedullary relapse of acute lymphoblastic leukemia.	TLR2
31123885	10.1007/978-3-030-15138-6_3	2019	Genetic Polymorphisms in Inflammatory and Other Regulators in Gastric Cancer: Risks and Clinical Consequences.	TLR2
26405015	10.1038/cdd.2015.104	2018	MALT1 is an intrinsic regulator of regulatory T cells.	TLR2
27183918	10.18632/oncotarget.9303	2018	HCV-related liver and lymphoproliferative diseases: association with polymorphisms of IL28B and TLR2.	TLR2
27780938	10.18632/oncotarget.12816	2018	Toll-like receptor agonists partially restore the production of pro-inflammatory cytokines and type I interferon in Sézary syndrome.	TLR2
27059597	10.4049/jimmunol.1502297	2017	B Cell Anergy Modulated by TLR1/2 and the miR-17∼92 Cluster Underlies the Indolent Clinical Course of Chronic Lymphocytic Leukemia Stereotyped Subset #4.	TLR2
27123851	10.1371/journal.pone.0153823	2017	Toll-Like Receptor 1/2 and 5 Ligands Enhance the Expression of Cyclin D1 and D3 and Induce Proliferation in Mantle Cell Lymphoma.	TLR2
27343564	10.1016/j.jinf.2016.04.040	2017	Baseline cytokine profiling identifies novel risk factors for invasive fungal disease among haematology patients undergoing intensive chemotherapy or haematopoietic stem cell transplantation.	TLR2
25886362	10.1186/s12974-015-0294-8	2016	Intravenous immunoglobulin (IVIg) dampens neuronal toll-like receptor-mediated responses in ischemia.	TLR2
26294727	10.3324/haematol.2014.119933	2016	Toll-like receptor stimulation in splenic marginal zone lymphoma can modulate cell signaling, activation and proliferation.	TLR2
26372276	10.1097/QAD.0000000000000687	2016	Dysregulated B-cell TLR2 expression and elevated regulatory B-cell frequency precede the diagnosis of AIDS-related non-Hodgkin lymphoma.	TLR2
26779828	10.1038/labinvest.2015.156	2016	The pro-inflammatory role of high-mobility group box 1 protein (HMGB-1) in photoreceptors and retinal explants exposed to elevated pressure.	TLR2
24950688	10.1158/2326-6066.CIR-13-0223	2015	Efficient induction of antitumor immunity by synthetic toll-like receptor ligand-peptide conjugates.	TLR2
25596131	10.1016/j.bbrc.2015.01.011	2015	Pam2 lipopeptides systemically increase myeloid-derived suppressor cells through TLR2 signaling.	TLR2
25850245		2015	[The diagnostic of defects of inborn immunity under B-cell tumors of lymphatic system].	TLR2
25867213	10.1002/eji.201444874	2015	Heterodimer-specific TLR2 stimulation results in divergent functional outcomes in B-cell precursor acute lymphoblastic leukemia.	TLR2
23666053	10.1007/s11033-013-2513-7	2014	Polymorphisms and haplotypes in MyD88 are associated with the development of sarcoidosis: a candidate-gene association study.	TLR2
24899179	10.1128/JVI.00841-14	2014	The gammaherpesviruses Kaposi's sarcoma-associated herpesvirus and murine gammaherpesvirus 68 modulate the Toll-like receptor-induced proinflammatory cytokine response.	TLR2
24912772	10.1007/s00277-014-2131-z	2014	Toll-like receptor 2 and 9 genetic polymorphisms and the susceptibility to B cell Non-Hodgkin Lymphoma in Egypt.	TLR2
23722608	10.1097/QAI.0b013e31829d4d50	2013	TLR2-activated B cells are phenotypically similar to the abnormal circulating B cells seen preceding the diagnosis of AIDS-related NHL diagnosis.	TLR2
24145436	10.1073/pnas.1314608110	2013	Landscape of somatic mutations and clonal evolution in mantle cell lymphoma.	TLR2
21951393	10.1684/ejd.2011.1544	2012	Functional and phenotypical alterations of polymorphonuclear cells in Sézary syndrome patients.	TLR2
22134717	10.1038/leu.2011.341	2012	Polymorphisms in the TLR6 gene associated with the inverse association between childhood acute lymphoblastic leukemia and atopic disease.	TLR2
22384669		2012	[Toll-like receptors expression on Burkitt lymphoma cells].	TLR2
20438785	10.1016/j.humimm.2010.04.004	2011	Polymorphisms in innate immunity genes and risk of childhood leukemia.	TLR2
