pmid	doi	year	title	Hugo_Symbol
31307539	10.1186/s40425-019-0664-3	2019	Molecular and metabolic pathways mediating curative treatment of a non-Hodgkin B cell lymphoma by Sindbis viral vectors and anti-4-1BB monoclonal antibody.	TNFSF9
30194255	10.1182/blood-2018-04-845834	2018	Aberrant CD137 ligand expression induced by GATA6 overexpression promotes tumor progression in cutaneous T-cell lymphoma.	TNFSF9
27756788	10.1158/1078-0432.CCR-16-1272	2017	Results from an Integrated Safety Analysis of Urelumab, an Agonist Anti-CD137 Monoclonal Antibody.	TNFSF9
25710169	10.1371/journal.ppat.1004652	2015	HITS-CLIP analysis uncovers a link between the Kaposi's sarcoma-associated herpesvirus ORF57 protein and host pre-mRNA metabolism.	TNFSF9
23095505	10.1097/PAS.0b013e318268c6ea	2013	CD137 ligand is expressed in primary and secondary lymphoid follicles and in B-cell lymphomas: diagnostic and therapeutic implications.	TNFSF9
23204227	10.1158/0008-5472.CAN-12-3849	2013	Expression of CD137 on Hodgkin and Reed-Sternberg cells inhibits T-cell activation by eliminating CD137 ligand expression.	TNFSF9
23716461	10.1002/gcc.22072	2013	The costimulatory molecule CD70 is regulated by distinct molecular mechanisms and is associated with overall survival in diffuse large B-cell lymphoma.	TNFSF9
22213068	10.1002/ijc.27416	2012	Recurrent deletions of the TNFSF7 and TNFSF9 genes in 19p13.3 in diffuse large B-cell and Burkitt lymphomas.	TNFSF9
20438785	10.1016/j.humimm.2010.04.004	2010	Polymorphisms in innate immunity genes and risk of childhood leukemia.	TNFSF9
20520765	10.1371/journal.pone.0010845	2010	Inhibition of proliferation and induction of apoptosis in multiple myeloma cell lines by CD137 ligand signaling.	TNFSF9
19225975	10.1080/10428190802709453	2009	The role of soluble and cell-surface expressed 4-1BB ligand in patients with malignant hemopoietic disorders.	TNFSF9
19382019	10.1080/09553000902838541	2009	Effect of (211)At alpha-particle irradiation on expression of selected radiation responsive genes in human lymphocytes.	TNFSF9
19573080	10.1111/j.1365-2141.2009.07790.x	2009	Common genetic variants in candidate genes and risk of familial lymphoid malignancies.	TNFSF9
19608748	10.1182/blood-2009-03-208215	2009	Mice deficient for CD137 ligand are predisposed to develop germinal center-derived B-cell lymphoma.	TNFSF9
19773279	10.1136/oem.2008.044024	2009	Association between genetic variants in VEGF, ERCC3 and occupational benzene haematotoxicity.	TNFSF9
16287062	10.1002/ijc.21579	2006	Mantle cell lymphomas acquire increased expression of CCL4, CCL5 and 4-1BB-L implicated in cell survival.	TNFSF9
16800841	10.1111/j.1600-0609.2006.00679.x	2006	Serum levels of sCD137 (4-1BB) ligand are prognostic factors for progression in acute myeloid leukemia but not in non-Hodgkin's lymphoma.	TNFSF9
14648705	10.1002/ijc.11574	2004	CD137 and CD137 ligand constitutively coexpressed on human T and B leukemia cells signal proliferation and survival.	TNFSF9
11485353	10.1006/cimm.2001.1804	2001	4-1BBL enhances anti-tumor responses in the presence or absence of CD28 but CD28 is required for protective immunity against parental tumors.	TNFSF9
10202049		1999	4-1BBL cooperates with B7-1 and B7-2 in converting a B cell lymphoma cell line into a long-lasting antitumor vaccine.	TNFSF9
7532686	10.1084/jem.181.3.985	1995	Role of 4-1BB ligand in costimulation of T lymphocyte growth and its upregulation on M12 B lymphomas by cAMP.	TNFSF9
7622190	10.1016/0165-2478(94)00227-i	1995	Characterization of human homologue of 4-1BB and its ligand.	TNFSF9
