pmid	doi	year	title	Hugo_Symbol
31857520	10.4103/ijdvl.IJDVL_1011_18	2022	Thymocyte selection-associated high-mobility group box as a potential diagnostic marker differentiating hypopigmented mycosis fungoides from early vitiligo: A pilot study.	TOX
33608984	10.1111/ajco.13545	2022	Increased TOX expression concurrent with PD-1, Tim-3, and CD244 in T cells from patients with non-Hodgkin lymphoma.	TOX
33785299	10.1016/j.clml.2021.02.014	2022	Transition from Intravenous to Subcutaneous Daratumumab Formulation in Clinical Practice.	TOX
34852226	10.1016/j.celrep.2021.110079	2022	CD19-CAR T cells undergo exhaustion DNA methylation programming in patients with acute lymphoblastic leukemia.	TOX
35111387	10.1080/2162402X.2022.2033433	2022	CD4+ T cells in classical Hodgkin lymphoma express exhaustion associated transcription factors TOX and TOX2: Characterizing CD4+ T cells in Hodgkin lymphoma.	TOX
35203244	10.3390/cells11040593	2022	Understanding Cell Lines, Patient-Derived Xenograft and Genetically Engineered Mouse Models Used to Study Cutaneous T-Cell Lymphoma.	TOX
35642346	10.5146/tjpath.2022.01578	2022	TOX Outperforms FOXP3, CD4 and GATA3 in Histopathological Diagnosis of Early Mycosis Fungoides.	TOX
35679527	10.1080/10428194.2022.2081326	2022	TCF1 and Tox define different subsets of CD4 T cells in patients with Sézary syndrome.	TOX
35704047	10.1007/s00204-022-03322-1	2022	Genotoxicity of methyl acrylate and ethyl acrylate and its relationship with glutathione.	TOX
35713502	10.1093/rheumatology/keac304	2022	TOX promotes follicular helper T cell differentiation in patients with primary Sjögren's syndrome.	TOX
35885488	10.3390/diagnostics12071582	2022	TOX Expression in Mycosis Fungoides and Sezary Syndrome.	TOX
25941598	10.4161/21624011.2014.970025	2021	Ectopic expression of embryonic stem cell and other developmental genes in cutaneous T-cell lymphoma.	TOX
28638728	10.1080/2162402X.2017.1306618	2021	Gene expression analysis in Cutaneous T-Cell Lymphomas (CTCL) highlights disease heterogeneity and potential diagnostic and prognostic indicators.	TOX
30221071	10.1080/2162402X.2018.1467856	2021	Gene expression profiling and immune cell-type deconvolution highlight robust disease progression and survival markers in multiple cohorts of CTCL patients.	TOX
31676945	10.1007/s00403-019-02000-0	2021	Molecular profiling of TOX-deficient neoplastic cells in cutaneous T cell lymphoma.	TOX
32554312	10.1016/j.anndiagpath.2020.151546	2021	Is it mycosis fungoides? A comprehensive guide to reaching the diagnosis and avoiding common pitfalls.	TOX
32859220	10.1186/s12977-020-00535-z	2021	Interferon regulatory factor 4 as a therapeutic target in adult T-cell leukemia lymphoma.	TOX
33112366	10.1001/jamadermatol.2020.3958	2021	Low-Dose Total Skin Electron Beam Therapy as Part of a Multimodality Regimen for Treatment of Sézary Syndrome: Clinical, Immunologic, and Molecular Analysis.	TOX
