pmid	doi	year	title	Hugo_Symbol
35411950	10.1002/cbf.3702	2022	USP7 sustains an active epigenetic program via stabilizing MLL2 and WDR5 in diffuse large B-cell lymphoma.	USP7
33634864	10.1002/ijc.33527	2021	Deleterious point mutations in T-cell acute lymphoblastic leukemia: Mechanistic insights into leukemogenesis.	USP7
33650720	10.1111/jvim.16082	2021	Ubiquitin-specific protease 7 as a potential therapeutic target in dogs with hematopoietic malignancies.	USP7
33664368	10.1038/s41598-021-84647-2	2021	Integrative network analysis reveals USP7 haploinsufficiency inhibits E-protein activity in pediatric T-lineage acute lymphoblastic leukemia (T-ALL).	USP7
34061780	10.1172/JCI146893	2021	TRIP13 modulates protein deubiquitination and accelerates tumor development and progression of B cell malignancies.	USP7
34454635	10.1186/s40364-021-00320-w	2021	Deubiquitinases in hematological malignancies.	USP7
34523970	10.1128/JVI.01459-21	2021	The ORF45 Protein of Kaposi Sarcoma-Associated Herpesvirus Is an Inhibitor of p53 Signaling during Viral Reactivation.	USP7
31666375	10.1128/JVI.01553-19	2020	USP7-Dependent Regulation of TRAF Activation and Signaling by a Viral Interferon Regulatory Factor Homologue.	USP7
32444465	10.1158/2159-8290.CD-19-1436	2020	Posttranslational Regulation of the Exon Skipping Machinery Controls Aberrant Splicing in Leukemia.	USP7
30617194	10.1182/blood-2018-09-871418	2019	Genome-wide discovery of somatic coding and noncoding mutations in pediatric endemic and sporadic Burkitt lymphoma.	USP7
30938820	10.1093/jnci/djz043	2019	Genome-Wide Association Study of Susceptibility Loci for T-Cell Acute Lymphoblastic Leukemia in Children.	USP7
29343584	10.1128/JVI.02003-17	2018	Human Herpesvirus 8 Interferon Regulatory Factors 1 and 3 Mediate Replication and Latency Activities via Interactions with USP7 Deubiquitinase.	USP7
28157215	10.1038/bcj.2017.3	2017	Identification of a genetically defined ultra-high-risk group in relapsed pediatric T-lymphoblastic leukemia.	USP7
24710217	10.1038/ncomms4630	2014	The landscape of somatic mutations in epigenetic regulators across 1,000 paediatric cancer genomes.	USP7
23665184	10.1016/j.jhep.2013.04.031	2013	Pleiotropic effects of methionine adenosyltransferases deregulation as determinants of liver cancer progression and prognosis.	USP7
22514345	10.1128/JVI.06840-11	2012	The ubiquitin-specific protease USP7 modulates the replication of Kaposi's sarcoma-associated herpesvirus latent episomal DNA.	USP7
23022380	10.1016/j.molcel.2012.08.022	2012	NOTCH1 nuclear interactome reveals key regulators of its transcriptional activity and oncogenic function.	USP7
22056774	10.1038/nsmb.2142	2011	Bilateral inhibition of HAUSP deubiquitinase by a viral interferon regulatory factor protein.	USP7
20074048	10.1042/BST0380137	2010	The therapeutic potential of deubiquitinating enzyme inhibitors.	USP7
15359630	10.1080/10428190410001663635	2004	Ubiquitin ligases in malignant lymphoma.	USP7
