pmid	doi	year	title	Hugo_Symbol
35301414	10.1038/s41379-022-01022-w	2022	Nodal cytotoxic peripheral T-cell lymphoma occurs frequently in the clinical setting of immunodysregulation and is associated with recurrent epigenetic alterations.	VAV1
35326399	10.3390/cells11060949	2022	Vav1 Promotes B-Cell Lymphoma Development.	VAV1
35443168	10.1016/j.celrep.2022.110695	2022	Oncogenic Vav1-Myo1f induces therapeutically targetable macrophage-rich tumor microenvironment in peripheral T cell lymphoma.	VAV1
35895495	10.1002/1878-0261.13295	2022	Characterization of the spectrum of trivalent VAV1-mutation-driven tumours using a gene-edited mouse model.	VAV1
35954378	10.3390/cancers14153716	2022	Mutations Affecting Genes in the Proximal T-Cell Receptor Signaling Pathway in Peripheral T-Cell Lymphoma.	VAV1
32606318	10.1038/s41375-020-0937-3	2021	PRL3 enhances T-cell acute lymphoblastic leukemia growth through suppressing T-cell signaling pathways and apoptosis.	VAV1
34147695	10.1016/j.jmoldx.2021.04.013	2021	Detection of Gene Fusion Transcripts in Peripheral T-Cell Lymphoma Using a Multiplexed Targeted Sequencing Assay.	VAV1
34258755	10.1111/bjh.17639	2021	Characteristics of genetic alterations of peripheral T-cell lymphoma in childhood including identification of novel fusion genes: the Japan Children's Cancer Group (JCCG).	VAV1
34417435	10.1038/s41392-021-00730-0	2021	BCL9 regulates CD226 and CD96 checkpoints in CD8<sup>+</sup> T cells to improve PD-1 response in cancer.	VAV1
34617326	10.15252/embj.2021108125	2021	Cancer-associated mutations in VAV1 trigger variegated signaling outputs and T-cell lymphomagenesis.	VAV1
29313423	10.1080/21541248.2018.1423851	2020	Rho guanosine nucleotide exchange factors are not such bad guys after all in cancer<sup>a</sup>.	VAV1
31859368	10.1002/path.5376	2020	Angioimmunoblastic T-cell lymphoma contains multiple clonal T-cell populations derived from a common TET2 mutant progenitor cell.	VAV1
32107212	10.1158/0008-5472.CAN-19-2787	2020	Dasatinib Is an Effective Treatment for Angioimmunoblastic T-cell Lymphoma.	VAV1
32992343	10.1182/blood.2020006513	2020	VAV1 mutations contribute to development of T-cell neoplasms in mice.	VAV1
27898263	10.1080/21541248.2016.1263718	2019	Genetic alterations affecting GTPases and T-cell receptor signaling in peripheral T-cell lymphomas.	VAV1
30833082	10.1016/j.bbrc.2019.02.108	2019	The interaction between Vav1 and EBNA1 promotes survival of Burkitt's lymphoma cells by down-regulating the expression of Bim.	VAV1
28832024	10.1038/leu.2017.273	2018	Activation of RHOA-VAV1 signaling in angioimmunoblastic T-cell lymphoma.	VAV1
29200404	10.1172/JCI94509	2018	STAT5BN642H is a driver mutation for T cell neoplasia.	VAV1
29682742	10.1111/eci.12939	2018	Rac-GTPases and Rac-GEFs in neutrophil adhesion, migration and recruitment.	VAV1
30250888	10.1080/23723556.2018.1432257	2018	An unexpected tumor suppressor role for VAV1<sup>a</sup>.	VAV1
28062691	10.1073/pnas.1608839114	2017	Activating mutations and translocations in the guanine exchange factor VAV1 in peripheral T-cell lymphomas.	VAV1
28627735	10.1111/cas.13303	2017	Genetic alterations in adult T-cell leukemia/lymphoma.	VAV1
28694326	10.1182/blood-2017-02-768234	2017	Genomic analysis of 220 CTCLs identifies a novel recurrent gain-of-function alteration in RLTPR (p.Q575E).	VAV1
29136506	10.1016/j.ccell.2017.10.004	2017	A Paradoxical Tumor-Suppressor Role for the Rac1 Exchange Factor Vav1 in T Cell Acute Lymphoblastic Leukemia.	VAV1
27169444	10.11406/rinketsu.57.417	2016	[Genetic landscape of adult T-cell leukemia/lymphoma].	VAV1
27297792	10.1182/blood-2016-03-707141	2016	Integrated mate-pair and RNA sequencing identifies novel, targetable gene fusions in peripheral T-cell lymphoma.	VAV1
27669408	10.1371/journal.pone.0163011	2016	Sensitivity Analysis of the NPM-ALK Signalling Network Reveals Important Pathways for Anaplastic Large Cell Lymphoma Combination Therapy.	VAV1
26338970	10.18632/oncotarget.5009	2015	Stat5-deficient hematopoiesis is permissive for Myc-induced B-cell leukemogenesis.	VAV1
26437031	10.1038/ng.3415	2015	Integrated molecular analysis of adult T cell leukemia/lymphoma.	VAV1
24501217	10.1182/blood-2013-08-523563	2014	Tiam1/Rac1 signals contribute to the proliferation and chemoresistance, but not motility, of chronic lymphocytic leukemia cells.	VAV1
24534189	10.1084/jem.20131424	2014	Consequences of the recurrent MYD88(L265P) somatic mutation for B cell tolerance.	VAV1
23757206	10.1016/j.bmc.2013.05.021	2013	RNA-aptamers that modulate the RhoGEF activity of Tiam1.	VAV1
22432082		2012	Vav1 in hematologic neoplasms, a mini review.	VAV1
22683124	10.1016/j.immuni.2012.03.023	2012	The adaptor SAP controls NK cell activation by regulating the enzymes Vav-1 and SHIP-1 and by enhancing conjugates with target cells.	VAV1
