pmid	doi	year	title	Hugo_Symbol
35398086	10.1016/j.envres.2022.113245	2022	Molecular docking and optical sensor studies based on 2,4-diamino pyrimidine-5-carbonitriles for detection of Hg<sup>2</sup>.	WEE1
35578798	10.1002/jcp.30777	2022	Neddylation inactivation affects cell cycle and apoptosis in sheep follicular granulosa cells.	WEE1
31919076	10.3324/haematol.2019.231126	2021	WEE1 inhibition induces glutamine addiction in T-cell acute lymphoblastic leukemia.	WEE1
33414171	10.1158/0008-5472.CAN-20-1504	2021	CDK2-Mediated Upregulation of TNFα as a Mechanism of Selective Cytotoxicity in Acute Leukemia.	WEE1
34390915	10.1016/j.dnarep.2021.103203	2021	Targeting Wee1 kinase as a therapeutic approach in Hematological Malignancies.	WEE1
32010435	10.1177/2040620719898373	2020	WEE1 inhibition synergizes with CHOP chemotherapy and radiation therapy through induction of premature mitotic entry and DNA damage in diffuse large B-cell lymphoma.	WEE1
32314355	10.1111/bjh.16614	2020	The Wee1 kinase inhibitor MK1775 suppresses cell growth, attenuates stemness and synergises with bortezomib in multiple myeloma.	WEE1
32601814	10.1007/s11864-020-00763-7	2020	Targeting DNA Damage Repair Pathways in Pancreatic Adenocarcinoma.	WEE1
32892059	10.1016/j.ctrv.2020.102090	2020	Targeting the DNA damage response for patients with lymphoma: Preclinical and clinical evidences.	WEE1
33374413	10.3390/ijms22010122	2020	Tracking the Genetic Susceptibility Background of B-Cell Non-Hodgkin's Lymphomas from Genome-Wide Association Studies.	WEE1
30601995	10.1093/jn/nxy224	2019	Treatment with DHA Modifies the Response of MDA-MB-231 Breast Cancer Cells and Tumors from nu/nu Mice to Doxorubicin through Apoptosis and Cell Cycle Arrest.	WEE1
30967394	10.1182/bloodadvances.2018029660	2019	MicroRNA-155 controls vincristine sensitivity and predicts superior clinical outcome in diffuse large B-cell lymphoma.	WEE1
31064869	10.1158/1535-7163.MCT-18-0919	2019	DNA Damage Response Inhibitor Combinations Exert Synergistic Antitumor Activity in Aggressive B-Cell Lymphomas.	WEE1
31123088	10.1158/0008-5472.CAN-18-2480	2019	Differential Activity of ATR and WEE1 Inhibitors in a Highly Sensitive Subpopulation of DLBCL Linked to Replication Stress.	WEE1
31341363	10.3748/wjg.v25.i26.3380	2019	Raddeanin A promotes apoptosis and ameliorates 5-fluorouracil resistance in cholangiocarcinoma cells.	WEE1
31590241	10.3390/cancers11101494	2019	Isorhamnetin Induces Cell Cycle Arrest and Apoptosis Via Reactive Oxygen Species-Mediated AMP-Activated Protein Kinase Signaling Pathway Activation in Human Bladder Cancer Cells.	WEE1
31703356	10.3390/cancers11111743	2019	WEE1 Inhibition Enhances Anti-Apoptotic Dependency as a Result of Premature Mitotic Entry and DNA Damage.	WEE1
28025833	10.1111/bjh.14506	2018	Inhibition of CHK1 and WEE1 as a new therapeutic approach in diffuse large B cell lymphomas with MYC deregulation.	WEE1
29175378	10.1016/j.leukres.2017.11.004	2018	Increased activity of both CDK1 and CDK2 is necessary for the combinatorial activity of WEE1 inhibition and cytarabine.	WEE1
29217775	10.3324/haematol.2017.175992	2018	Chemotherapy-induced differential cell cycle arrest in B-cell lymphomas affects their sensitivity to Wee1 inhibition.	WEE1
29367434	10.1074/mcp.RA117.000539	2018	Proteomics Profiling of CLL Versus Healthy B-cells Identifies Putative Therapeutic Targets and a Subtype-independent Signature of Spliceosome Dysregulation.	WEE1
29489886	10.1371/journal.pone.0193098	2018	Identification of relevant drugable targets in diffuse large B-cell lymphoma using a genome-wide unbiased CD20 guilt-by association approach.	WEE1
29617859	10.1093/femspd/fty013	2018	Human lung epithelial cells support human metapneumovirus persistence by overcoming apoptosis.	WEE1
30068368	10.1186/s13045-018-0641-1	2018	Targeting WEE1 to enhance conventional therapies for acute lymphoblastic leukemia.	WEE1
27072241	10.4103/0973-1482.165861	2016	Tumour suppressive effects of WEE1 gene silencing in neuroblastomas.	WEE1
25428911	10.18632/oncotarget.2583	2015	Combined inhibition of Chk1 and Wee1 as a new therapeutic strategy for mantle cell lymphoma.	WEE1
25594541	10.1667/RR13784.1	2015	The miR-15 family enhances the radiosensitivity of breast cancer cells by targeting G2 checkpoints.	WEE1
25744022	10.1038/cdd.2015.13	2015	The Fcp1-Wee1-Cdk1 axis affects spindle assembly checkpoint robustness and sensitivity to antimicrotubule cancer drugs.	WEE1
26334102	10.18632/oncotarget.4830	2015	AZD1775 sensitizes T cell acute lymphoblastic leukemia cells to cytarabine by promoting apoptosis over DNA repair.	WEE1
26439697	10.18632/oncotarget.5954	2015	Characterization of a mantle cell lymphoma cell line resistant to the Chk1 inhibitor PF-00477736.	WEE1
22333592	10.4161/cc.11.5.19519	2012	Antitumor activity of new pyrazolo[3,4-d]pyrimidine SRC kinase inhibitors in Burkitt lymphoma cell lines and its enhancement by WEE1 inhibition.	WEE1
18416826	10.1186/1471-2407-8-106	2008	Explorative data analysis of MCL reveals gene expression networks implicated in survival and prognosis supported by explorative CGH analysis.	WEE1
12406077	10.1046/j.1365-2141.2002.03834.x	2002	Monensin-mediated growth inhibition in human lymphoma cells through cell cycle arrest and apoptosis.	WEE1
9699647		1998	Negative regulation of Wee1 expression and Cdc2 phosphorylation during p53-mediated growth arrest and apoptosis.	WEE1
8833397	10.3109/10428199609052423	1996	Role of tyrosine phosphorylation in radiation-induced cell cycle-arrest of leukemic B-cell precursors at the G2-M transition checkpoint.	WEE1
7531277	10.1007/BF00926071	1994	Changes of cell cycle-regulating genes in interferon-treated Daudi cells.	WEE1
