pmid	doi	year	title	Hugo_Symbol
34597466	10.1002/pbc.29361	2022	Clonal dynamics in pediatric B-cell precursor acute lymphoblastic leukemia with very early relapse.	WHSC1
35124168	10.1016/j.jsbmb.2022.106068	2022	Glucocorticoid receptor gene mutations confer glucocorticoid resistance in B-cell precursor acute lymphoblastic leukemia.	WHSC1
33147938	10.3324/haematol.2020.259226	2021	Multiclonal complexity of pediatric acute lymphoblastic leukemia and the prognostic relevance of subclonal mutations	WHSC1
33469000	10.1038/s41420-021-00402-6	2021	Histone methyltransferase WHSC1 inhibits colorectal cancer cell apoptosis via targeting anti-apoptotic BCL2.	WHSC1
31697823	10.1182/blood.2019002220	2020	Therapy-induced mutations drive the genomic landscape of relapsed acute lymphoblastic leukemia.	WHSC1
32332049	10.1158/1541-7786.MCR-20-0092	2020	The NSD2 p.E1099K Mutation Is Enriched at Relapse and Confers Drug Resistance in a Cell Context-Dependent Manner in Pediatric Acute Lymphoblastic Leukemia.	WHSC1
32826945	10.1038/s42003-020-01186-8	2020	Proteosomal degradation of NSD2 by BRCA1 promotes leukemia cell differentiation.	WHSC1
30171259	10.1038/s41388-018-0474-y	2019	An activating mutation of the NSD2 histone methyltransferase drives oncogenic reprogramming in acute lymphocytic leukemia.	WHSC1
30471851	10.1016/j.bbrc.2018.11.037	2019	Identification of LEM-14 inhibitor of the oncoprotein NSD2.	WHSC1
31221981	10.1038/s12276-019-0230-6	2019	The cancer driver genes IDH1/2, JARID1C/ KDM5C, and UTX/ KDM6A: crosstalk between histone demethylation and hypoxic reprogramming in cancer metabolism.	WHSC1
29755111	10.1038/s41417-018-0022-5	2018	Genomic landscape and prognostic analysis of mantle cell lymphoma.	WHSC1
27872090	10.1158/0008-5472.CAN-16-1303	2017	Mutational Landscape of Pediatric Acute Lymphoblastic Leukemia.	WHSC1
25790293	10.1038/ncomms7604	2015	Rise and fall of subclones from diagnosis to relapse in pediatric B-acute lymphoblastic leukaemia.	WHSC1
26294725	10.3324/haematol.2015.129692	2015	Pediatric T-cell lymphoblastic leukemia evolves into relapse by clonal selection, acquisition of mutations and promoter hypomethylation.	WHSC1
23823660	10.1038/leu.2013.204	2014	Point mutation E1099K in MMSET/NSD2 enhances its methyltranferase activity and leads to altered global chromatin methylation in lymphoid malignancies.	WHSC1
24682267	10.1182/blood-2013-07-517177	2014	The genomic landscape of mantle cell lymphoma is related to the epigenetically determined chromatin state of normal B cells.	WHSC1
24145436	10.1073/pnas.1314608110	2013	Landscape of somatic mutations and clonal evolution in mantle cell lymphoma.	WHSC1
