pmid	doi	year	title	Hugo_Symbol
34265801	10.1097/PAS.0000000000001780	2022	Plasticity of Mature B Cells Between Follicular and Classic Hodgkin Lymphomas: A Series of 22 Cases Expanding the Spectrum of Transdifferentiation.	XPO1
34493477	10.1016/j.clml.2021.07.017	2022	Comparison of the Effectiveness and Safety of the Oral Selective Inhibitor of Nuclear Export, Selinexor, in Diffuse Large B Cell Lymphoma Subtypes.	XPO1
35014928	10.1080/10428194.2021.2020779	2022	Up to 6.5 years (median 4 years) of follow-up of first-line ibrutinib in patients with chronic lymphocytic leukemia/small lymphocytic lymphoma and high-risk genomic features: integrated analysis of two phase 3 studies.	XPO1
35078739	10.1016/j.clml.2021.12.016	2022	Effect of Prior Therapy and Disease Refractoriness on the Efficacy and Safety of Oral Selinexor in Patients with Diffuse Large B-cell Lymphoma (DLBCL): A Post-hoc Analysis of the SADAL Study.	XPO1
35263209	10.1080/10428194.2022.2047674	2022	Long-term follow up of relapsed/refractory non-Hodgkin lymphoma patients treated with single-agent selinexor - a retrospective, single center study.	XPO1
35361554	10.1016/j.clml.2022.01.014	2022	Guidance for Use and dosing of Selinexor in Multiple Myeloma in 2021: Consensus From International Myeloma Foundation Expert Roundtable.	XPO1
35367710	10.1016/j.ejmech.2022.114257	2022	Design, synthesis and biological evaluation of sulfonamides inhibitors of XPO1 displaying activity against multiple myeloma cells.	XPO1
35432603	10.1177/17588359221087555	2022	A phase 1 study of the safety, pharmacokinetics and pharmacodynamics of escalating doses followed by dose expansion of the selective inhibitor of nuclear export (SINE) selinexor in Asian patients with advanced or metastatic malignancies.	XPO1
35477814	10.1007/s10637-022-01250-6	2022	Exportin-1 is critical for cell proliferation and survival in adult T cell leukemia.	XPO1
35489384	10.1016/j.yexcr.2022.113180	2022	Prognostic and therapeutic significance of XPO1 in T-cell lymphoma.	XPO1
35668193	10.1038/s43018-022-00394-x	2022	P2RY2-AKT activation is a therapeutically actionable consequence of XPO1 inhibition in acute myeloid leukemia.	XPO1
36001451	10.1097/PAS.0000000000001956	2022	Targeted Mutational Profiling Reveals Clonal Relationships in Metachronous Occurrence of Classic Hodgkin and Mediastinal Large B-Cell Lymphomas.	XPO1
32079702	10.3324/haematol.2019.237719	2021	Targeted genotyping of circulating tumor DNA for classical Hodgkin lymphoma monitoring: a prospective study.	XPO1
32961552	10.1182/blood.2020007507	2021	Mutational landscape of gray zone lymphoma.	XPO1
32972802	10.1016/j.blre.2020.100758	2021	Selinexor, selective inhibitor of nuclear export: Unselective bullet for blood cancers.	XPO1
33173198	10.1038/s41571-020-00442-4	2021	The nuclear export protein XPO1 - from biology to targeted therapy.	XPO1
33263441	10.1080/17474086.2021.1856652	2021	Development of molecular intervention strategies for B-cell lymphoma.	XPO1
33563902	10.1038/s41408-021-00409-3	2021	XPO1 inhibitors represent a novel therapeutic option in Adult T-cell Leukemia, triggering p53-mediated caspase-dependent apoptosis.	XPO1
33785483	10.1158/1078-0432.CCR-20-4929	2021	Selinexor in Combination with R-CHOP for Frontline Treatment of Non-Hodgkin Lymphoma: Results of a Phase I Study.	XPO1
33928519	10.1007/s40262-021-01016-y	2021	Pharmacokinetics of Selinexor: The First-in-Class Selective Inhibitor of Nuclear Export.	XPO1
33959502	10.3389/fonc.2021.638897	2021	c-Rel Is the Pivotal NF-κB Subunit in Germinal Center Diffuse Large B-Cell Lymphoma: A LYSA Study.	XPO1
34051651	10.1016/j.jchromb.2021.122781	2021	Bioanalysis of selinexor in mouse plasma micro-samples utilizing UPLC-MS/MS.	XPO1
34405005	10.7150/jca.60390	2021	Serial surveillance by circulating tumor DNA profiling after chimeric antigen receptor T therapy for the guidance of r/r diffuse large B cell lymphoma precise treatment.	XPO1
34669417	10.1021/acs.jmedchem.1c01145	2021	Chromosome Region Maintenance 1 (XPO1/CRM1) as an Anticancer Target and Discovery of Its Inhibitor.	XPO1
34926302	10.3389/fonc.2021.785635	2021	Selinexor Enhances NK Cell Activation Against Malignant B Cells <i>via</i> Downregulation of HLA-E.	XPO1
31789821	10.1097/PAI.0000000000000820	2020	EBV-Positive Primary Large B-Cell Lymphoma: The Role of Immunohistochemistry and XPO1 in the Diagnosis of Mediastinal Lymphomas.	XPO1
31822802	10.1038/s41379-019-0428-0	2020	Diagnostic utility of STAT6<sup>YE361</sup> expression in classical Hodgkin lymphoma and related entities.	XPO1
31847605	10.1080/13543784.2020.1706087	2020	Selinexor (KTP-330) - a selective inhibitor of nuclear export (SINE): anti-tumor activity in diffuse large B-cell lymphoma (DLBCL).	XPO1
31885322	10.1080/15384101.2019.1706903	2020	The double dealing of cyclin D1.	XPO1
32045477	10.1182/bloodadvances.2019000359	2020	Venetoclax response is enhanced by selective inhibitor of nuclear export compounds in hematologic malignancies.	XPO1
32527129	10.21037/apm-19-430b	2020	Glans metastatic extra-nodal natural killer/T-cell lymphoma, nasal-type with HDAC inhibitor as maintenance therapy: a rare case report with literature review.	XPO1
32536290	10.1080/10428194.2020.1775210	2020	Selinexor for advanced hematologic malignancies.	XPO1
32565964	10.3892/ol.2020.11552	2020	Comprehensive characterization of driver genes in diffuse large B cell lymphoma.	XPO1
32691208	10.1007/s11060-020-03580-y	2020	Repolarization of tumor infiltrating macrophages and increased survival in mouse primary CNS lymphomas after XPO1 and BTK inhibition.	XPO1
32826328	10.1158/1078-0432.CCR-20-1315	2020	The XPO1 Inhibitor KPT-8602 Synergizes with Dexamethasone in Acute Lymphoblastic Leukemia.	XPO1
33007990	10.3390/cancers12102829	2020	<i>XPO1</i><sup>E571K</sup> Mutation Modifies Exportin 1 Localisation and Interactome in B-cell Lymphoma.	XPO1
33148342	10.1186/s13045-020-00982-3	2020	XPO1 expression worsens the prognosis of unfavorable DLBCL that can be effectively targeted by selinexor in the absence of mutant p53.	XPO1
33154951	10.3389/fonc.2020.591577	2020	Genetic and Non-Genetic Mechanisms of Resistance to BCR Signaling Inhibitors in B Cell Malignancies.	XPO1
33202794	10.3390/ijms21228553	2020	Novel Therapies for Relapsed or Refractory Diffuse Large B-Cell Lymphoma.	XPO1
33224395	10.14740/jh760	2020	Molecular Genetic Analysis With Flow Cytometry Sorting Identifies Angioimmunoblastic T-Cell Lymphoma and Concomitant <i>De Novo</i> Myelodysplastic Syndrome Arising From the Same Hematopoietic Progenitor.	XPO1
30108156	10.1634/theoncologist.2018-0058	2019	Comprehensive Genomic Profiling of Hodgkin Lymphoma Reveals Recurrently Mutated Genes and Increased Mutation Burden.	XPO1
30211726	10.1097/PAS.0000000000001154	2019	Cyclin D1-positive Mediastinal Large B-Cell Lymphoma With Copy Number Gains of CCND1 Gene: A Study of 3 Cases With Nonmediastinal Disease.	XPO1
30548996	10.1002/hon.2570	2019	Exportin-1 E571K mutation is a common finding in patients with classical Hodgkin lymphoma.	XPO1
31125526	10.1080/17474086.2019.1624158	2019	Novel targets for the treatment of relapsing multiple myeloma.	XPO1
31296529	10.1158/1078-0432.CCR-19-0273	2019	Eμ-TCL1xMyc: A Novel Mouse Model for Concurrent CLL and B-Cell Lymphoma.	XPO1
31543372	10.1016/j.clml.2019.08.011	2019	Selective Inhibitors of Nuclear Export in the Treatment of Hematologic Malignancies.	XPO1
31752970	10.1186/s13045-019-0803-9	2019	Simultaneous targeting of XPO1 and BCL2 as an effective treatment strategy for double-hit lymphoma.	XPO1
31816062	10.1182/bloodadvances.2019001012	2019	Genomic analyses of flow-sorted Hodgkin Reed-Sternberg cells reveal complementary mechanisms of immune evasion.	XPO1
31850145	10.2217/ijh-2019-0009	2019	Rational targeted therapeutics for double-hit lymphoma.	XPO1
28750570	10.1080/10428194.2017.1349899	2018	Identification of potential ibrutinib combinations in hematological malignancies using a combination high-throughput screen.	XPO1
29501729	10.1016/j.cellsig.2018.02.016	2018	STAT6 is a cargo of exportin 1: Biological relevance in primary mediastinal B-cell lymphoma.	XPO1
29610030	10.1016/j.clml.2018.03.003	2018	Clinical Implications of Targeting XPO1-mediated Nuclear Export in Multiple Myeloma.	XPO1
29650799	10.1182/blood-2017-11-814913	2018	Pervasive mutations of JAK-STAT pathway genes in classical Hodgkin lymphoma.	XPO1
29653964	10.1182/blood-2017-09-806679	2018	TRRAP is essential for regulating the accumulation of mutant and wild-type p53 in lymphoma.	XPO1
29989027	10.18632/oncotarget.25601	2018	New generation sequencing of targeted genes in the classical and the variant form of hairy cell leukemia highlights mutations in epigenetic regulation genes.	XPO1
30510142	10.1158/1535-7163.MCT-17-0789-ATR	2018	XPO1 Inhibitor Selinexor Overcomes Intrinsic Ibrutinib Resistance in Mantle Cell Lymphoma via Nuclear Retention of IκB.	XPO1
31949642		2018	Expression of exportin-1 in diffuse large B-cell lymphoma: immunohistochemistry and TCGA analyses.	XPO1
27780859	10.1158/1078-0432.CCR-16-1580	2017	The Second-Generation Exportin-1 Inhibitor KPT-8602 Demonstrates Potent Activity against Acute Lymphoblastic Leukemia.	XPO1
28196522	10.1186/s13045-017-0412-4	2017	XPO1 in B cell hematological malignancies: from recurrent somatic mutations to targeted therapy.	XPO1
28388555	10.18632/oncotarget.16602	2017	Targeting mantle cell lymphoma metabolism and survival through simultaneous blockade of mTOR and nuclear transporter exportin-1.	XPO1
28468797	10.1182/blood-2016-11-750174	2017	Selective inhibition of nuclear export with selinexor in patients with non-Hodgkin lymphoma.	XPO1
26608593	10.1002/gcc.22328	2016	Whole exome sequencing of relapsed/refractory patients expands the repertoire of somatic mutations in diffuse large B-cell lymphoma.	XPO1
26819451	10.1158/1078-0432.CCR-15-2305	2016	Next-Generation Sequencing in Diffuse Large B-Cell Lymphoma Highlights Molecular Divergence and Therapeutic Opportunities: a LYSA Study.	XPO1
26883583	10.3109/10428194.2016.1139703	2016	Digital PCR for quantification of recurrent and potentially actionable somatic mutations in circulating free DNA from patients with diffuse large B-cell lymphoma.	XPO1
27312795	10.1002/ajh.24451	2016	Recurrent mutations of the exportin 1 gene (XPO1) and their impact on selective inhibitor of nuclear export compounds sensitivity in primary mediastinal B-cell lymphoma.	XPO1
27479820	10.3324/haematol.2016.145102	2016	Detection and prognostic value of recurrent exportin 1 mutations in tumor and cell-free circulating DNA of patients with classical Hodgkin lymphoma.	XPO1
27693556	10.1016/j.canlet.2016.09.016	2016	Anti-tumor activity of selective inhibitor of nuclear export (SINE) compounds, is enhanced in non-Hodgkin lymphoma through combination with mTOR inhibitor and dexamethasone.	XPO1
25466285	10.1016/j.leukres.2014.10.003	2015	CRM1 as a new therapeutic target for non-Hodgkin lymphoma.	XPO1
25951043	10.1080/15548627.2015.1017192	2015	The role of STAT3 in autophagy.	XPO1
26340096	10.1371/journal.pone.0137210	2015	Ribosomal Biogenesis and Translational Flux Inhibition by the Selective Inhibitor of Nuclear Export (SINE) XPO1 Antagonist KPT-185.	XPO1
26501108	10.1016/j.ebiom.2015.07.041	2015	Human Exportin-1 is a Target for Combined Therapy of HIV and AIDS Related Lymphoma.	XPO1
24503695	10.1371/journal.pone.0087585	2014	Preclinical evaluation of the novel, orally bioavailable Selective Inhibitor of Nuclear Export (SINE) KPT-335 in spontaneous canine cancer: results of a phase I study.	XPO1
24766216	10.1111/cas.12430	2014	Induction of p53-mediated transcription and apoptosis by exportin-1 (XPO1) inhibition in mantle cell lymphoma.	XPO1
25377562	10.1182/blood-2014-04-567636	2014	Cryptic XPO1-MLLT10 translocation is associated with HOXA locus deregulation in T-ALL.	XPO1
23373539	10.1111/bjh.12231	2013	KPT-330 inhibitor of CRM1 (XPO1)-mediated nuclear export has selective anti-leukaemic activity in preclinical models of T-cell acute lymphoblastic leukaemia and acute myeloid leukaemia.	XPO1
23970380	10.1182/blood-2013-04-495374	2013	Preclinical and clinical efficacy of XPO1/CRM1 inhibition by the karyopherin inhibitor KPT-330 in Ph+ leukemias.	XPO1
24159164	10.1182/blood-2013-09-523670	2013	Redirecting traffic using the XPO1 police.	XPO1
18246793		2007	[Expression and relationship of p27(kip1) and its related molecules Jab1 and CRM1 during proliferation of lymphoma cells U937].	XPO1
