pmid	doi	year	title	Hugo_Symbol
29564133	10.1186/s40364-018-0126-y	2022	Suitability of Yin Yang 1 transcript and protein levels for biomarker studies in B cell non-Hodgkin lymphoma.	YY1
34039950	10.1038/s41408-021-00493-5	2022	Genomic insights into the pathogenesis of Epstein-Barr virus-associated diffuse large B-cell lymphoma by whole-genome and targeted amplicon sequencing.	YY1
35163649	10.3390/ijms23031728	2022	Transcriptional Regulation of Yin-Yang 1 Expression through the Hypoxia Inducible Factor-1 in Pediatric Acute Lymphoblastic Leukemia.	YY1
32713953	10.24875/BMHIM.19000187	2021	Yin-Yang-1 decreases Fas-induced apoptosis in acute lymphoblastic leukemia under hypoxic conditions: its implications in immune evasion.	YY1
32899428	10.3390/ijms21176446	2021	Role of the Transcription Factor Yin Yang 1 and Its Selectively Identified Target Survivin in High-Grade B-Cells Non-Hodgkin Lymphomas: Potential Diagnostic and Therapeutic Targets.	YY1
33179084	10.3892/mmr.2020.11666	2021	Effects and mechanism of microRNA‑218 against lung cancer.	YY1
33410342	10.1080/10428194.2020.1869960	2021	KLF4 inhibition by Kenpaullone induces cytotoxicity and chemo sensitization in B-NHL cell lines via YY1 independent.	YY1
33504766	10.1038/s41419-021-03425-0	2021	The DNA-helicase HELLS drives ALK<sup>-</sup> ALCL proliferation by the transcriptional control of a cytokinesis-related program.	YY1
33544468	10.1515/hsz-2020-0276	2021	PCAT1 induced by transcription factor YY1 promotes cholangiocarcinoma proliferation, migration and invasion by sponging miR-216a-3p to up-regulate oncogene BCL3.	YY1
33900899	10.1080/08880018.2020.1871139	2021	Expression of YY1 in pro-B and T phenotypes correlation with poor survival in pediatric acute lymphoblastic leukemia.	YY1
26622779	10.3892/ol.2015.3498	2020	Role of annexin A6 in cancer.	YY1
26893685	10.3892/ol.2015.4031	2020	Correlation between the overexpression of Yin Yang 1 and the expression levels of miRNAs in Burkitt's lymphoma: A computational study.	YY1
30277117	10.1080/10428194.2018.1516286	2020	Cytotoxic effect caspase activation dependent of a genetically engineered fusion protein with a CD154 peptide mimetic (OmpC-CD154<sub>p</sub>) on B-NHL cell lines is mediated by the inhibition of bcl-6 and YY1 through MAPK p38 activation.	YY1
31040909	10.18632/oncotarget.26745	2020	Regulation of Krüppel-Like Factor 4 (KLF4) expression through the transcription factor Yin-Yang 1 (YY1) in non-Hodgkin B-cell lymphoma.	YY1
32236631	10.3892/or.2020.7563	2020	17‑AAG synergizes with Belinostat to exhibit a negative effect on the proliferation and invasion of MDA‑MB‑231 breast cancer cells.	YY1
33194748	10.3389/fonc.2020.588893	2020	MicroRNA-7 Regulates Migration and Chemoresistance in Non-Hodgkin Lymphoma Cells Through Regulation of KLF4 and YY1.	YY1
