pmid	doi	year	title	Hugo_Symbol
34592153	10.1016/j.celrep.2021.109759	2022	Structural basis for human ZBTB7A action at the fetal globin promoter.	ZBTB7A
35474350	10.1038/s41374-022-00792-w	2022	Leukemia/lymphoma-related factor (LRF) or osteoclast zinc finger protein (OCZF) overexpression promotes osteoclast survival by increasing Bcl-xl mRNA: A novel regulatory mechanism mediated by the RNA binding protein SAM68.	ZBTB7A
35806029	10.3390/ijms23137025	2022	LRF Promotes Indirectly Advantageous Chromatin Conformation via <i>BGLT3</i>-lncRNA Expression and Switch from Fetal to Adult Hemoglobin.	ZBTB7A
31896782	10.1038/s41375-019-0697-0	2020	The clinical mutatome of core binding factor leukemia.	ZBTB7A
32755656	10.1016/j.gene.2020.145020	2020	LRF/ZBTB7A conservation accentuates its potential as a therapeutic target for the hematopoietic disorders.	ZBTB7A
30427207	10.1139/bcb-2018-0303	2019	LRF acts as an activator and repressor of the human β-like globin gene transcription in a developmental stage dependent manner.	ZBTB7A
28556945	10.1002/jnr.24083	2018	Leukemia/lymphoma-related factor (LRF) exhibits stage- and context-dependent transcriptional controls in the oligodendrocyte lineage and modulates remyelination.	ZBTB7A
29715100	10.21873/anticanres.12522	2018	Expression of Zinc Finger and BTB Domain-containing 7A in Colorectal Carcinoma.	ZBTB7A
28849590	10.1002/cbf.3287	2017	LRF inhibits p53 expression in colon cancer cells via modulating DAP5 activity.	ZBTB7A
26446488	10.1038/ncomms9325	2016	LRF maintains genome integrity by regulating the non-homologous end joining pathway of DNA repair.	ZBTB7A
26081031	10.1615/jenvironpatholtoxicoloncol.2015013477	2015	Attenuation of Leukemia/Lymphoma-Related Factor Protein Expression Inhibits Glioma Cell Proliferation and Invasion.	ZBTB7A
24326827	10.1177/1066896913513833	2014	Utility of LRF/Pokemon and NOTCH1 protein expression in the distinction between nodular lymphocyte-predominant Hodgkin lymphoma and classical Hodgkin lymphoma.	ZBTB7A
22615173	10.1002/glia.22356	2013	Leukemia/lymphoma-related factor regulates oligodendrocyte lineage cell differentiation in developing white matter.	ZBTB7A
22847180	10.1093/carcin/bgs254	2013	The oncogene LRF is a survival factor in chondrosarcoma and contributes to tumor malignancy and drug resistance.	ZBTB7A
23134786	10.1182/blood-2012-03-418103	2013	LRF-mediated Dll4 repression in erythroblasts is necessary for hematopoietic stem cell maintenance.	ZBTB7A
23374847	10.1016/j.urology.2012.10.011	2013	Tumor-specific RNA interference targeting Pokemon suppresses tumor growth and induces apoptosis in prostate cancer.	ZBTB7A
23396304	10.1182/blood-2012-11-292037	2013	Role of LRF/Pokemon in lineage fate decisions.	ZBTB7A
21804610	10.1038/onc.2011.331	2012	The proto-oncoprotein KR-POK represses transcriptional activation of CDKN1A by MIZ-1 through competitive binding.	ZBTB7A
22047081	10.1089/dna.2011.1314	2012	Analysis of p53 tumor suppressor pathway genes in chronic lymphocytic leukemia.	ZBTB7A
22308398	10.1073/pnas.1116042109	2012	Stage-specific functions of leukemia/lymphoma-related factor (LRF) in the transcriptional control of osteoclast development.	ZBTB7A
22500835	10.1111/j.1600-065X.2012.01116.x	2012	POK/ZBTB proteins: an emerging family of proteins that regulate lymphoid development and function.	ZBTB7A
20923760	10.1074/jbc.M110.114736	2011	MicroRNA (miRNA)-mediated interaction between leukemia/lymphoma-related factor (LRF) and alternative splicing factor/splicing factor 2 (ASF/SF2) affects mouse embryonic fibroblast senescence and apoptosis.	ZBTB7A
21251909	10.1016/j.yexmp.2011.01.003	2011	Expression of leukemia/lymphoma related factor (LRF/Pokemon) in human benign prostate hyperplasia and prostate cancer.	ZBTB7A
21590684	10.1002/art.30455	2011	The transcription factor FBI-1/OCZF/LRF is expressed in osteoclasts and regulates RANKL-induced osteoclast formation in vitro and in vivo.	ZBTB7A
21640721	10.1016/j.yexmp.2011.05.006	2011	Epidermal growth factor increases LRF/Pokemon expression in human prostate cancer cells.	ZBTB7A
21646720	10.1172/JCI45682	2011	The LRF transcription factor regulates mature B cell development and the germinal center response in mice.	ZBTB7A
19942610	10.1093/carcin/bgp296	2010	Functional identification of LRF as an oncogene that bypasses RASV12-induced senescence via upregulation of CYCLIN E.	ZBTB7A
20471975	10.1016/j.yexmp.2010.05.002	2010	Expression of leukemia/lymphoma-related factor (LRF/POKEMON) in human breast carcinoma and other cancers.	ZBTB7A
18596985	10.1371/journal.pone.0002542	2008	The proto-oncogene LRF is under post-transcriptional control of MiR-20a: implications for senescence.	ZBTB7A
17907153	10.1002/path.2222	2007	Gene amplification is a relatively frequent event leading to ZBTB7A (Pokemon) overexpression in non-small cell lung cancer.	ZBTB7A
16061026		2006	[The characteristics of anti-B-cell malignance cytotoxic T lymphocytic clones induced by lymphoma relative peptides].	ZBTB7A
15337766	10.1074/jbc.M405288200	2004	Leukemia/lymphoma-related factor, a POZ domain-containing transcriptional repressor, interacts with histone deacetylase-1 and inhibits cartilage oligomeric matrix protein gene expression and chondrogenesis.	ZBTB7A
10477728		1999	Osteoclast-derived zinc finger (OCZF) protein with POZ domain, a possible transcriptional repressor, is involved in osteoclastogenesis.	ZBTB7A
