pmid	doi	year	title	Hugo_Symbol
29104620	10.3892/etm.2017.5101	2022	Expression of and correlation between BCL6 and ZEB family members in patients with breast cancer.	ZEB2
29552161	10.3892/ol.2018.7918	2022	Long non-coding RNA ZEB2-AS1 promotes proliferation and inhibits apoptosis in human lung cancer cells.	ZEB2
32393046	10.1080/09603123.2020.1757043	2022	The expression of microRNAs and exposure to environmental contaminants related to human health: a review.	ZEB2
34573283	10.3390/genes12091302	2022	Modulation of Cellular MicroRNA by HIV-1 in Burkitt Lymphoma Cells-A Pathway to Promoting Oncogenesis.	ZEB2
34753926	10.1038/s41408-021-00570-9	2022	Cancer drivers and clonal dynamics in acute lymphoblastic leukaemia subtypes.	ZEB2
35139734	10.1080/08880018.2022.2033369	2022	Interaction between CASP8AP2 and ZEB2-CtBP2 Regulates the Expression of <i>LEF1</i>.	ZEB2
32499245	10.3324/haematol.2020.249094	2021	Frequency and prognostic impact of ZEB2 H1038 and Q1072 mutations in childhood B-other acute lymphoblastic leukemia.	ZEB2
33400146	10.1007/s11684-020-0821-6	2021	Emerging molecular subtypes and therapeutic targets in B-cell precursor acute lymphoblastic leukemia.	ZEB2
33876209	10.1182/blood.2020010510	2021	14q32 rearrangements deregulating BCL11B mark a distinct subgroup of T-lymphoid and myeloid immature acute leukemia.	ZEB2
29387204	10.3892/etm.2017.5413	2020	Clinical manifestations and epigenetic mechanisms of gastric mucosa associated lymphoid tissue lymphoma and long-term follow-up following <i>Helicobacter pylori</i> eradication.	ZEB2
30679322	10.3324/haematol.2018.207837	2020	ZEB2 and LMO2 drive immature T-cell lymphoblastic leukemia via distinct oncogenic mechanisms.	ZEB2
31383581	10.1016/j.jbior.2019.100639	2020	ZEB2 in T-cells and T-ALL.	ZEB2
30487223	10.1073/pnas.1814397115	2019	Transcriptional landscape of B cell precursor acute lymphoblastic leukemia based on an international study of 1,223 cases.	ZEB2
28069602	10.1182/blood-2016-06-721191	2017	Oncogenic ZEB2 activation drives sensitivity toward KDM1A inhibition in T-cell acute lymphoblastic leukemia.	ZEB2
23342264	10.1002/cam4.29	2014	MicroRNA-142 is mutated in about 20% of diffuse large B-cell lymphoma.	ZEB2
24072100	10.1038/leu.2013.283	2014	Exome sequencing reveals novel and recurrent mutations with clinical impact in blastic plasmacytoid dendritic cell neoplasm.	ZEB2
24355555	10.1016/j.gene.2013.12.006	2014	Identification and characterization of microRNAs in the crab-eating macaque (Macaca fascicularis) using transcriptome analysis.	ZEB2
24375660	10.1002/jcb.24754	2014	Down regulation of miR200c promotes radiation-induced thymic lymphoma by targeting BMI1.	ZEB2
25122803	10.1128/JVI.01431-14	2014	Counteracting effects of cellular Notch and Epstein-Barr virus EBNA2: implications for stromal effects on virus-host interactions.	ZEB2
23022474	10.1016/j.canlet.2012.09.017	2013	Cancer genetics and genomics of human FOX family genes.	ZEB2
22586443	10.1371/journal.pone.0033788	2012	Single cell profiling of circulating tumor cells: transcriptional heterogeneity and diversity from breast cancer cell lines.	ZEB2
21116279	10.1038/leu.2010.282	2011	Hypermethylation of specific microRNA genes in MLL-rearranged infant acute lymphoblastic leukemia: major matters at a micro scale.	ZEB2
20007546	10.1182/blood-2009-04-216184	2010	Retroviral insertional mutagenesis identifies Zeb2 activation as a novel leukemogenic collaborating event in CALM-AF10 transgenic mice.	ZEB2
