pmid	doi	year	title	Hugo_Symbol
34265801	10.1097/PAS.0000000000001780	2022	Plasticity of Mature B Cells Between Follicular and Classic Hodgkin Lymphomas: A Series of 22 Cases Expanding the Spectrum of Transdifferentiation.	ARID1A
34560683	10.1097/PAS.0000000000001813	2022	A Comprehensive Clinicopathologic and Molecular Study of 19 Primary Effusion Lymphomas in HIV-infected Patients.	ARID1A
34649275	10.1182/bloodadvances.2021005316	2022	Worse outcome and distinct mutational pattern in follicular lymphoma with anti-HBc positivity.	ARID1A
34791836	10.1002/cam4.4422	2022	Identification of a genetic signature enriching for response to ibrutinib in relapsed/refractory follicular lymphoma in the DAWN phase 2 trial.	ARID1A
35038193	10.1111/his.14617	2022	Incidence, clinicopathological features and genetics of in-situ follicular neoplasia: a comprehensive screening study in a Japanese cohort.	ARID1A
35054466	10.3390/life12010073	2022	The Pathologic and Genetic Characteristics of Extranodal NK/T-Cell Lymphoma.	ARID1A
35317330	10.14740/wjon1436	2022	Non-GCB Diffuse Large B-Cell Lymphoma With an Atypical Disease Course: A Case Report and Clinical Exome Analysis.	ARID1A
35454811	10.3390/cancers14081904	2022	Deciphering Genetic Alterations of Hairy Cell Leukemia and Hairy Cell Leukemia-like Disorders in 98 Patients.	ARID1A
35794096	10.1038/s41467-022-31355-8	2022	Clinical relevance of molecular characteristics in Burkitt lymphoma differs according to age.	ARID1A
35879731	10.1186/s40364-022-00401-4	2022	Dynamic change of soluble interleukin-2 receptor distinguished molecular heterogeneity and microenvironment alterations in diffuse large B-cell lymphoma.	ARID1A
36001451	10.1097/PAS.0000000000001956	2022	Targeted Mutational Profiling Reveals Clonal Relationships in Metachronous Occurrence of Classic Hodgkin and Mediastinal Large B-Cell Lymphomas.	ARID1A
33431788	10.1038/s41392-020-00437-8	2021	CREBBP/EP300 mutations promoted tumor progression in diffuse large B-cell lymphoma through altering tumor-associated macrophage polarization via FBXW7-NOTCH-CCL2/CSF1 axis.	ARID1A
33829512	10.1111/his.14378	2021	Bcl-2-negative IGH-BCL2 translocation-negative follicular lymphoma of the thyroid differs genetically and epigenetically from Bcl-2-positive IGH-BCL2 translocation-positive follicular lymphoma.	ARID1A
34039950	10.1038/s41408-021-00493-5	2021	Genomic insights into the pathogenesis of Epstein-Barr virus-associated diffuse large B-cell lymphoma by whole-genome and targeted amplicon sequencing.	ARID1A
34348985	10.1136/jclinpath-2021-207441	2021	Clinicopathological characteristics and genetic variations of uterine tumours resembling ovarian sex cord tumours.	ARID1A
31423576	10.1111/bjh.16159	2020	M7-FLIPI is not prognostic in follicular lymphoma patients with first-line rituximab chemo-free therapy.	ARID1A
32083995	10.1200/JCO.19.02314	2020	Genomic Landscape of Waldenström Macroglobulinemia and Its Impact on Treatment Strategies.	ARID1A
32978169	10.1158/0008-5472.CAN-20-2147	2020	EZH2-Targeted Therapies in Cancer: Hype or a Reality.	ARID1A
33252851	10.1002/ctm2.221	2020	Influence of oncogenic mutations and tumor microenvironment alterations on extranodal invasion in diffuse large B-cell lymphoma.	ARID1A
33376237	10.1038/s41392-020-00331-3	2020	Combination of anti-PD-1 antibody with P-GEMOX as a potentially effective immunochemotherapy for advanced natural killer/T cell lymphoma.	ARID1A
30886885	10.1016/j.gore.2019.02.007	2019	Endometrial cancer arising after complete remission of uterine malignant lymphoma: A case report and mutation analysis.	ARID1A
31123138	10.1136/jclinpath-2019-205727	2019	Intravascular NK/T-cell lymphoma: clinicopathological and integrated molecular analysis of two cases provides a clue to disease pathogenesis.	ARID1A
31300419	10.1182/bloodadvances.2018029546	2019	Sporadic and endemic Burkitt lymphoma have frequent <i>FOXO1</i> mutations but distinct hotspots in the AKT recognition motif.	ARID1A
31747604	10.1016/j.celrep.2019.10.083	2019	Targeting Excessive EZH1 and EZH2 Activities for Abnormal Histone Methylation and Transcription Network in Malignant Lymphomas.	ARID1A
29307627	10.1016/j.humpath.2017.12.025	2018	Dedifferentiated liposarcoma composed predominantly of rhabdoid/epithelioid cells: a frequently misdiagnosed highly aggressive variant.	ARID1A
29486633	10.1177/1533034618754475	2018	Loss of ARID1A Expression Correlates With Tumor Differentiation and Tumor Progression Stage in Pancreatic Ductal Adenocarcinoma.	ARID1A
29669287	10.1016/j.celrep.2018.03.078	2018	ZRANB1 Is an EZH2 Deubiquitinase and a Potential Therapeutic Target in Breast Cancer.	ARID1A
29989027	10.18632/oncotarget.25601	2018	New generation sequencing of targeted genes in the classical and the variant form of hairy cell leukemia highlights mutations in epigenetic regulation genes.	ARID1A
30134235	10.1159/000492835	2018	Frequent Mutations in Natural Killer/T Cell Lymphoma.	ARID1A
30190015	10.1016/j.hoc.2018.05.007	2018	Working Toward a Genomic Prognostic Classification of Waldenström Macroglobulinemia: C-X-C Chemokine Receptor Type 4 Mutation and Beyond.	ARID1A
29025291	10.1556/650.2017.30868	2017	[Waldenström's macroglobulinemia and its individualized therapy options].	ARID1A
29222279	10.1182/asheducation-2017.1.358	2017	Follicular lymphoma: are we ready for a risk-adapted approach?	ARID1A
27102345	10.1038/modpathol.2016.79	2016	Comprehensive genomic profiling of orbital and ocular adnexal lymphomas identifies frequent alterations in MYD88 and chromatin modifiers: new routes to targeted therapies.	ARID1A
27729836	10.5808/GI.2016.14.3.78	2016	Mutational Analysis of Extranodal NK/T-Cell Lymphoma Using Targeted Sequencing with a Comprehensive Cancer Panel.	ARID1A
25779943	10.1158/1078-0432.CCR-14-2759	2015	Genetics and Prognostication in Splenic Marginal Zone Lymphoma: Revelations from Deep Sequencing.	ARID1A
26192917	10.1038/ng.3358	2015	Exome sequencing identifies somatic mutations of DDX3X in natural killer/T-cell lymphoma.	ARID1A
26256760	10.1016/S1470-2045(15)00169-2	2015	Integration of gene mutations in risk prognostication for patients receiving first-line immunochemotherapy for follicular lymphoma: a retrospective analysis of a prospective clinical trial and validation in a population-based registry.	ARID1A
26446488	10.1038/ncomms9325	2015	LRF maintains genome integrity by regulating the non-homologous end joining pathway of DNA repair.	ARID1A
26468873	10.1371/journal.ppat.1005158	2015	Distinct Viral and Mutational Spectrum of Endemic Burkitt Lymphoma.	ARID1A
26473533	10.1038/bcj.2015.89	2015	Mutation of chromatin modifiers; an emerging hallmark of germinal center B-cell lymphomas.	ARID1A
26551670	10.1038/ng.3444	2015	Genomic profiling of Sézary syndrome identifies alterations of key T cell signaling and differentiation genes.	ARID1A
24435047	10.1182/blood-2013-05-500264	2014	Mutations in linker histone genes HIST1H1 B, C, D, and E; OCT2 (POU2F2); IRF8; and ARID1A underlying the pathogenesis of follicular lymphoma.	ARID1A
23292937	10.1073/pnas.1205299110	2013	Genetic heterogeneity of diffuse large B-cell lymphoma.	ARID1A
22585168	10.1158/2159-8290.CD-11-0208	2012	Molecular ontogeny of donor-derived follicular lymphomas occurring after hematopoietic cell transplantation.	ARID1A
22915242	10.1007/s00428-012-1303-2	2012	ARID1A expression loss in gastric cancer: pathway-dependent roles with and without Epstein-Barr virus infection and microsatellite instability.	ARID1A
22931316	10.1056/NEJMoa1200710	2012	MYD88 L265P somatic mutation in Waldenström's macroglobulinemia.	ARID1A
23091298	10.1182/blood-2012-06-437624	2012	Targeted genomic sequencing of pediatric Burkitt lymphoma identifies recurrent alterations in antiapoptotic and chromatin-remodeling genes.	ARID1A
23143597	10.1038/ng.2468	2012	The genetic landscape of mutations in Burkitt lymphoma.	ARID1A
21590771	10.1002/path.2911	2011	Loss of BAF250a (ARID1A) is frequent in high-grade endometrial carcinomas.	ARID1A
