pmid	doi	year	title	Hugo_Symbol
34624079	10.1182/blood.2021012081	2022	SHMT2 inhibition disrupts the TCF3 transcriptional survival program in Burkitt lymphoma.	BCR
34795418	10.1038/s41375-021-01470-4	2022	Inhibitors of Bcl-2 and Bruton's tyrosine kinase synergize to abrogate diffuse large B-cell lymphoma growth in vitro and in orthotopic xenotransplantation models.	BCR
34882582	10.1172/JCI153283	2022	Genomic and transcriptomic profiling reveals distinct molecular subsets associated with outcomes in mantle cell lymphoma.	BCR
34952433	10.1016/j.ejmech.2021.114051	2022	Discovery of selective irreversible inhibitors of B-Lymphoid tyrosine kinase (BLK).	BCR
35051110	10.3390/vetsci9010026	2022	Feline and Canine Cutaneous Lymphocytosis: Reactive Process or Indolent Neoplastic Disease?	BCR
35077445	10.1371/journal.pone.0261469	2022	T and NK cell lymphoma cell lines do not rely on ZAP-70 for survival.	BCR
35082399	10.1038/s41417-021-00415-4	2022	CDK12 activates MYC to repress miR-28-5p/EZH2 and amplifies tonic BCR signaling to promote the development of diffuse large B-cell lymphoma.	BCR
35126963	10.1177/20406207211072839	2022	MYD88<sup>L265P</sup> and CD79B double mutations type (MCD type) of diffuse large B-cell lymphoma: mechanism, clinical characteristics, and targeted therapy.	BCR
35158410	10.1111/ejh.13755	2022	Health economic evidence for the use of molecular biomarker tests in hematological malignancies: A systematic review.	BCR
35181934	10.1111/vcp.13062	2022	A challenging case of lymphoproliferative disease in a cat.	BCR
35205606	10.3390/cancers14040860	2022	Regulation of B-Cell Receptor Signaling and Its Therapeutic Relevance in Aggressive B-Cell Lymphomas.	BCR
35205731	10.3390/cancers14040983	2022	Chemotherapy-Free Targeted Anti-BCR-ABL+ Acute Lymphoblastic Leukemia Therapy May Benefit the Heart.	BCR
35218741	10.1016/j.bcp.2022.114977	2022	Post-translational modification of MALT1 and its role in B cell- and T cell-related diseases.	BCR
35230873	10.1126/scisignal.abk3083	2022	Phosphorylation of serine-893 in CARD11 suppresses the formation and activity of the CARD11-BCL10-MALT1 complex in T and B cells.	BCR
35255496	10.1182/bloodadvances.2021006147	2022	A new role for the SRC family kinase HCK as a driver of SYK activation in MYD88 mutated lymphomas.	BCR
35257981	10.1016/j.drup.2022.100822	2022	Targeting metabolism to overcome cancer drug resistance: A promising therapeutic strategy for diffuse large B cell lymphoma.	BCR
35266562	10.1002/ajh.26523	2022	Mantle cell lymphoma in 2022-A comprehensive update on molecular pathogenesis, risk stratification, clinical approach, and current and novel treatments.	BCR
35295854	10.3389/fcell.2022.838871	2022	Lyn Phosphorylates and Controls ROR1 Surface Dynamics During Chemotaxis of CLL Cells.	BCR
35296646	10.1038/s41419-022-04684-1	2022	Dual BTK/SYK inhibition with CG-806 (luxeptinib) disrupts B-cell receptor and Bcl-2 signaling networks in mantle cell lymphoma.	BCR
35306137	10.1016/j.cellsig.2022.110311	2022	B-cell receptor signaling induces proteasomal degradation of PDCD4 via MEK1/2 and mTORC1 in malignant B cells.	BCR
35350909	10.1177/10781552221090869	2022	Real-world management of targeted therapies in chronic lymphocytic leukemia.	BCR
35398488	10.1016/j.cellsig.2022.110331	2022	SYK and ZAP70 kinases in autoimmunity and lymphoid malignancies.	BCR
35411950	10.1002/cbf.3702	2022	USP7 sustains an active epigenetic program via stabilizing MLL2 and WDR5 in diffuse large B-cell lymphoma.	BCR
35416325	10.1002/hon.3004	2022	LncRNA FIRRE stimulates PTBP1-induced Smurf2 decay, stabilizes B-cell receptor, and promotes the development of diffuse large B-cell lymphoma.	BCR
