pmid	doi	year	title	Hugo_Symbol
33297669	10.3324/haematol.2020.267294	2022	Phenogenomic heterogeneity of post-transplant plasmablastic lymphomas.	BRAF
34710243	10.1002/ajh.26390	2022	Hairy cell leukemia 2022: Update on diagnosis, risk-stratification, and treatment.	BRAF
34802044	10.1038/s41379-021-00954-z	2022	A novel diagnostic approach for the classification of small B-cell lymphoid neoplasms based on the NanoString platform.	BRAF
34952945	10.1038/s41379-021-01002-6	2022	Genomic landscape of Epstein-Barr virus-positive extranodal marginal zone lymphomas of mucosa-associated lymphoid tissue.	BRAF
35064935	10.1111/his.14619	2022	Parallel evolution of two distinct lymphoid proliferations in clonal haematopoiesis.	BRAF
35205796	10.3390/cancers14041050	2022	Immunophenotypic Analysis of Hairy Cell Leukemia (HCL) and Hairy Cell Leukemia-like (HCL-like) Disorders.	BRAF
35234079	10.1177/10668969221081432	2022	Hairy Cell Leukemia-Japanese Variant: Report of a Patient and Literature Review.	BRAF
35356636	10.14740/jh942	2022	Concurrent Presentation of Hairy Cell Leukemia and Mantle Cell Lymphoma (Leukemic Non-Nodal Variant): An Extremely Rare Composite Lymphoma.	BRAF
35359040	10.3760/cma.j.cn112151-20211220-00915	2022	[Clinicopathological features and BRAF V600E and MYD88 L265P mutation status of nodal marginal zone lymphoma].	BRAF
35363510	10.1200/JCO.21.02840	2022	Phase II Study of Selumetinib in Children and Young Adults With Tumors Harboring Activating Mitogen-Activated Protein Kinase Pathway Genetic Alterations: Arm E of the NCI-COG Pediatric MATCH Trial.	BRAF
35437610	10.1007/s00277-022-04795-x	2022	Purine nucleoside analogs plus rituximab are an effective treatment choice for hairy cell leukemia-variant.	BRAF
35450208	10.1177/20406207221090886	2022	Updates in hairy cell leukemia (HCL) and variant-type HCL (HCL-V): rationale for targeted treatments with a focus on ibrutinib.	BRAF
35454811	10.3390/cancers14081904	2022	Deciphering Genetic Alterations of Hairy Cell Leukemia and Hairy Cell Leukemia-like Disorders in 98 Patients.	BRAF
35789115	10.1111/his.14718	2022	Hodgkinoid histiocytosis: an atypical nodal CD30 and S100-positive histiocytosis with eosinophilia.	BRAF
36051021	10.1002/jha2.486	2022	Lymphoma-associated acquired von Willebrand syndrome responsive to splenectomy: A case report.	BRAF
