pmid	doi	year	title	Hugo_Symbol
34319003	10.1002/cnr2.1524	2022	Serum proteome modulations upon treatment provides biological insight on response to treatment in relapsed mantle cell lymphoma.	BTK
34332791	10.1016/j.pathol.2021.04.008	2022	Morphologic and molecular analysis of Richter syndrome in chronic lymphocytic leukaemia patients treated with ibrutinib or venetoclax.	BTK
34615723	10.1158/1078-0432.CCR-21-2183	2022	Phase I/Ib Study of the Efficacy and Safety of Buparlisib and Ibrutinib Therapy in MCL, FL, and DLBCL with Serial Cell-Free DNA Monitoring.	BTK
34638136	10.1182/bloodadvances.2020003698	2022	Zanubrutinib monotherapy for relapsed or refractory non-germinal center diffuse large B-cell lymphoma.	BTK
34679161	10.1182/blood.2021013326	2022	Therapeutic options for relapsed/refractory mantle cell lymphoma.	BTK
34713475	10.1002/hon.2943	2022	Treatment strategies for a rapidly evolving landscape in chronic lymphocytic leukemia management.	BTK
34714908	10.1182/bloodadvances.2021005486	2022	Integrative genomic and transcriptomic analysis in plasmablastic lymphoma identifies disruption of key regulatory pathways.	BTK
34724705	10.1182/bloodadvances.2021005621	2022	Pooled safety analysis of zanubrutinib monotherapy in patients with B-cell malignancies.	BTK
34783281	10.1080/10428194.2021.1999444	2022	Targeting MALT1 for the treatment of diffuse large B-cell lymphoma.	BTK
34795418	10.1038/s41375-021-01470-4	2022	Inhibitors of Bcl-2 and Bruton's tyrosine kinase synergize to abrogate diffuse large B-cell lymphoma growth in vitro and in orthotopic xenotransplantation models.	BTK
34817087	10.1002/hon.2952	2022	Outcome of patients with mantle cell lymphoma after autologous stem cell transplantation in the pre-CAR T-cell era.	BTK
34821081	10.1002/cnr2.1590	2022	Mantle cell lymphoma: A clinical review of the changing treatment paradigms with the advent of novel therapies, and an insight into Indian data.	BTK
34839996	10.1016/j.ejmech.2021.114009	2022	Review of the development of BTK inhibitors in overcoming the clinical limitations of ibrutinib.	BTK
34843717	10.1016/j.bcp.2021.114861	2022	Luxeptinib disables NLRP3 inflammasome-mediated IL-1β release and pathways required for secretion of inflammatory cytokines IL-6 and TNFα.	BTK
34861036	10.1182/blood.2021014085	2022	Efficacy of a third BNT162b2 mRNA COVID-19 vaccine dose in patients with CLL who failed standard 2-dose vaccination.	BTK
34861696	10.1182/bloodadvances.2021006211	2022	Single-cell sequencing demonstrates complex resistance landscape in CLL and MCL treated with BTK and BCL2 inhibitors.	BTK
34905129	10.1007/s11523-021-00857-8	2022	Bruton Tyrosine Kinase Inhibitors in B-Cell Malignancies: Their Use and Differential Features.	BTK
34910982	10.1016/j.bioorg.2021.105541	2022	Discovery of pyrido[3,4-b]indol-1-one derivatives as novel non-covalent Bruton's tyrosine kinase (BTK) inhibitors.	BTK
34932207	10.1007/s40265-021-01657-0	2022	Current Treatment of Chronic Lymphocytic Leukemia: The Diminishing Role of Chemoimmunotherapy.	BTK
35031886	10.1186/s43556-021-00066-9	2022	Combinatorial inhibition of BTK, PI3K-AKT and BRD4-MYC as a strategy for treatment of mantle cell lymphoma.	BTK
35068379	10.1080/16078454.2021.2019363	2022	Application of new targeted drugs in relapsed/refractory primary central nervous system lymphoma.	BTK
