pmid	doi	year	title	Hugo_Symbol
35321563	10.1161/ATVBAHA.121.317018	2022	Plaque Evaluation by Ultrasound and Transcriptomics Reveals BCLAF1 as a Regulator of Smooth Muscle Cell Lipid Transdifferentiation in Atherosclerosis.	CD36
35436984	10.1038/s41419-022-04812-x	2022	B-cell lymphoma 6 alleviates nonalcoholic fatty liver disease in mice through suppression of fatty acid transporter CD36.	CD36
36040107	10.1002/JLB.6MA0822-720RR	2022	Single-cell phenotypic profiling to identify a set of immune cell protein biomarkers for relapsed and refractory diffuse large B cell lymphoma: A single-center study.	CD36
34307504	10.3389/fcvm.2021.691336	2021	Plasma Purification Treatment Relieves the Damage of Hyperlipidemia to PBMCs.	CD36
31919622	10.1007/s00262-019-02464-z	2020	Mass cytometry defines distinct immune profile in germinal center B-cell lymphomas.	CD36
30579868	10.1016/j.ebiom.2018.12.020	2019	Associations between IgG reactivity to Plasmodium falciparum erythrocyte membrane protein 1 (PfEMP1) antigens and Burkitt lymphoma in Ghana and Uganda case-control studies.	CD36
31022903	10.3390/cancers11040576	2019	Deciphering the Elevated Lipid via CD36 in Mantle Cell Lymphoma with Bortezomib Resistance Using Synchrotron-Based Fourier Transform Infrared Spectroscopy of Single Cells.	CD36
31040105	10.1158/2159-8290.CD-18-1393	2019	Mechanisms of Lymphoma Clearance Induced by High-Dose Alkylating Agents.	CD36
31326577	10.1016/j.leukres.2019.106189	2019	Expression of platelet parameters and platelet membrane glycoproteins in childhood Burkitt lymphoma.	CD36
28061439	10.18632/oncotarget.14494	2017	Synthetic high-density lipoproteins as targeted monotherapy for chronic lymphocytic leukemia.	CD36
29033373	10.1016/j.ebiom.2017.09.037	2017	Evaluating the Causal Link Between Malaria Infection and Endemic Burkitt Lymphoma in Northern Uganda: A Mendelian Randomization Study.	CD36
24188174	10.1111/cei.12231	2014	Integrin-driven monocyte to dendritic cell conversion in modified extracorporeal photochemotherapy.	CD36
25937841	10.1007/s12308-012-0166-4	2013	FASN and CD36 predict survival in rituximab-treated diffuse large B-cell lymphoma.	CD36
