pmid	doi	year	title	Hugo_Symbol
34265801	10.1097/PAS.0000000000001780	2022	Plasticity of Mature B Cells Between Follicular and Classic Hodgkin Lymphomas: A Series of 22 Cases Expanding the Spectrum of Transdifferentiation.	CREBBP
34601504	10.1038/s41379-021-00938-z	2022	Histopathologic, immunophenotypic, and mutational landscape of follicular lymphomas with plasmacytic differentiation.	CREBBP
34664256	10.1111/bjh.17894	2022	Tracking the evolution of untreated high-intermediate/high-risk diffuse large B-cell lymphoma by circulating tumour DNA.	CREBBP
34837284	10.1111/cas.15224	2022	Decreased expression of T-cell-associated immune markers predicts poor prognosis in patients with follicular lymphoma.	CREBBP
34957565	10.1002/path.5861	2022	Widespread in situ follicular neoplasia in patients who subsequently developed follicular lymphoma.	CREBBP
34967008	10.1111/bjh.17990	2022	The molecular ontogeny of follicular lymphoma: gene mutations succeeding the BCL2 translocation define common precursor cells.	CREBBP
34977845	10.1016/j.xjidi.2021.100068	2022	Genomic Analysis of Cutaneous CD30-Positive Lymphoproliferative Disorders.	CREBBP
35022084	10.1186/s13046-021-02234-9	2022	The follicular lymphoma epigenome regulates its microenvironment.	CREBBP
35030632	10.1182/bloodadvances.2021006410	2022	Distinct clinical and genetic features of hepatitis B virus-associated follicular lymphoma in Chinese patients.	CREBBP
35038193	10.1111/his.14617	2022	Incidence, clinicopathological features and genetics of in-situ follicular neoplasia: a comprehensive screening study in a Japanese cohort.	CREBBP
35205765	10.3390/cancers14041018	2022	Integration of Baseline Metabolic Parameters and Mutational Profiles Predicts Long-Term Response to First-Line Therapy in DLBCL Patients: A Post Hoc Analysis of the SAKK38/07 Study.	CREBBP
35240014	10.4143/crt.2022.017	2022	Circulating Tumor DNA-Based Genotyping and Monitoring for Predicting Disease Relapses of Patients with Peripheral T-Cell Lymphomas.	CREBBP
35255429	10.1016/j.anndiagpath.2021.151886	2022	De Novo CD5-positive diffuse large B-cell lymphoma: A genomic profiling study and prognostic analysis of 46 patients.	CREBBP
35317330	10.14740/wjon1436	2022	Non-GCB Diffuse Large B-Cell Lymphoma With an Atypical Disease Course: A Case Report and Clinical Exome Analysis.	CREBBP
35363872	10.1182/bloodadvances.2021005284	2022	Molecular subclusters of follicular lymphoma: a report from the UK's Haematological Malignancy Research Network.	CREBBP
35401516	10.3389/fimmu.2022.842439	2022	Oncogenic Mutations and Tumor Microenvironment Alterations of Older Patients With Diffuse Large B-Cell Lymphoma.	CREBBP
35454811	10.3390/cancers14081904	2022	Deciphering Genetic Alterations of Hairy Cell Leukemia and Hairy Cell Leukemia-like Disorders in 98 Patients.	CREBBP
35734168	10.3389/fimmu.2022.922471	2022	m6A-Regulator Expression Signatures Identify a Subset of Follicular Lymphoma Harboring an Exhausted Tumor Microenvironment.	CREBBP
35816682	10.1182/bloodadvances.2022008355	2022	Genomic and microenvironmental landscape of stage I follicular lymphoma, compared to stage III/IV.	CREBBP
35908982	10.1016/j.blre.2022.100992	2022	Follicular lymphoma: The long and winding road leading to your cure?	CREBBP
35964234	10.1093/ajcp/aqac087	2022	Histiocytic Sarcoma With CCND1 Gene Rearrangement Clonally Related and Transdifferentiated From Mantle Cell Lymphoma.	CREBBP
32855278	10.3324/haematol.2020.254854	2021	Genetic evolution of <i>in situ</i> follicular neoplasia to aggressive B-cell lymphoma of germinal center subtype.	CREBBP
32929178	10.1038/s41379-020-00673-x	2021	The mutational landscape of histiocytic sarcoma associated with lymphoid malignancy.	CREBBP
32973328	10.1038/s41379-020-00685-7	2021	The clinicopathological and molecular features of sinusoidal large B-cell lymphoma.	CREBBP
33311649	10.1038/s41379-020-00720-7	2021	Targeted massively parallel sequencing of mature lymphoid neoplasms: assessment of empirical application and diagnostic utility in routine clinical practice.	CREBBP
33413063	10.2174/1568009620666210106122750	2021	Epigenetic Mechanisms of Therapy Resistance in Diffuse Large B Cell Lymphoma (DLBCL).	CREBBP
33431788	10.1038/s41392-020-00437-8	2021	CREBBP/EP300 mutations promoted tumor progression in diffuse large B-cell lymphoma through altering tumor-associated macrophage polarization via FBXW7-NOTCH-CCL2/CSF1 axis.	CREBBP
33479306	10.1038/s41598-020-80376-0	2021	Proposal and validation of a method to classify genetic subtypes of diffuse large B cell lymphoma.	CREBBP
33560380	10.1182/bloodadvances.2020002469	2021	Genomic landscape of cutaneous follicular lymphomas reveals 2 subgroups with clinically predictive molecular features.	CREBBP
33562694	10.3390/cancers13040641	2021	Follicular Lymphoma Microenvironment: An Intricate Network Ready for Therapeutic Intervention.	CREBBP
