pmid	doi	year	title	Hugo_Symbol
35937947	10.1155/2022/6441139	2022	Genomic Mutation Landscape of Primary Breast Lymphoma: Next-Generation Sequencing Analysis.	DTX1
32868912	10.1038/s41423-020-00527-1	2021	Exploring the stage-specific roles of Tcf-1 in T cell development and malignancy at single-cell resolution.	DTX1
33777778	10.3389/fonc.2021.628807	2021	Mutational Profile and Clonal Evolution of Relapsed/Refractory Diffuse Large B-Cell Lymphoma.	DTX1
33939500	10.1177/10668969211013402	2021	A Pedigree Analysis and Clonal Correlations of the Coexistence of B-Cell Lymphoma and Histiocytic/Dendritic Cell Tumor.	DTX1
33945543	10.1371/journal.pone.0248886	2021	Detection of new drivers of frequent B-cell lymphoid neoplasms using an integrated analysis of whole genomes.	DTX1
30802265	10.1371/journal.pone.0212813	2019	Unraveling transformation of follicular lymphoma to diffuse large B-cell lymphoma.	DTX1
25891013	10.1002/art.39163	2015	The anergy induction of M3 muscarinic acetylcholine receptor-reactive CD4+ T cells suppresses experimental sialadenitis-like Sjögren's syndrome.	DTX1
25000980	10.4049/jimmunol.1301416	2014	Deltex1 promotes protein kinase Cθ degradation and sustains Casitas B-lineage lymphoma expression.	DTX1
25171927	10.1182/blood-2013-12-546309	2014	Exome sequencing reveals novel mutation targets in diffuse large B-cell lymphomas derived from Chinese patients.	DTX1
22891273	10.1084/jem.20120904	2012	The coding genome of splenic marginal zone lymphoma: activation of NOTCH2 and other pathways regulating marginal zone development.	DTX1
21840596	10.1016/j.leukres.2011.07.024	2011	Cooperation between somatic Ikaros and Notch1 mutations at the inception of T-ALL.	DTX1
19293180	10.1158/0008-5472.CAN-08-4223	2009	Heterozygosity for hypoxia inducible factor 1alpha decreases the incidence of thymic lymphomas in a p53 mutant mouse model.	DTX1
16103065	10.1158/0008-5472.CAN-05-1400	2005	OLIG2 (BHLHB1), a bHLH transcription factor, contributes to leukemogenesis in concert with LMO1.	DTX1
12670957	10.1074/jbc.M301157200	2003	The BAL-binding protein BBAP and related Deltex family members exhibit ubiquitin-protein isopeptide ligase activity.	DTX1
