pmid	doi	year	title	Hugo_Symbol
34265801	10.1097/PAS.0000000000001780	2022	Plasticity of Mature B Cells Between Follicular and Classic Hodgkin Lymphomas: A Series of 22 Cases Expanding the Spectrum of Transdifferentiation.	EP300
34560683	10.1097/PAS.0000000000001813	2022	A Comprehensive Clinicopathologic and Molecular Study of 19 Primary Effusion Lymphomas in HIV-infected Patients.	EP300
34649275	10.1182/bloodadvances.2021005316	2022	Worse outcome and distinct mutational pattern in follicular lymphoma with anti-HBc positivity.	EP300
35054466	10.3390/life12010073	2022	The Pathologic and Genetic Characteristics of Extranodal NK/T-Cell Lymphoma.	EP300
35205765	10.3390/cancers14041018	2022	Integration of Baseline Metabolic Parameters and Mutational Profiles Predicts Long-Term Response to First-Line Therapy in DLBCL Patients: A Post Hoc Analysis of the SAKK38/07 Study.	EP300
35317330	10.14740/wjon1436	2022	Non-GCB Diffuse Large B-Cell Lymphoma With an Atypical Disease Course: A Case Report and Clinical Exome Analysis.	EP300
35646048	10.3389/fgene.2022.878618	2022	Whole-Genome/Exome Sequencing Uncovers Mutations and Copy Number Variations in Primary Diffuse Large B-Cell Lymphoma of the Central Nervous System.	EP300
35908982	10.1016/j.blre.2022.100992	2022	Follicular lymphoma: The long and winding road leading to your cure?	EP300
32273478	10.3324/haematol.2020.251579	2021	Genetic lesions in MYC and STAT3 drive oncogenic transcription factor overexpression in plasmablastic lymphoma.	EP300
33399078	10.1016/j.esmoop.2020.100012	2021	Clonal evolution in diffuse large B-cell lymphoma with central nervous system recurrence.	EP300
33413063	10.2174/1568009620666210106122750	2021	Epigenetic Mechanisms of Therapy Resistance in Diffuse Large B Cell Lymphoma (DLBCL).	EP300
33431788	10.1038/s41392-020-00437-8	2021	CREBBP/EP300 mutations promoted tumor progression in diffuse large B-cell lymphoma through altering tumor-associated macrophage polarization via FBXW7-NOTCH-CCL2/CSF1 axis.	EP300
33560380	10.1182/bloodadvances.2020002469	2021	Genomic landscape of cutaneous follicular lymphomas reveals 2 subgroups with clinically predictive molecular features.	EP300
33829512	10.1111/his.14378	2021	Bcl-2-negative IGH-BCL2 translocation-negative follicular lymphoma of the thyroid differs genetically and epigenetically from Bcl-2-positive IGH-BCL2 translocation-positive follicular lymphoma.	EP300
33911074	10.1038/s41419-021-03695-8	2021	Genome-wide CRISPR screens reveal synthetic lethal interaction between CREBBP and EP300 in diffuse large B-cell lymphoma.	EP300
33951889	10.3324/haematol.2020.271957	2021	MAPK and JAK-STAT pathways dysregulation in plasmablastic lymphoma.	EP300
34272731	10.1111/bjh.17708	2021	EBV-positive HIV-associated diffuse large B cell lymphomas are characterized by JAK/STAT (STAT3) pathway mutations and unique clinicopathologic features.	EP300
35008340	10.3390/cancers14010176	2021	Recent Advances in the Genetic of MALT Lymphomas.	EP300
35071240	10.3389/fcell.2021.805195	2021	Epigenetic, Metabolic, and Immune Crosstalk in Germinal-Center-Derived B-Cell Lymphomas: Unveiling New Vulnerabilities for Rational Combination Therapies.	EP300
31423576	10.1111/bjh.16159	2020	M7-FLIPI is not prognostic in follicular lymphoma patients with first-line rituximab chemo-free therapy.	EP300
31752573	10.1080/10428194.2019.1691200	2020	New murine models of aggressive lymphoma.	EP300
31822509	10.1074/jbc.RA119.008742	2020	Protein arginine methyltransferase 5 represses tumor suppressor miRNAs that down-regulate CYCLIN D1 and c-MYC expression in aggressive B-cell lymphoma.	EP300
32012328	10.1002/hon.2718	2020	High throughput sequencing reveals high specificity of TNFAIP3 mutations in ocular adnexal marginal zone B-cell lymphomas.	EP300
32553609	10.1016/j.virusres.2020.198066	2020	p300 promotes cell proliferation through suppressing Kaposi's sarcoma-associated herpesvirus (KSHV) reactivation in the infected B-lymphoma cells.	EP300
32576962	10.1038/s41375-020-0908-8	2020	CARM1 inhibition reduces histone acetyltransferase activity causing synthetic lethality in CREBBP/EP300-mutated lymphomas.	EP300
32882003	10.1182/bloodadvances.2020001879	2020	Antitumor activity of the dual BET and CBP/EP300 inhibitor NEO2734.	EP300
33045225	10.1016/j.humpath.2020.09.014	2020	The molecular landscape and other distinctive features of primary cutaneous follicle center lymphoma.	EP300
33097085	10.1186/s13148-020-00948-9	2020	Clinical efficacy and molecular biomarkers in a phase II study of tucidinostat plus R-CHOP in elderly patients with newly diagnosed diffuse large B-cell lymphoma.	EP300
33160401	10.1186/s13148-020-00962-x	2020	Epigenetic alterations and advancement of treatment in peripheral T-cell lymphoma.	EP300
30307363	10.1080/15384047.2018.1523857	2019	Successful implementation of genomically based treatment of chemotherapy refractory peripheral T-cell lymphoma (PTCL).	EP300
30721949	10.1093/carcin/bgz013	2019	Mutational landscape of T-cell lymphoma in mice lacking the DNA mismatch repair gene Mlh1: no synergism with ionizing radiation.	EP300
30733272	10.3324/haematol.2018.207928	2019	Burkitt-like lymphoma with 11q aberration: a germinal center-derived lymphoma genetically unrelated to Burkitt lymphoma.	EP300
30979734	10.1158/1078-0432.CCR-18-3989	2019	Precision Targeting with EZH2 and HDAC Inhibitors in Epigenetically Dysregulated Lymphomas.	EP300
31182547	10.1158/0008-5472.CAN-18-3622	2019	CBP/p300 Drives the Differentiation of Regulatory T Cells through Transcriptional and Non-Transcriptional Mechanisms.	EP300
31221981	10.1038/s12276-019-0230-6	2019	The cancer driver genes IDH1/2, JARID1C/ KDM5C, and UTX/ KDM6A: crosstalk between histone demethylation and hypoxic reprogramming in cancer metabolism.	EP300
31292115	10.1182/blood.2019001126	2019	Integrative genomic analysis identifies key pathogenic mechanisms in primary mediastinal large B-cell lymphoma.	EP300
31475375	10.1002/hon.2674	2019	m7FLIPI and targeted sequencing in high-risk follicular lymphoma.	EP300
31489524	10.1007/s11899-019-00541-9	2019	Chromatin-Remodeled State in Lymphoma.	EP300
31519498	10.1016/j.immuni.2019.08.006	2019	Unique and Shared Epigenetic Programs of the CREBBP and EP300 Acetyltransferases in Germinal Center B Cells Reveal Targetable Dependencies in Lymphoma.	EP300
31533053	10.1016/j.immuni.2019.08.018	2019	Scoring a HAT-Trick against Lymphoma.	EP300
31662917	10.1155/2019/4532434	2019	An Unusually Short Latent Period of Therapy-Related Myeloid Neoplasm Harboring a Rare MLL-EP300 Rearrangement: Case Report and Literature Review.	EP300
31669559	10.1016/j.exphem.2019.10.004	2019	Depletion of the transcriptional coactivators CREB-binding protein or EP300 downregulates CD20 in diffuse large B-cell lymphoma cells and impairs the cytotoxic effects of anti-CD20 antibodies.	EP300
29305415	10.3324/haematol.2017.182444	2018	Histone modifier gene mutations in peripheral T-cell lymphoma not otherwise specified.	EP300
29359884	10.1002/ajmg.a.38603	2018	Benign and malignant tumors in Rubinstein-Taybi syndrome.	EP300
29467311	10.1128/JVI.02155-17	2018	Epstein-Barr Virus Nuclear Antigen Leader Protein Coactivates EP300.	EP300
29884215	10.1186/s13072-018-0197-x	2018	CREBBP/EP300 bromodomains are critical to sustain the GATA1/MYC regulatory axis in proliferation.	EP300
30104217	10.1182/blood-2018-01-824607	2018	North American ATLL has a distinct mutational and transcriptional profile and responds to epigenetic therapies.	EP300
30134235	10.1159/000492835	2018	Frequent Mutations in Natural Killer/T Cell Lymphoma.	EP300
30227405	10.1159/000491013	2018	Microarray-Based Gene Expression Analysis Identifies Potential Diagnostic and Prognostic Biomarkers for Waldenström Macroglobulinemia.	EP300
30360879	10.1053/j.seminoncol.2018.07.005	2018	New concepts in follicular lymphoma biology: From BCL2 to epigenetic regulators and non-coding RNAs.	EP300
30723478	10.3389/fimmu.2018.03135	2018	CVID-Associated Tumors: Czech Nationwide Study Focused on Epidemiology, Immunology, and Genetic Background in a Cohort of Patients With CVID.	EP300
27742770	10.3324/haematol.2016.144964	2017	Inhibition of demethylase KDM6B sensitizes diffuse large B-cell lymphoma to chemotherapeutic drugs.	EP300
28103279	10.1371/journal.pone.0170282	2017	Aristaless Related Homeobox (ARX) Interacts with β-Catenin, BCL9, and P300 to Regulate Canonical Wnt Signaling.	EP300
28106467	10.1080/15592294.2017.1282587	2017	Follicular lymphoma, a B cell malignancy addicted to epigenetic mutations.	EP300
28302137	10.1186/s13045-017-0438-7	2017	Mutations of CREBBP and SOCS1 are independent prognostic factors in diffuse large B cell lymphoma: mutational analysis of the SAKK 38/07 prospective clinical trial cohort.	EP300
28551630	10.21873/anticanres.11646	2017	Expression and Prognostic Significance of <i>EP300</i>, <i>TP53</i> and <i>BAX</i> in Clear Cell Renal Cell Carcinoma.	EP300
28725161	10.1186/s12935-017-0439-1	2017	EP300 single nucleotide polymorphism rs20551 correlates with prolonged overall survival in diffuse large B cell lymphoma patients treated with R-CHOP.	EP300
28831000	10.1073/pnas.1619555114	2017	Inactivation of CREBBP expands the germinal center B cell compartment, down-regulates MHCII expression and promotes DLBCL growth.	EP300
29222279	10.1182/asheducation-2017.1.358	2017	Follicular lymphoma: are we ready for a risk-adapted approach?	EP300
29340061	10.18632/oncotarget.22799	2017	Analysis of the mutational landscape of classic Hodgkin lymphoma identifies disease heterogeneity and potential therapeutic targets.	EP300
26698557	10.2217/epi.15.96	2016	Epigenetic dysregulation in follicular lymphoma.	EP300
27003102	10.3109/10428194.2016.1160083	2016	Evidence for an oncogenic modifier role for mutant histone acetyltransferases in diffuse large B-cell lymphoma.	EP300
27132507	10.1038/onc.2016.126	2016	FOXO1 is a TXN- and p300-dependent sensor and effector of oxidative stress in diffuse large B-cell lymphomas characterized by increased oxidative metabolism.	EP300
26192917	10.1038/ng.3358	2015	Exome sequencing identifies somatic mutations of DDX3X in natural killer/T-cell lymphoma.	EP300
26256760	10.1016/S1470-2045(15)00169-2	2015	Integration of gene mutations in risk prognostication for patients receiving first-line immunochemotherapy for follicular lymphoma: a retrospective analysis of a prospective clinical trial and validation in a population-based registry.	EP300
26473533	10.1038/bcj.2015.89	2015	Mutation of chromatin modifiers; an emerging hallmark of germinal center B-cell lymphomas.	EP300
24345752	10.1182/blood-2013-10-531509	2014	A targeted mutational landscape of angioimmunoblastic T-cell lymphoma.	EP300
24529102	10.1186/1476-4598-13-29	2014	Histone acetyltransferase-deficient p300 mutants in diffuse large B cell lymphoma have altered transcriptional regulatory activities and are required for optimal cell growth.	EP300
24942943	10.3960/jslrt.54.23	2014	Molecular pathogenesis of follicular lymphoma.	EP300
25088465	10.1016/j.mce.2014.07.020	2014	Reciprocal occupancy of BCL6 and STAT5 on Growth Hormone target genes: contrasting transcriptional outcomes and promoter-specific roles of p300 and HDAC3.	EP300
25364581	10.7497/j.issn.2095-3941.2014.03.006	2014	The gene expression patterns of BMPR2, EP300, TGFβ2, and TNFAIP3 in B-Lymphoma cells.	EP300
23985173	10.1186/1755-8166-6-34	2013	Characterization of a case of follicular lymphoma transformed into B-lymphoblastic leukemia.	EP300
22116549	10.1038/leu.2011.340	2012	Regulation of STAT3 by histone deacetylase-3 in diffuse large B-cell lymphoma: implications for therapy.	EP300
22287508	10.18632/oncotarget.436	2012	Histone modification defects in developmental disorders and cancer.	EP300
22585168	10.1158/2159-8290.CD-11-0208	2012	Molecular ontogeny of donor-derived follicular lymphomas occurring after hematopoietic cell transplantation.	EP300
23342264	10.1002/cam4.29	2012	MicroRNA-142 is mutated in about 20% of diffuse large B-cell lymphoma.	EP300
24371765	10.1016/j.lrr.2012.10.002	2012	Somatic mutations of the CREBBP and EP300 genes affect response to histone deacetylase inhibition in malignant DLBCL clones.	EP300
21232847	10.1016/j.canlet.2010.12.018	2011	A rearranged EP300 gene in the human B-cell lymphoma cell line RC-K8 encodes a disabled transcriptional co-activator that contributes to cell growth and oncogenicity.	EP300
21390126	10.1038/nature09730	2011	Inactivating mutations of acetyltransferase genes in B-cell lymphoma.	EP300
21796119	10.1038/nature10351	2011	Frequent mutation of histone-modifying genes in non-Hodgkin lymphoma.	EP300
19948376	10.1016/j.canlet.2009.10.018	2010	Histone acetyltransferase p300 is a coactivator for transcription factor REL and is C-terminally truncated in the human diffuse large B-cell lymphoma cell line RC-K8.	EP300
20101207	10.1038/onc.2009.498	2010	The HTLV-1 tax protein cooperates with phosphorylated CREB, TORC2 and p300 to activate CRE-dependent cyclin D1 transcription.	EP300
21041953	10.1172/JCI42869	2010	BCL6 repression of EP300 in human diffuse large B cell lymphoma cells provides a basis for rational combinatorial therapy.	EP300
18245479	10.1158/0008-5472.CAN-07-0008	2008	BCL6 represses Smad signaling in transforming growth factor-beta resistance.	EP300
19064921	10.1073/pnas.0810965105	2008	Tcl1 functions as a transcriptional regulator and is directly involved in the pathogenesis of CLL.	EP300
16638200	NA	2006	[Regulatory effect of curcumin on p300 and HDAC1 in B-NHL cells].	EP300
15943569	10.1089/aid.2005.21.273	2005	Human T lymphotropic virus type 1 accessory protein p12I modulates calcium-mediated cellular gene expression and enhances p300 expression in T lymphocytes.	EP300
14668346	10.1074/jbc.M309485200	2004	Kaposi's sarcoma-associated herpesvirus-encoded vIRF-3 stimulates the transcriptional activity of cellular IRF-3 and IRF-7.	EP300
14635047	10.1002/eji.200324061	2003	p300 cooperates with Smad3/4 and Runx3 in TGFbeta1-induced IgA isotype expression.	EP300
12402037	10.1038/ng1018	2002	Acetylation inactivates the transcriptional repressor BCL6.	EP300
