pmid	doi	year	title	Hugo_Symbol
35675522	10.1182/bloodadvances.2022007725	2022	ETS1 is a novel transcriptional regulator of adult T-cell leukemia/lymphoma of North American descent.	ETS1
33479306	10.1038/s41598-020-80376-0	2021	Proposal and validation of a method to classify genetic subtypes of diffuse large B cell lymphoma.	ETS1
33512466	10.1182/blood.2020010175	2021	OBF1 and Oct factors control the germinal center transcriptional program.	ETS1
33537078	10.7150/thno.52677	2021	Conditioned medium from adipose-derived stem cells attenuates ischemia/reperfusion-induced cardiac injury through the microRNA-221/222/PUMA/ETS-1 pathway.	ETS1
34763718	10.1186/s13046-021-02159-3	2021	ASB2 is a direct target of FLI1 that sustains NF-κB pathway activation in germinal center-derived diffuse large B-cell lymphoma.	ETS1
32679859	10.3390/cancers12071912	2020	Role of ETS1 in the Transcriptional Network of Diffuse Large B Cell Lymphoma of the Activated B Cell-Like Type.	ETS1
30733272	10.3324/haematol.2018.207928	2019	Burkitt-like lymphoma with 11q aberration: a germinal center-derived lymphoma genetically unrelated to Burkitt lymphoma.	ETS1
30940846	10.1038/s41598-019-41805-x	2019	Insertional mutagenesis using the Sleeping Beauty transposon system identifies drivers of erythroleukemia in mice.	ETS1
31181104	10.1371/journal.pone.0217542	2019	A transcriptional signature associated with non-Hodgkin lymphoma in the blood of patients with Q fever.	ETS1
28264017	10.1371/journal.pone.0173298	2017	NCOA1 is a novel susceptibility gene for multiple myeloma in the Chinese population: A case-control study.	ETS1
25363344	10.3109/10428194.2014.981670	2015	The transcription factor ETS1 in lymphomas: friend or foe?	ETS1
25791160	10.5301/jbm.5000134	2015	Identification of biomarkers for the prognosis of pancreatic ductal adenocarcinoma with miRNA microarray data.	ETS1
24398325	10.1182/blood-2013-06-507996	2014	A recurrent 11q aberration pattern characterizes a subset of MYC-negative high-grade B-cell lymphomas resembling Burkitt lymphoma.	ETS1
24491024	10.3109/10428194.2014.889824	2014	Long-term effect of curcumin down-regulates expression of tumor necrosis factor-α and interleukin-6 via modulation of E26 transformation-specific protein and nuclear factor-κB transcription factors in livers of lymphoma bearing mice.	ETS1
25210949	10.1111/jcmm.12399	2014	HMGB1 mediates hyperglycaemia-induced cardiomyocyte apoptosis via ERK/Ets-1 signalling pathway.	ETS1
25279986	10.1016/j.ajhg.2014.09.004	2014	Genome-wide association study identifies five susceptibility loci for follicular lymphoma outside the HLA region.	ETS1
22890838	10.1002/ijc.27774	2013	High-resolution genomic profiling reveals clonal evolution and competition in gastrointestinal marginal zone B-cell lymphoma and its large cell variant.	ETS1
23926301	10.1182/blood-2013-01-475772	2013	Deregulation of ETS1 and FLI1 contributes to the pathogenesis of diffuse large B-cell lymphoma.	ETS1
22150124	10.1111/j.1365-2141.2011.08962.x	2012	Behind the scenes of non-nodal MCL: downmodulation of genes involved in actin cytoskeleton organization, cell projection, cell adhesion, tumour invasion, TP53 pathway and mutated status of immunoglobulin heavy chain genes.	ETS1
22211287	10.1111/j.1365-2559.2011.04086.x	2012	Intramucosal variant of nasal natural killer (NK)/T cell lymphoma has a better survival than does invasive variant: implication on loss of E26 transformation-specific sequence 1 (ETS-1) and T-box expressed in T cells (T-bet) with invasion.	ETS1
21329961	10.1016/j.humpath.2009.11.022	2011	Transcription factors engaged in development of NK cells are commonly expressed in nasal NK/T-cell lymphomas.	ETS1
20511667	10.3324/haematol.2009.021428	2010	Disturbed expression of the T-cell receptor/CD3 complex and associated signaling molecules in CD30+ T-cell lymphoproliferations.	ETS1
17397260	10.1371/journal.ppat.0030044	2007	Systematic identification of cellular signals reactivating Kaposi sarcoma-associated herpesvirus.	ETS1
15889157	10.1038/sj.leu.2403787	2005	Transcriptional regulation of parathyroid hormone-related protein promoter P3 by ETS-1 in adult T-cell leukemia/lymphoma.	ETS1
14557674	10.1159/000072964	2004	Regulation of the human leukemia inhibitory factor gene by ETS transcription factors.	ETS1
8139017	10.1128/JVI.68.4.2320-2330.1994	1994	Effects of provirus integration in the Tpl-1/Ets-1 locus in Moloney murine leukemia virus-induced rat T-cell lymphomas: levels of expression, polyadenylation, transcriptional initiation, and differential splicing of the Ets-1 mRNA.	ETS1
8350410	10.1128/JVI.67.9.5522-5528.1993	1993	Activation of the human T-cell leukemia virus type I enhancer is mediated by binding sites for Elf-1 and the pets factor.	ETS1
1742746	NA	1991	Rearrangements on chromosome 11q23 in hematopoietic tumor-associated t(11;14) and t(11;19) translocations.	ETS1
2013228	10.1159/000133062	1991	Relationship of the human protooncogene CBL2 on 11q23 to the t(4;11), t(11;22), and t(11;14) breakpoints.	ETS1
