pmid	doi	year	title	Hugo_Symbol
34448823	10.1182/bloodadvances.2021004212	2022	The molecular hallmarks of primary and secondary vitreoretinal lymphoma.	ETV6
34591292	10.1007/s12185-021-03229-0	2022	Successful treatment of hepatosplenic T-cell lymphoma with fludarabine, high-dose cytarabine and subsequent unrelated umbilical cord blood transplantation.	ETV6
34624096	10.1182/blood.2020010405	2022	ETV6-NCOA2 fusion induces T/myeloid mixed-phenotype leukemia through transformation of nonthymic hematopoietic progenitor cells.	ETV6
34871373	10.1182/blood.2021012727	2022	Impact of high-risk cytogenetics on outcomes for children and young adults receiving CD19-directed CAR T-cell therapy.	ETV6
35053500	10.3390/cancers14020338	2022	High ETV6 Levels Support Aggressive B Lymphoma Cell Survival and Predict Poor Outcome in Diffuse Large B-Cell Lymphoma Patients.	ETV6
35106936	10.1002/cam4.4550	2022	SGK1 mutation status can further stratify patients with germinal center B-cell-like diffuse large B-cell lymphoma into different prognostic subgroups.	ETV6
35300216	10.2147/JIR.S341355	2022	The Mutation of <i>BTG2</i> Gene Predicts a Poor Outcome in Primary Testicular Diffuse Large B-Cell Lymphoma.	ETV6
35646048	10.3389/fgene.2022.878618	2022	Whole-Genome/Exome Sequencing Uncovers Mutations and Copy Number Variations in Primary Diffuse Large B-Cell Lymphoma of the Central Nervous System.	ETV6
35865523	10.3389/fimmu.2022.868053	2022	Savior Siblings Might Rescue Fetal Lethality But Not Adult Lymphoma in Irf2bp2-Null Mice.	ETV6
35928872	10.3389/fonc.2022.932674	2022	Cell-Free DNA Sequencing of Intraocular Fluid as Liquid Biopsy in the Diagnosis of Vitreoretinal Lymphoma.	ETV6
33747936	10.3389/fonc.2021.622648	2021	Genomic Mutation Profile of Primary Gastrointestinal Diffuse Large B-Cell Lymphoma.	ETV6
33777778	10.3389/fonc.2021.628807	2021	Mutational Profile and Clonal Evolution of Relapsed/Refractory Diffuse Large B-Cell Lymphoma.	ETV6
33990705	10.1038/s41379-021-00817-7	2021	Myeloid/lymphoid neoplasms with FLT3 rearrangement.	ETV6
34072771	10.3390/ijms22115902	2021	NKL Homeobox Gene VENTX Is Part of a Regulatory Network in Human Conventional Dendritic Cells.	ETV6
34297047	10.1182/bloodadvances.2021004334	2021	Genomic and clinical characterization of early T-cell precursor lymphoblastic lymphoma.	ETV6
34570179	10.1182/bloodadvances.2021004668	2021	Mutational patterns and their correlation to CHIP-related mutations and age in hematological malignancies.	ETV6
32201861	10.1093/noajnl/vdaa018	2020	Primary CNS lymphoma commonly expresses immune response biomarkers.	ETV6
33166908	10.1016/j.leukres.2020.106460	2020	Myeloid/lymphoid neoplasms with eosinophilia and FLT3 rearrangement.	ETV6
30940639	10.1182/bloodadvances.2018030635	2019	Germline deletion of <i>ETV6</i> in familial acute lymphoblastic leukemia.	ETV6
31035338	10.3390/ijms20092089	2019	Marek's Disease Virus Regulates the Ubiquitylome of Chicken CD4<sup>+</sup> T Cells to Promote Tumorigenesis.	ETV6
31648321	10.1182/bloodadvances.2019000404	2019	Transcriptome analysis offers a comprehensive illustration of the genetic background of pediatric acute myeloid leukemia.	ETV6
29432597	10.1093/neuonc/noy019	2018	Identification of novel recurrent ETV6-IgH fusions in primary central nervous system lymphoma.	ETV6
29891112	10.1016/j.critrevonc.2018.05.010	2018	Molecular analysis in liquid biopsies for diagnostics of primary central nervous system lymphoma: Review of literature and future opportunities.	ETV6
29992138	10.1155/2018/3574534	2018	Identification of Hub Genes and Key Pathways Associated with Two Subtypes of Diffuse Large B-Cell Lymphoma Based on Gene Expression Profiling via Integrated Bioinformatics.	ETV6
28256570	10.1038/modpathol.2017.12	2017	Recurrent BCOR internal tandem duplication and BCOR or BCL6 expression distinguish primitive myxoid mesenchymal tumor of infancy from congenital infantile fibrosarcoma.	ETV6
28487787	10.1155/2017/5083463	2017	EBV-Negative Monomorphic B-Cell Posttransplant Lymphoproliferative Disorder with Marked Morphologic Pleomorphism and Pathogenic Mutations in <i>ASXL1</i>, <i>BCOR</i>, <i>CDKN2A</i>, <i>NF1</i>, and <i>TP53</i>.	ETV6
28624474	10.1016/j.tiv.2017.06.013	2017	Exposure to the insecticides permethrin and malathion induces leukemia and lymphoma-associated gene aberrations in vitro.	ETV6
26919255	10.18632/oncotarget.7687	2016	Cooperation of ETV6/RUNX1 and BCL2 enhances immunoglobulin production and accelerates glomerulonephritis in transgenic mice.	ETV6
27161658	10.1016/j.jmoldx.2016.03.004	2016	Genome-Wide Single-Nucleotide Polymorphism Array Analysis Improves Prognostication of Acute Lymphoblastic Leukemia/Lymphoma.	ETV6
27431763	10.7554/eLife.13087	2016	Transcription-coupled genetic instability marks acute lymphoblastic leukemia structural variation hotspots.	ETV6
27900092	10.3892/mco.2016.1008	2016	Primary orbital precursor T-cell lymphoblastic lymphoma: Report of a unique case.	ETV6
24345752	10.1182/blood-2013-10-531509	2014	A targeted mutational landscape of angioimmunoblastic T-cell lymphoma.	ETV6
24394348	10.4161/epi.27585	2014	Epigenetic deregulation in pediatric acute lymphoblastic leukemia.	ETV6
24970810	10.18632/oncotarget.2080	2014	Mutational analysis of primary central nervous system lymphoma.	ETV6
23276184	10.5858/arpa.2011-0429-CR	2013	Burkitt lymphoma arising from lymphoplasmacytic lymphoma following acquisition of MYC translocation and loss of the ETV6 tumor suppressor gene.	ETV6
23382691	10.1371/journal.pgen.1003225	2013	Loci associated with N-glycosylation of human immunoglobulin G show pleiotropy with autoimmune diseases and haematological cancers.	ETV6
23710385	10.1155/2013/652745	2013	Clonal Hypereosinophilia with ETV6 Rearrangement Evolving to T-Cell Lymphoblastic Lymphoma: A Case Report and Review of the Literature.	ETV6
22450142	10.1556/OH.2012.29334	2012	[Leukemia- and lymphoma-associated flow cytometric, cytogenetic, and molecular genetic aberrations in healthy individuals].	ETV6
21705501	10.1182/blood-2011-03-343426	2011	Response of ETV6-FLT3-positive myeloid/lymphoid neoplasm with eosinophilia to inhibitors of FMS-like tyrosine kinase 3.	ETV6
20042721	10.1182/blood-2009-09-235986	2010	Immunoglobulin heavy chain locus chromosomal translocations in B-cell precursor acute lymphoblastic leukemia: rare clinical curios or potent genetic drivers?	ETV6
20409752	10.1016/S1470-2045(10)70066-8	2010	Prognostic effect of chromosomal abnormalities in childhood B-cell precursor acute lymphoblastic leukaemia: results from the UK Medical Research Council ALL97/99 randomised trial.	ETV6
18992913	10.1016/j.humpath.2008.08.012	2009	Diffuse large B-cell lymphoma with TEL/ETV6 translocation.	ETV6
19147089	10.1016/j.bbmt.2008.10.010	2009	Oncogenic signals as treatment targets in classic myeloproliferative neoplasms.	ETV6
19175693	10.1111/j.1582-4934.2008.00559.x	2009	Molecular drug targets in myeloproliferative neoplasms: mutant ABL1, JAK2, MPL, KIT, PDGFRA, PDGFRB and FGFR1.	ETV6
18767247	10.4238/vol7-3gmr486	2008	Leukemia/lymphoma-associated gene fusions in normal individuals.	ETV6
17976519	10.1016/j.exphem.2007.08.025	2007	Numerical gain and structural rearrangements of JAK2, identified by FISH, characterize both JAK2617V&gt;F-positive and -negative patients with Ph-negative MPD, myelodysplasia, and B-lymphoid neoplasms.	ETV6
11731410	NA	2001	Fusion of ETV6 to fibroblast growth factor receptor 3 in peripheral T-cell lymphoma with a t(4;12)(p16;p13) chromosomal translocation.	ETV6
