pmid	doi	year	title	Hugo_Symbol
33327711	10.3324/haematol.2020.263194	2022	Baseline SUVmax is related to tumor cell proliferation and patient outcome in follicular lymphoma.	FOXO1
34265801	10.1097/PAS.0000000000001780	2022	Plasticity of Mature B Cells Between Follicular and Classic Hodgkin Lymphomas: A Series of 22 Cases Expanding the Spectrum of Transdifferentiation.	FOXO1
34617271	10.1111/bjh.17874	2022	Epstein-Barr virus status of sporadic Burkitt lymphoma is associated with patient age and mutational features.	FOXO1
34894199	10.1002/mnfr.202100564	2022	Green Alga Enteromorpha prolifera Oligosaccharide Ameliorates Ageing and Hyperglycemia through Gut-Brain Axis in Age-Matched Diabetic Mice.	FOXO1
35045798	10.1080/10428194.2021.2024821	2022	High grade B-cell lymphoma with <i>MYC</i>, <i>BCL2</i> and/or <i>BCL6</i> rearrangements: unraveling the genetic landscape of a rare aggressive subtype of non-Hodgkin lymphoma.	FOXO1
35079069	10.1038/s41598-022-05334-4	2022	FOXO1 forkhead domain mutants in B-cell lymphoma lack transcriptional activity.	FOXO1
35176466	10.1016/j.jep.2022.115095	2022	Cinobufagin induces FOXO1-regulated apoptosis, proliferation, migration, and invasion by inhibiting G9a in non-small-cell lung cancer A549 cells.	FOXO1
35511481	10.1080/09553002.2022.2074164	2022	<i>BAG1, MGMT, FOXO1</i>, and <i>DNAJA1</i> as potential drug targets for radiosensitizing cancer cell lines.	FOXO1
35578798	10.1002/jcp.30777	2022	Neddylation inactivation affects cell cycle and apoptosis in sheep follicular granulosa cells.	FOXO1
35774848	10.1155/2022/3276925	2022	Identification of CXCR4 Upregulation in Diffuse Large B-Cell Lymphoma Associated with Prognostic Significance and Clinicopathological Characteristics.	FOXO1
35895105	10.1021/acs.biochem.2c00224	2022	Oncogenic Mutations in the DNA-Binding Domain of FOXO1 that Disrupt Folding: Quantitative Insights from Experiments and Molecular Simulations.	FOXO1
35910796	10.7150/thno.72786	2022	Inhibition of acylglycerol kinase sensitizes DLBCL to venetoclax via upregulation of FOXO1-mediated BCL-2 expression.	FOXO1
33152216	10.5713/ajas.20.0444	2021	Role of stearyl-coenzyme A desaturase 1 in mediating the effects of palmitic acid on endoplasmic reticulum stress, inflammation, and apoptosis in goose primary hepatocytes.	FOXO1
