pmid	doi	year	title	Hugo_Symbol
34617271	10.1111/bjh.17874	2022	Epstein-Barr virus status of sporadic Burkitt lymphoma is associated with patient age and mutational features.	GNA13
35075971	10.1080/10428194.2021.2010060	2022	Circulating tumor DNA in primary mediastinal large B-cell lymphoma versus classical Hodgkin lymphoma: a retrospective study.	GNA13
35611992	10.1002/gcc.23069	2022	Primary mediastinal large B-cell lymphoma is characterized by large-scale copy-neutral loss of heterozygosity.	GNA13
35885481	10.3390/diagnostics12071575	2022	Cell-Free DNA for Genomic Analysis in Primary Mediastinal Large B-Cell Lymphoma.	GNA13
32079702	10.3324/haematol.2019.237719	2021	Targeted genotyping of circulating tumor DNA for classical Hodgkin lymphoma monitoring: a prospective study.	GNA13
32961552	10.1182/blood.2020007507	2021	Mutational landscape of gray zone lymphoma.	GNA13
33423045	10.1038/s41419-020-03311-1	2021	GNA13 regulates BCL2 expression and the sensitivity of GCB-DLBCL cells to BCL2 inhibitors in a palmitoylation-dependent manner.	GNA13
33945543	10.1371/journal.pone.0248886	2021	Detection of new drivers of frequent B-cell lymphoid neoplasms using an integrated analysis of whole genomes.	GNA13
34312841	10.1111/bjh.17719	2021	Liquid biopsy: a non-invasive approach for Hodgkin lymphoma genotyping.	GNA13
34405005	10.7150/jca.60390	2021	Serial surveillance by circulating tumor DNA profiling after chimeric antigen receptor T therapy for the guidance of r/r diffuse large B cell lymphoma precise treatment.	GNA13
34925435	10.3389/fgene.2021.677650	2021	Genetic Landscape of Relapsed and Refractory Diffuse Large B-Cell Lymphoma: A Systemic Review and Association Analysis With Next-Generation Sequencing.	GNA13
35116576	10.21037/tcr-20-2525	2021	Identification of key mutations in central nervous diffuse large B-cell lymphoma (DLBCL) by comprehensive analysis between sequencing and TCGA database.	GNA13
32363958	10.1177/0300060520918087	2020	CD56-positive diffuse large B-cell lymphoma/leukemia with <i>BCL6/MYC</i> double-hit and multiple gene mutations: an indicator of poor prognosis?	GNA13
30567752	10.1182/blood-2018-07-864025	2019	The mutational landscape of Burkitt-like lymphoma with 11q aberration is distinct from that of Burkitt lymphoma.	GNA13
30733272	10.3324/haematol.2018.207928	2019	Burkitt-like lymphoma with 11q aberration: a germinal center-derived lymphoma genetically unrelated to Burkitt lymphoma.	GNA13
30802265	10.1371/journal.pone.0212813	2019	Unraveling transformation of follicular lymphoma to diffuse large B-cell lymphoma.	GNA13
31324389	10.1016/j.prp.2019.152528	2019	Quantitative proteomics analysis of differentially expressed proteins in activated B-cell-like diffuse large B-cell lymphoma using quantitative proteomics.	GNA13
31816062	10.1182/bloodadvances.2019001012	2019	Genomic analyses of flow-sorted Hodgkin Reed-Sternberg cells reveal complementary mechanisms of immune evasion.	GNA13
29650799	10.1182/blood-2017-11-814913	2018	Pervasive mutations of JAK-STAT pathway genes in classical Hodgkin lymphoma.	GNA13
30024968	10.1371/journal.ppat.1007111	2018	Hepatitis C virus enters liver cells using the CD81 receptor complex proteins calpain-5 and CBLB.	GNA13
30227305	10.1016/j.neo.2018.08.012	2018	Analysis of Genomic Alteration in Primary Central Nervous System Lymphoma and the Expression of Some Related Genes.	GNA13
30307409	10.1097/PAS.0000000000000969	2018	Analysis of GNA13 Protein in Follicular Lymphoma and its Association With Poor Prognosis.	GNA13
28302137	10.1186/s13045-017-0438-7	2017	Mutations of CREBBP and SOCS1 are independent prognostic factors in diffuse large B cell lymphoma: mutational analysis of the SAKK 38/07 prospective clinical trial cohort.	GNA13
26567765	10.1111/bjh.13849	2016	The presence of genomic imbalances is associated with poor outcome in patients with burkitt lymphoma treated with dose-intensive chemotherapy including rituximab.	GNA13
26603838	10.1182/blood-2015-07-658781	2016	Active IKKβ promotes the stability of GLI1 oncogene in diffuse large B-cell lymphoma.	GNA13
26608593	10.1002/gcc.22328	2016	Whole exome sequencing of relapsed/refractory patients expands the repertoire of somatic mutations in diffuse large B-cell lymphoma.	GNA13
26616858	10.1038/onc.2015.442	2016	Inactivating mutations in GNA13 and RHOA in Burkitt's lymphoma and diffuse large B-cell lymphoma: a tumor suppressor function for the Gα13/RhoA axis in B cells.	GNA13
26773040	10.1182/blood-2015-09-672352	2016	Diffuse large B-cell lymphoma patient-derived xenograft models capture the molecular and biological heterogeneity of the disease.	GNA13
26819451	10.1158/1078-0432.CCR-15-2305	2016	Next-Generation Sequencing in Diffuse Large B-Cell Lymphoma Highlights Molecular Divergence and Therapeutic Opportunities: a LYSA Study.	GNA13
26989201	10.1182/blood-2015-07-659938	2016	GNA13 loss in germinal center B cells leads to impaired apoptosis and promotes lymphoma in vivo.	GNA13
27959929	10.1371/journal.pmed.1002197	2016	Histological Transformation and Progression in Follicular Lymphoma: A Clonal Evolution Study.	GNA13
27980305	10.3960/jslrt.56.71	2016	Molecular Pathogenesis of Diffuse Large B-Cell Lymphoma.	GNA13
25991819	10.1158/1078-0432.CCR-14-2116	2015	Genome-Wide Analysis Uncovers Novel Recurrent Alterations in Primary Central Nervous System Lymphomas.	GNA13
24867287	10.1097/MOH.0000000000000059	2014	New clues to the molecular pathogenesis of Burkitt lymphoma revealed through next-generation sequencing.	GNA13
