pmid	doi	year	title	Hugo_Symbol
35977101	10.1182/blood.2022016056	2022	Discovery of novel predisposing coding and noncoding variants in familial Hodgkin lymphoma.	KDR
32997825	10.1111/ejh.13526	2021	VEGFR2 and VEGFA polymorphisms are not associated with an inferior prognosis in Caucasian patients with aggressive B-cell lymphoma.	KDR
34219681	10.3233/TUB-211510	2021	Angiogenesis' related genetic variants alter clinical features and prognosis of diffuse large B-cell lymphoma patients.	KDR
32158186	10.2147/DDDT.S227477	2020	Apatinib in Patients with Relapsed or Refractory Diffuse Large B Cell Lymphoma: A Phase II, Open-Label, Single-Arm, Prospective Study.	KDR
32565964	10.3892/ol.2020.11552	2020	Comprehensive characterization of driver genes in diffuse large B cell lymphoma.	KDR
30423319	10.1016/j.ejphar.2018.11.012	2019	Apatinib exerts anti-tumor activity to non-Hodgkin lymphoma by inhibition of the Ras pathway.	KDR
31126146	10.3390/cells8050498	2019	c-Cbl: An Important Regulator and a Target in Angiogenesis and Tumorigenesis.	KDR
29854308	10.18632/oncotarget.25209	2018	Comparative oncology DNA sequencing of canine T cell lymphoma via human hotspot panel.	KDR
29864401	10.1016/j.yexcr.2018.05.038	2018	CS2164 exerts an antitumor effect against human Non-Hodgkin's lymphomas in vitro and in vivo.	KDR
30144594	10.1016/j.wneu.2018.08.080	2018	Aspirin Affects Tumor Angiogenesis and Sensitizes Human Glioblastoma Endothelial Cells to Temozolomide, Bevacizumab, and Sunitinib, Impairing Vascular Endothelial Growth Factor-Related Signaling.	KDR
27774879	10.2174/1570163813666161019143740	2017	Strong Anti-tumorous Potential of Nardostachys jatamansi Rhizome Extract on Glioblastoma and In Silico Analysis of its Molecular Drug Targets.	KDR
26879230	10.1161/CIRCRESAHA.115.307679	2016	Selective Targeting of a Novel Epsin-VEGFR2 Interaction Promotes VEGF-Mediated Angiogenesis.	KDR
26970956	10.1186/s40792-016-0152-7	2016	Dynamic computed tomography findings of an accessory spleen in the pelvis: a case report.	KDR
27365461	10.3324/haematol.2015.135475	2016	Whole exome sequencing in families at high risk for Hodgkin lymphoma: identification of a predisposing mutation in the KDR gene.	KDR
27806094	10.1371/journal.pone.0165876	2016	EGF-Induced VEGF Exerts a PI3K-Dependent Positive Feedback on ERK and AKT through VEGFR2 in Hematological In Vitro Models.	KDR
25689789	10.1016/j.bbmt.2014.12.027	2015	Content of endothelial progenitor cells in autologous stem cell grafts predict survival after transplantation for multiple myeloma.	KDR
23772669	10.3109/10428194.2013.813629	2014	Prognostic significance of immunohistochemical expression of the angiogenic molecules vascular endothelial growth factor-A, vascular endothelial growth factor receptor-1 and vascular endothelial growth factor receptor-2 in patients with classical Hodgkin lymphoma.	KDR
25289059	10.3892/etm.2014.1930	2014	Effect of a heat shock protein 90-specific inhibitor on the proliferation and apoptosis induced by VEGF-C in cervical cancer cells.	KDR
23624620	10.2340/00015555-1589	2013	Microvessel density and expression of vascular endothelial growth factor and its receptors in different subtypes of primary cutaneous B-cell lymphoma.	KDR
22129133	10.1111/j.1349-7006.2011.02168.x	2012	VEGFA and VEGFR2 genetic polymorphisms and survival in patients with diffuse large B cell lymphoma.	KDR
