pmid	doi	year	title	Hugo_Symbol
35393909	10.1080/09513590.2022.2061454	2022	Effects of clinical and metabolic variables and hormones on the expression of immune protein biomarkers in the endometrium of women with polycystic ovary syndrome and normal-cycling controls.	MKI67
35583604	10.1158/1078-0432.CCR-21-3347	2022	Interactome of Aiolos/Ikaros Reveals Combination Rationale of Cereblon Modulators with HDAC Inhibitors in DLBCL.	MKI67
33136585	10.1097/PAS.0000000000001609	2021	Biomarkers for Risk Stratification in Patients With Previously Untreated Follicular Lymphoma Receiving Anti-CD20-based Biological Therapy.	MKI67
33404293	10.1080/15548627.2020.1871204	2021	BNIP3L-mediated mitophagy is required for mitochondrial remodeling during the differentiation of optic nerve oligodendrocytes.	MKI67
33941102	10.1186/s12885-021-08142-7	2021	Normal and cancer fibroblasts differentially regulate TWIST1, TOX and cytokine gene expression in cutaneous T-cell lymphoma.	MKI67
32843697	10.1038/s41598-020-71058-y	2020	Activation-induced cytidine deaminase overexpression in double-hit lymphoma: potential target for novel anticancer therapy.	MKI67
31219818	10.1097/PAS.0000000000001312	2019	Mantle Cell Lymphoma Involving Skin: A Clinicopathologic Study of 37 Cases.	MKI67
29785709	10.1111/bjh.15411	2018	Four-year follow-up of a single arm, phase II clinical trial of ibrutinib with rituximab (IR) in patients with relapsed/refractory mantle cell lymphoma (MCL).	MKI67
27959929	10.1371/journal.pmed.1002197	2016	Histological Transformation and Progression in Follicular Lymphoma: A Clonal Evolution Study.	MKI67
25381338	10.1158/1078-0432.CCR-14-1913	2015	Development of circulating tumor cell-endocrine therapy index in patients with hormone receptor-positive breast cancer.	MKI67
25648135	10.1007/s10549-015-3288-4	2015	Bcl2 and Ki67 refine prognostication in luminal breast cancers.	MKI67
26546525	NA	2015	Suppression of BCL2 by Antisense Oligonucleotides and Compensation by Non-Targeted Genes May Enhance Tumor Proliferation.	MKI67
21738398	NA	2011	Expression of cell proliferation and apoptosis biomarkers in pterygia and normal conjunctiva.	MKI67
20181625	NA	2010	Molecular profiling using tissue microarrays as a tool to identify predictive biomarkers in laryngeal cancer treated with radiotherapy.	MKI67
17296585	10.3324/haematol.10682	2007	MUM1 expression dichotomises follicular lymphoma into predominantly, MUM1-negative low-grade and MUM1-positive high-grade subtypes.	MKI67
