pmid	doi	year	title	Hugo_Symbol
34162179	10.3324/haematol.2021.278743	2022	Response and resistance to CDK12 inhibition in aggressive B-cell lymphomas.	MTOR
34624079	10.1182/blood.2021012081	2022	SHMT2 inhibition disrupts the TCF3 transcriptional survival program in Burkitt lymphoma.	MTOR
34714908	10.1182/bloodadvances.2021005486	2022	Integrative genomic and transcriptomic analysis in plasmablastic lymphoma identifies disruption of key regulatory pathways.	MTOR
34791836	10.1002/cam4.4422	2022	Identification of a genetic signature enriching for response to ibrutinib in relapsed/refractory follicular lymphoma in the DAWN phase 2 trial.	MTOR
35031886	10.1186/s43556-021-00066-9	2022	Combinatorial inhibition of BTK, PI3K-AKT and BRD4-MYC as a strategy for treatment of mantle cell lymphoma.	MTOR
35035775	10.18632/oncotarget.28177	2022	GZ17-6.02 and palbociclib interact to kill ER+ breast cancer cells.	MTOR
35058488	10.1038/s41598-022-04916-6	2022	Inhibition of MCL1 induces apoptosis in anaplastic large cell lymphoma and in primary effusion lymphoma.	MTOR
35068379	10.1080/16078454.2021.2019363	2022	Application of new targeted drugs in relapsed/refractory primary central nervous system lymphoma.	MTOR
35091546	10.1038/s41420-022-00833-9	2022	Pharmacological targeting PIKfyve and tubulin as an effective treatment strategy for double-hit lymphoma.	MTOR
35257981	10.1016/j.drup.2022.100822	2022	Targeting metabolism to overcome cancer drug resistance: A promising therapeutic strategy for diffuse large B cell lymphoma.	MTOR
35381283	10.1016/j.ijbiomac.2022.03.212	2022	Molecular characterization, expression and anti-tumor function analysis of yak IFITM2 gene.	MTOR
35558005	10.1177/17588359221093745	2022	Novel insights into the biomarkers and therapies for primary central nervous system lymphoma.	MTOR
35640776	10.1016/j.lfs.2022.120675	2022	Selenium nanoparticles overcomes sorafenib resistance in thioacetamide induced hepatocellular carcinoma in rats by modulation of mTOR, NF-κB pathways and LncRNA-AF085935/GPC3 axis.	MTOR
35774848	10.1155/2022/3276925	2022	Identification of CXCR4 Upregulation in Diffuse Large B-Cell Lymphoma Associated with Prognostic Significance and Clinicopathological Characteristics.	MTOR
35857791	10.1080/15548627.2022.2100105	2022	Lack of COL6/collagen VI causes megakaryocyte dysfunction by impairing autophagy and inducing apoptosis.	MTOR
35908982	10.1016/j.blre.2022.100992	2022	Follicular lymphoma: The long and winding road leading to your cure?	MTOR
32749680	10.1002/jcp.29943	2021	Light-emitting diode irradiation induces AKT/mTOR-mediated apoptosis in human pancreatic cancer cells and xenograft mouse model.	MTOR
32970929	10.1111/ajco.13449	2021	Role and mechanism of autophagy-regulating factors in tumorigenesis and drug resistance.	MTOR
33393503	10.1172/JCI133090	2021	BCL6 confers KRAS-mutant non-small-cell lung cancer resistance to BET inhibitors.	MTOR
33567641	10.3390/cancers13040682	2021	Genomic Landscape of Hodgkin Lymphoma.	MTOR
33812443	10.19746/j.cnki.issn.1009-2137.2021.02.052	2021	[New Advances in the Treatment of Primary Central Nervous System Lymphoma--Review].	MTOR
34139193	10.1016/j.ajpath.2021.06.004	2021	Rictor/Mammalian Target of Rapamycin Complex 2 Signaling Protects Colonocytes from Apoptosis and Prevents Epithelial Barrier Breakdown.	MTOR
34159086	10.21037/tau-21-280	2021	The protective effects of exogenous spermine on renal ischemia-reperfusion injury in rats.	MTOR
34219464	10.1139/bcb-2021-0045	2021	Isovitexin attenuates tumor growth in human colon cancer cells through the modulation of apoptosis and epithelial-mesenchymal transition via PI3K/Akt/mTOR signaling pathway.	MTOR
