pmid	doi	year	title	Hugo_Symbol
33297669	10.3324/haematol.2020.267294	2022	Phenogenomic heterogeneity of post-transplant plasmablastic lymphomas.	MYC
33779481	10.1080/01676830.2021.1904426	2022	Double-hit and triple-hit high-grade B-cell lymphoma of the ocular adnexa.	MYC
34162179	10.3324/haematol.2021.278743	2022	Response and resistance to CDK12 inhibition in aggressive B-cell lymphomas.	MYC
34289655	10.3324/haematol.2021.278638	2022	Dose-adjusted EPOCH and rituximab for the treatment of double expressor and double-hit diffuse large B-cell lymphoma: impact of TP53 mutations on clinical outcome.	MYC
34304248	10.1038/s41375-021-01347-6	2022	Dual targeting of the DNA damage response pathway and BCL-2 in diffuse large B-cell lymphoma.	MYC
34392269	10.1097/PAS.0000000000001750	2022	Mutational Landscape of TdT+ Large B-cell Lymphomas Supports Their Distinction From B-lymphoblastic Neoplasms: A Multiparameter Study of a Rare and Aggressive Entity.	MYC
34456240	10.1097/PAI.0000000000000967	2022	Screening Strategy for Detecting Double-Hit Lymphoma in a Resource-Limited Setting.	MYC
34472720	10.1002/cnr2.1545	2022	Genetic features of precursor B-cell phenotype Burkitt leukemia with IGH-MYC rearrangement.	MYC
34510996	10.1080/10428194.2021.1975189	2022	<i>BCL2</i> translocation in high grade B cell lymphoma (NOS, DH/TH) is associated with reduced progression free survival.	MYC
34519021	10.1111/bjh.17815	2022	Clinico-biological features and outcome of patients with splenic marginal zone lymphoma with histological transformation.	MYC
34608246	10.1038/s41379-021-00909-4	2022	Blastoid high-grade B-cell lymphoma initially presenting in bone marrow: a diagnostic challenge.	MYC
34617271	10.1111/bjh.17874	2022	Epstein-Barr virus status of sporadic Burkitt lymphoma is associated with patient age and mutational features.	MYC
34632715	10.1002/1878-0261.13115	2022	Targeting mitochondrial respiration and the BCL2 family in high-grade MYC-associated B-cell lymphoma.	MYC
34637146	10.1111/his.14585	2022	EBV<sup>+</sup> high-grade B cell lymphoma with MYC and BCL2 and/or BCL6 rearrangements: a multi-institutional study.	MYC
34654055	10.1182/bloodadvances.2021006034	2022	Diffuse large B-cell lymphomas in adults with aberrant coexpression of CD10, BCL6, and MUM1 are enriched in IRF4 rearrangements.	MYC
34714908	10.1182/bloodadvances.2021005486	2022	Integrative genomic and transcriptomic analysis in plasmablastic lymphoma identifies disruption of key regulatory pathways.	MYC
34727403	10.1111/pin.13182	2022	AID is a poor prognostic marker of high-grade B-cell lymphoma with MYC and BCL2 and/or BCL6 rearrangements.	MYC
34727830	10.1080/10428194.2021.1998480	2022	Fish evaluation of additional cytogenetic aberrations and hyperdiploidy in childhood Burkitt lymphoma.	MYC
34739417	10.1097/PAS.0000000000001830	2022	Significance of Single-cell Level Dual Expression of BCL2 and MYC Determined With Multiplex Immunohistochemistry in Diffuse Large B-Cell Lymphoma.	MYC
34764434	10.1038/s41379-021-00962-z	2022	BCL2 super-expressor diffuse large B-cell lymphoma: a distinct subgroup associated with poor prognosis.	MYC
34788985	10.3324/haematol.2021.279631	2022	Mutational landscape of high-grade B-cell lymphoma with <i>MYC-</i>, <i>BCL2</i> and/or <i>BCL6</i> rearrangements characterized by whole-exome sequencing.	MYC
34842019	10.1080/10428194.2021.2008383	2022	Fitting double-hit lymphoma into the aggressive lymphoma spectrum: a square peg in a round hole?	MYC
34882582	10.1172/JCI153283	2022	Genomic and transcriptomic profiling reveals distinct molecular subsets associated with outcomes in mantle cell lymphoma.	MYC
34910327	10.1111/jop.13269	2022	Oral versus extra-oral plasmablastic lymphoma: A comparative analysis of 101 cases.	MYC
34951009	10.1111/bjh.17971	2022	Prognostic impact of TP53 mutation in newly diagnosed diffuse large B-cell lymphoma patients treated in the FIL-DLCL04 trial.	MYC
34980601	10.1158/1078-0432.CCR-21-2949	2022	Genetic Subtyping and Phenotypic Characterization of the Immune Microenvironment and MYC/BCL2 Double Expression Reveal Heterogeneity in Diffuse Large B-cell Lymphoma.	MYC
35013138	10.1038/s41420-021-00622-w	2022	Knockdown of NRMT enhances sensitivity of retinoblastoma cells to cisplatin through upregulation of the CENPA/Myc/Bcl2 axis.	MYC
35031886	10.1186/s43556-021-00066-9	2022	Combinatorial inhibition of BTK, PI3K-AKT and BRD4-MYC as a strategy for treatment of mantle cell lymphoma.	MYC
35036912	10.1177/2632010X211070774	2022	Rare but Potentially Fatal Presentations of Diffuse Large B-cell Lymphoma: Leukemic Phase or Hemophagocytic Syndrome in Bone Marrow.	MYC
35045798	10.1080/10428194.2021.2024821	2022	High grade B-cell lymphoma with <i>MYC</i>, <i>BCL2</i> and/or <i>BCL6</i> rearrangements: unraveling the genetic landscape of a rare aggressive subtype of non-Hodgkin lymphoma.	MYC
35046056	10.1158/1078-0432.CCR-21-3617	2022	First-in-Human Dose-Escalation Study of Cyclin-Dependent Kinase 9 Inhibitor VIP152 in Patients with Advanced Malignancies Shows Early Signs of Clinical Efficacy.	MYC
35054466	10.3390/life12010073	2022	The Pathologic and Genetic Characteristics of Extranodal NK/T-Cell Lymphoma.	MYC
35082399	10.1038/s41417-021-00415-4	2022	CDK12 activates MYC to repress miR-28-5p/EZH2 and amplifies tonic BCR signaling to promote the development of diffuse large B-cell lymphoma.	MYC
35091546	10.1038/s41420-022-00833-9	2022	Pharmacological targeting PIKfyve and tubulin as an effective treatment strategy for double-hit lymphoma.	MYC
35152630	10.3760/cma.j.cn112151-20210826-00604	2022	[Clinicopathological features and prognosis of high-grade B-cell lymphoma with MYC and bcl-2 and/or bcl-6 rearrangements].	MYC
35183824	10.1016/j.prp.2022.153804	2022	Immunohistochemical algorithms and gene expression profiling in primary cutaneous B-cell lymphoma.	MYC
35198451	10.3389/fonc.2022.834288	2022	Prognostic Value of Radiomic Features of <sup>18</sup>F-FDG PET/CT in Patients With B-Cell Lymphoma Treated With CD19/CD22 Dual-Targeted Chimeric Antigen Receptor T Cells.	MYC
35223507	10.3389/fonc.2022.824632	2022	<i>PIM1</i> and <i>CD79B</i> Mutation Status Impacts the Outcome of Primary Diffuse Large B-Cell Lymphoma of the CNS.	MYC
35231992	10.3760/cma.j.issn.0253-2727.2022.01.009	2022	[MYC and BCL-2 protein co-expression and prognosis of patients with diffuse large B-cell lymphoma: a propensity score matching analysis].	MYC
35255429	10.1016/j.anndiagpath.2021.151886	2022	De Novo CD5-positive diffuse large B-cell lymphoma: A genomic profiling study and prognostic analysis of 46 patients.	MYC
35266562	10.1002/ajh.26523	2022	Mantle cell lymphoma in 2022-A comprehensive update on molecular pathogenesis, risk stratification, clinical approach, and current and novel treatments.	MYC
35279534	10.1016/j.theriogenology.2022.02.028	2022	Ascorbic acid regulates mouse spermatogonial stem cell proliferation in a Wnt/β-catenin/ROS signaling dependent manner.	MYC
35296646	10.1038/s41419-022-04684-1	2022	Dual BTK/SYK inhibition with CG-806 (luxeptinib) disrupts B-cell receptor and Bcl-2 signaling networks in mantle cell lymphoma.	MYC
35297566	10.1111/pin.13223	2022	Clinicopathological analysis of follicular lymphoma with BCL2, BCL6, and MYC rearrangements.	MYC
35299080	10.1016/j.anndiagpath.2022.151913	2022	HIV-associated DLBCL: Clinicopathological factors including dual-colour chromogenic in situ hybridisation to assess MYC gene copies.	MYC
35303910	10.1186/s13045-022-01249-9	2022	Altered pathways and targeted therapy in double hit lymphoma.	MYC
35306137	10.1016/j.cellsig.2022.110311	2022	B-cell receptor signaling induces proteasomal degradation of PDCD4 via MEK1/2 and mTORC1 in malignant B cells.	MYC
35411950	10.1002/cbf.3702	2022	USP7 sustains an active epigenetic program via stabilizing MLL2 and WDR5 in diffuse large B-cell lymphoma.	MYC
35414839	NA	2022	Primary ovarian Burkitt lymphoma: report of a case and review of literature.	MYC
35444774	10.4084/MJHID.2022.018	2022	TdT Positive Lymphoma with MYC, BCL2 and BCL6 Rearrangements: A Review of Diagnosis and Treatment.	MYC
35481444	10.1080/10428194.2022.2064988	2022	Impact of autograft-absolute lymphocyte count on survival in double/triple hit lymphomas post-autologous stem cell transplantation.	MYC
35482553	10.1002/hon.3010	2022	Targeting MYC and BCL2 by a natural compound for double-hit lymphoma.	MYC
35484682	10.3324/haematol.2021.280557	2022	Molecular characterisation and clinical outcome of B-cell precursor acute lymphoblastic leukaemia with IG-MYC rearrangement.	MYC
35489963	10.1016/j.blre.2022.100967	2022	ABCs of ADCs in management of relapsed/refractory diffuse large B-cell lymphoma.	MYC
35498426	10.3389/fendo.2022.846357	2022	Identification and Validation of a Prognostic Prediction Model in Diffuse Large B-Cell Lymphoma.	MYC
35510016	10.7759/cureus.23681	2022	Incidental Pathogenic Fibrin-Associated Diffuse Large B-cell Lymphoma Found During Aorto-Biiliac Bypass.	MYC
35511691	10.1093/ajcp/aqac047	2022	A Combined Biomarker of Bright CD38 and MYC ≥55% Is Highly Predictive of Double-/Triple-Hit High-Grade B-Cell Lymphoma.	MYC
35538643	10.1002/cam4.4742	2022	Clinical presentation, outcome, and prognostic markers in patients with intravascular large B-cell lymphoma, a lymphoma study association (LYSA) retrospective study.	MYC
35539018	10.1016/j.lrr.2022.100318	2022	A very rare case of extranodal B-cell non-Hodgkin lymphoma presenting with adrenal and heart involvement.	MYC
35578798	10.1002/jcp.30777	2022	Neddylation inactivation affects cell cycle and apoptosis in sheep follicular granulosa cells.	MYC
35583405	10.1097/DAD.0000000000002053	2022	Histological Transformation and Clonal Relationship of Subcutaneous Marginal Zone B-Cell Lymphoma and Diffuse Large B-Cell Lymphoma.	MYC
35595618	10.1016/j.clml.2022.04.010	2022	Baseline Total Metabolic Tumor Volume is Prognostic for Refractoriness to Immunochemotherapy in DLBCL: Results From GOYA.	MYC
35652622	10.4149/neo_2022_220318N300	2022	High-grade B-cell lymphoma with MYC and BCL2 and/or BCL6 rearrangements: Biopsy analysis of 70 cases from the Slovak Lymphoma Registry.	MYC
35657404	10.1007/s00428-022-03342-3	2022	Plasmablastic myeloma in Taiwan frequently presents with extramedullary and extranodal mass mimicking plasmablastic lymphoma.	MYC
35696785	10.1016/j.biomaterials.2022.121607	2022	Double-drug loading upconversion nanoparticles for monitoring and therapy of a MYC/BCL6-positive double-hit diffuse large B-cell lymphoma.	MYC
35705274	10.2169/internalmedicine.9711-22	2022	Biclonal diffuse large B-cell lymphoma commonly characterized by partial trisomy 18q involving MALT1 and BCL2.	MYC
35715938	10.1002/cjp2.283	2022	Decreased CD11c-positive dendritic cells in the tumor microenvironment predict double-hit/triple-hit genotype and survival in diffuse large B-cell lymphoma.	MYC
35726023	10.1038/s41684-022-00998-x	2022	The genomic landscape of canine diffuse large B-cell lymphoma identifies distinct subtypes with clinical and therapeutic implications.	MYC
35774514	10.3389/fgene.2022.827840	2022	A Novel Defined Super-Enhancer Associated Gene Signature to Predict Prognosis in Patients With Diffuse Large B-Cell Lymphoma.	MYC
35774848	10.1155/2022/3276925	2022	Identification of CXCR4 Upregulation in Diffuse Large B-Cell Lymphoma Associated with Prognostic Significance and Clinicopathological Characteristics.	MYC
35787399	10.1016/j.jid.2022.06.005	2022	The Robust Tumoricidal Effects of Combined BET/HDAC Inhibition in Cutaneous T-Cell Lymphoma Can Be Reproduced by ΔNp73 Depletion.	MYC
35815807	10.1158/0008-5472.CAN-21-2454	2022	The X-Linked Helicase DDX3X Is Required for Lymphoid Differentiation and MYC-Driven Lymphomagenesis.	MYC
35846201	10.1002/jha2.310	2022	Redefining the high-grade B cell lymphoma with double/triple rearrangements of MYC and BCL2/BCL6 genes. Learning from a case report.	MYC
35869021	10.1016/j.clml.2022.06.011	2022	Patterns of Utilization and Outcomes of Autologous Stem Cell Transplantation and Chimeric Antigen Receptor T-Cell Therapy in Relapsed or Refractory Diffuse Large B-cell Lymphomas with MYC and BCL2 and/or BCL6 Rearrangements.	MYC
35882439	10.1182/bloodadvances.2022007541	2022	Genetic and immunohistochemical profiling of NK/T-cell Lymphomas reveals prognostically relevant BCOR-MYC association.	MYC
35884496	10.3390/cancers14143434	2022	Classifying Germinal Center Derived Lymphomas-Navigate a Complex Transcriptional Landscape.	MYC
35885931	10.3390/genes13071144	2022	Targeting a Novel G-Quadruplex in the <i>CARD11</i> Oncogene Promoter with Naptho(2,1-b)furan-1-ethanol,2-nitro- Requires the Nitro Group.	MYC
35916333	10.1002/dc.25027	2022	HHV8-negative primary effusion-based large B-cell lymphoma in a patient with chronic myeloid leukemia, BCR::ABL1-positive under dasatinib treatment: Report of a new case and literature review.	MYC
35916644	10.1097/QAI.0000000000003069	2022	Diffuse Large B-cell Lymphoma in the public-sector of Johannesburg, South Africa, in the era of widescale Anti-retroviral therapy use.	MYC
35920412	10.1002/jbt.23185	2022	Inhibiting AKT signaling pathway with cilostazol and meloxicam synergism for suppressing K562 cells in vitro.	MYC
35932211	10.1002/hon.3061	2022	Distribution of lymphoma subtypes in Ukraine according to the WHO 2016 classification.	MYC
35952327	10.1200/JCO.22.00597	2022	Smart Start: Rituximab, Lenalidomide, and Ibrutinib in Patients With Newly Diagnosed Large B-Cell Lymphoma.	MYC
