pmid	doi	year	title	Hugo_Symbol
34325497	10.4143/crt.2021.752	2022	Plasma Circulating Tumor DNA in Patients with Primary Central Nervous System Lymphoma.	MYD88
34411492	10.1139/cjpp-2021-0007	2022	Colchicine attenuates renal ischemia-reperfusion-induced liver damage: implication of TLR4/NF-κB, TGF-β, and <i>BAX</i> and <i>Bcl-2</i> gene expression.	MYD88
34448823	10.1182/bloodadvances.2021004212	2022	The molecular hallmarks of primary and secondary vitreoretinal lymphoma.	MYD88
34638136	10.1182/bloodadvances.2020003698	2022	Zanubrutinib monotherapy for relapsed or refractory non-germinal center diffuse large B-cell lymphoma.	MYD88
34654055	10.1182/bloodadvances.2021006034	2022	Diffuse large B-cell lymphomas in adults with aberrant coexpression of CD10, BCL6, and MUM1 are enriched in IRF4 rearrangements.	MYD88
34802044	10.1038/s41379-021-00954-z	2022	A novel diagnostic approach for the classification of small B-cell lymphoid neoplasms based on the NanoString platform.	MYD88
35020191	10.1111/bjh.18036	2022	Diagnosis and management of Waldenström macroglobulinaemia-A British Society for Haematology guideline.	MYD88
35028710	10.1007/s00428-021-03265-5	2022	Cell-of-origin classification using the Hans and Lymph2Cx algorithms in primary cutaneous large B-cell lymphomas.	MYD88
35030632	10.1182/bloodadvances.2021006410	2022	Distinct clinical and genetic features of hepatitis B virus-associated follicular lymphoma in Chinese patients.	MYD88
35044826	10.1126/sciadv.abl4644	2022	Preneoplastic somatic mutations including <i>MYD88</i><sup>L265P</sup> in lymphoplasmacytic lymphoma.	MYD88
35096069	10.1155/2022/1182384	2022	Utility of Bruton's Tyrosine Kinase Inhibitors in Light Chain Amyloidosis Caused by Lymphoplasmacytic Lymphoma (Waldenström's Macroglobulinemia).	MYD88
35106936	10.1002/cam4.4550	2022	SGK1 mutation status can further stratify patients with germinal center B-cell-like diffuse large B-cell lymphoma into different prognostic subgroups.	MYD88
35126963	10.1177/20406207211072839	2022	MYD88<sup>L265P</sup> and CD79B double mutations type (MCD type) of diffuse large B-cell lymphoma: mechanism, clinical characteristics, and targeted therapy.	MYD88
35142151	10.3324/haematol.2021.279908	2022	A pilot study of the use of dynamic analysis of cell-free DNA from aqueous humor and vitreous fluid for the diagnosis and treatment monitoring of vitreoretinal lymphomas.	MYD88
35149375	10.1016/j.ctarc.2022.100527	2022	Current approach to Waldenström Macroglobulinemia.	MYD88
35169086	10.11477/mf.1436204531	2022	[Perspectives on Precision Medicine in Primary Central Nervous System Lymphoma].	MYD88
35210172	10.1016/j.preteyeres.2022.101053	2022	Challenges in the diagnosis and management of vitreoretinal lymphoma - Clinical and basic approaches.	MYD88
35223507	10.3389/fonc.2022.824632	2022	<i>PIM1</i> and <i>CD79B</i> Mutation Status Impacts the Outcome of Primary Diffuse Large B-Cell Lymphoma of the CNS.	MYD88
35236331	10.1186/s12885-022-09237-5	2022	Prognostic mutational subtyping in de novo diffuse large B-cell lymphoma.	MYD88
35255429	10.1016/j.anndiagpath.2021.151886	2022	De Novo CD5-positive diffuse large B-cell lymphoma: A genomic profiling study and prognostic analysis of 46 patients.	MYD88
35255496	10.1182/bloodadvances.2021006147	2022	A new role for the SRC family kinase HCK as a driver of SYK activation in MYD88 mutated lymphomas.	MYD88
