pmid	doi	year	title	Hugo_Symbol
35089437	10.1007/s00018-022-04139-y	2022	A20 undermines alternative NF-κB activity and expression of anti-apoptotic genes in Helicobacter pylori infection.	NFKB1
36009586	10.3390/biomedicines10082038	2022	Genomic Aberrations Generate Fusion Gene FOXK2::TP63 and Activate NFKB1 in Cutaneous T-Cell Lymphoma.	NFKB1
30887112	10.1007/s00109-019-01777-x	2019	Activation of NF-κB in B cell receptor signaling through Bruton's tyrosine kinase-dependent phosphorylation of IκB-α.	NFKB1
29593668	10.3389/fmicb.2018.00380	2018	Simulation Study of cDNA Dataset to Investigate Possible Association of Differentially Expressed Genes of Human THP1-Monocytic Cells in Cancer Progression Affected by Bacterial Shiga Toxins.	NFKB1
27840321	10.1016/j.freeradbiomed.2016.11.010	2017	Pro-apoptotic effects of lipid oxidation products: HNE at the crossroads of NF-κB pathway and anti-apoptotic Bcl-2.	NFKB1
28281555	10.1038/modpathol.2017.5	2017	NF-κB p50 activation associated with immune dysregulation confers poorer survival for diffuse large B-cell lymphoma patients with wild-type p53.	NFKB1
28368397	10.1038/onc.2017.90	2017	Molecular impact of selective NFKB1 and NFKB2 signaling on DLBCL phenotype.	NFKB1
28672935	10.3892/etm.2017.4464	2017	Next-generation sequencing reveals lymph node metastasis associated genetic markers in colorectal cancer.	NFKB1
26767426	10.1016/j.jid.2015.12.027	2016	MALT1 Protease Activity Controls the Expression of Inflammatory Genes in Keratinocytes upon Zymosan Stimulation.	NFKB1
26776161	10.1038/onc.2015.493	2016	Oncogenic CARMA1 couples NF-κB and β-catenin signaling in diffuse large B-cell lymphomas.	NFKB1
26792751	10.1128/JVI.03000-15	2016	The Major Histocompatibility Complex Class II Transactivator CIITA Inhibits the Persistent Activation of NF-κB by the Human T Cell Lymphotropic Virus Type 1 Tax-1 Oncoprotein.	NFKB1
27262792	10.1016/j.semcancer.2016.05.002	2016	Mechanisms of NF-κB deregulation in lymphoid malignancies.	NFKB1
27452667	10.1016/j.semcancer.2016.07.003	2016	MALT lymphoma: A paradigm of NF-κB dysregulation.	NFKB1
25960206	10.1002/gcc.22253	2015	NFkB is activated by multiple mechanisms in hairy cell leukemia.	NFKB1
25996250	10.1111/febs.13325	2015	MALT1--a universal soldier: multiple strategies to ensure NF-κB activation and target gene expression.	NFKB1
26487345	10.1038/srep15215	2015	Transcription factor and miRNA co-regulatory network reveals shared and specific regulators in the development of B cell and T cell.	NFKB1
26668357	10.1073/pnas.1507459112	2015	Lymphomagenic CARD11/BCL10/MALT1 signaling drives malignant B-cell proliferation via cooperative NF-κB and JNK activation.	NFKB1
24200242	10.1089/scd.2013.0270	2014	Resistance of hematopoietic progenitors to Fas-mediated apoptosis is actively sustained by NFκB with a characteristic transcriptional signature.	NFKB1
24704296	10.1016/j.canlet.2014.03.030	2014	The NF-κB inhibitor DHMEQ decreases survival factors, overcomes the protective activity of microenvironment and synergizes with chemotherapy agents in classical Hodgkin lymphoma.	NFKB1
19897484	10.1074/jbc.M109.050815	2010	B-cell CLL/lymphoma 10 (BCL10) is required for NF-kappaB production by both canonical and noncanonical pathways and for NF-kappaB-inducing kinase (NIK) phosphorylation.	NFKB1
19412164	10.1038/nature07968	2009	Mutations of multiple genes cause deregulation of NF-kappaB in diffuse large B-cell lymphoma.	NFKB1
19573080	10.1111/j.1365-2141.2009.07790.x	2009	Common genetic variants in candidate genes and risk of familial lymphoid malignancies.	NFKB1
19709433	10.1186/1476-4598-8-67	2009	STAT5 regulation of BCL10 parallels constitutive NFkappaB activation in lymphoid tumor cells.	NFKB1
19773279	10.1136/oem.2008.044024	2009	Association between genetic variants in VEGF, ERCC3 and occupational benzene haematotoxicity.	NFKB1
18252714	10.1074/jbc.M708833200	2008	Toll-like receptor 4 mediates induction of the Bcl10-NFkappaB-interleukin-8 inflammatory pathway by carrageenan in human intestinal epithelial cells.	NFKB1
18636124	10.1371/journal.pone.0002816	2008	Polymorphisms in the estrogen receptor 1 and vitamin C and matrix metalloproteinase gene families are associated with susceptibility to lymphoma.	NFKB1
17356384	10.1097/01.jnen.0000248553.45456.96	2007	Transcriptional profiling of the nuclear factor-kappaB pathway identifies a subgroup of primary lymphoma of the central nervous system with low BCL10 expression.	NFKB1
17502353	10.1128/MCB.01645-06	2007	Phosphorylation of Bcl10 negatively regulates T-cell receptor-mediated NF-kappaB activation.	NFKB1
15231650	10.1158/0008-5472.CAN-03-3885	2004	High-throughput retroviral tagging for identification of genes involved in initiation and progression of mouse splenic marginal zone lymphomas.	NFKB1
15514680	10.1038/sj.embor.7400280	2004	Induction of apoptosis and activation of NF-kappaB by CD95 require different signalling thresholds.	NFKB1
12032828	10.1038/sj.onc.1205483	2002	NF-kappaB activates Bcl-2 expression in t(14;18) lymphoma cells.	NFKB1
