pmid	doi	year	title	Hugo_Symbol
35296646	10.1038/s41419-022-04684-1	2022	Dual BTK/SYK inhibition with CG-806 (luxeptinib) disrupts B-cell receptor and Bcl-2 signaling networks in mantle cell lymphoma.	NFKBIA
35600392	10.3389/fonc.2022.881801	2022	SOCS3 Acts as an Onco-immunological Biomarker With Value in Assessing the Tumor Microenvironment, Pathological Staging, Histological Subtypes, Therapeutic Effect, and Prognoses of Several Types of Cancer.	NFKBIA
35885481	10.3390/diagnostics12071575	2022	Cell-Free DNA for Genomic Analysis in Primary Mediastinal Large B-Cell Lymphoma.	NFKBIA
32961552	10.1182/blood.2020007507	2021	Mutational landscape of gray zone lymphoma.	NFKBIA
34405005	10.7150/jca.60390	2021	Serial surveillance by circulating tumor DNA profiling after chimeric antigen receptor T therapy for the guidance of r/r diffuse large B cell lymphoma precise treatment.	NFKBIA
30887112	10.1007/s00109-019-01777-x	2019	Activation of NF-κB in B cell receptor signaling through Bruton's tyrosine kinase-dependent phosphorylation of IκB-α.	NFKBIA
27566587	10.18632/oncotarget.11548	2016	Recurrent mutations in NF-κB pathway components, KMT2D, and NOTCH1/2 in ocular adnexal MALT-type marginal zone lymphomas.	NFKBIA
21526201	10.1371/journal.pone.0018933	2011	Hepatitis C virus protects human B lymphocytes from Fas-mediated apoptosis via E2-CD81 engagement.	NFKBIA
21896478	10.1074/jbc.M111.263384	2011	The E3 ubiquitin ligase mind bomb-2 (MIB2) protein controls B-cell CLL/lymphoma 10 (BCL10)-dependent NF-κB activation.	NFKBIA
20466000	10.1016/j.yexcr.2010.05.004	2010	Lipopolysaccharide-induced activation of NF-κB non-canonical pathway requires BCL10 serine 138 and NIK phosphorylations.	NFKBIA
20937806	10.1074/jbc.M110.159681	2010	Tumor necrosis factor alpha-induced inflammation is increased but apoptosis is inhibited by common food additive carrageenan.	NFKBIA
19219072	10.1038/onc.2009.6	2009	Matrix Metalloproteinase-9 gene induction by a truncated oncogenic NF-kappaB2 protein involves the recruitment of MLL1 and MLL2 H3K4 histone methyltransferase complexes.	NFKBIA
19573080	10.1111/j.1365-2141.2009.07790.x	2009	Common genetic variants in candidate genes and risk of familial lymphoid malignancies.	NFKBIA
19773279	10.1136/oem.2008.044024	2009	Association between genetic variants in VEGF, ERCC3 and occupational benzene haematotoxicity.	NFKBIA
18235046	10.1182/blood-2007-08-108654	2008	PRDM1 is involved in chemoresistance of T-cell lymphoma and down-regulated by the proteasome inhibitor.	NFKBIA
18636124	10.1371/journal.pone.0002816	2008	Polymorphisms in the estrogen receptor 1 and vitamin C and matrix metalloproteinase gene families are associated with susceptibility to lymphoma.	NFKBIA
17540779	10.1152/ajpgi.00149.2007	2007	Bcl10 mediates LPS-induced activation of NF-kappaB and IL-8 in human intestinal epithelial cells.	NFKBIA
