pmid	doi	year	title	Hugo_Symbol
33297669	10.3324/haematol.2020.267294	2022	Phenogenomic heterogeneity of post-transplant plasmablastic lymphomas.	NOTCH1
34624096	10.1182/blood.2020010405	2022	ETV6-NCOA2 fusion induces T/myeloid mixed-phenotype leukemia through transformation of nonthymic hematopoietic progenitor cells.	NOTCH1
34882582	10.1172/JCI153283	2022	Genomic and transcriptomic profiling reveals distinct molecular subsets associated with outcomes in mantle cell lymphoma.	NOTCH1
35106936	10.1002/cam4.4550	2022	SGK1 mutation status can further stratify patients with germinal center B-cell-like diffuse large B-cell lymphoma into different prognostic subgroups.	NOTCH1
35300216	10.2147/JIR.S341355	2022	The Mutation of <i>BTG2</i> Gene Predicts a Poor Outcome in Primary Testicular Diffuse Large B-Cell Lymphoma.	NOTCH1
35734596	10.3389/fonc.2022.846573	2022	The Clinical Characteristics and Prognosis of AYA and Older Adult ETP-ALL/LBL: A Real-World Multicenter Study in China.	NOTCH1
35774848	10.1155/2022/3276925	2022	Identification of CXCR4 Upregulation in Diffuse Large B-Cell Lymphoma Associated with Prognostic Significance and Clinicopathological Characteristics.	NOTCH1
36000950	10.1002/pbc.29926	2022	Diverse mutations and structural variations contribute to Notch signaling deregulation in paediatric T-cell lymphoblastic lymphoma.	NOTCH1
32273478	10.3324/haematol.2020.251579	2021	Genetic lesions in MYC and STAT3 drive oncogenic transcription factor overexpression in plasmablastic lymphoma.	NOTCH1
33152759	10.1182/blood.2020005381	2021	Integrative genomic analysis of pediatric T-cell lymphoblastic lymphoma reveals candidates of clinical significance.	NOTCH1
33479306	10.1038/s41598-020-80376-0	2021	Proposal and validation of a method to classify genetic subtypes of diffuse large B cell lymphoma.	NOTCH1
33775465	10.1016/j.blre.2021.100824	2021	Revisiting Richter transformation in the era of novel CLL agents.	NOTCH1
33777778	10.3389/fonc.2021.628807	2021	Mutational Profile and Clonal Evolution of Relapsed/Refractory Diffuse Large B-Cell Lymphoma.	NOTCH1
