pmid	doi	year	title	Hugo_Symbol
34325497	10.4143/crt.2021.752	2022	Plasma Circulating Tumor DNA in Patients with Primary Central Nervous System Lymphoma.	PIM1
34448823	10.1182/bloodadvances.2021004212	2022	The molecular hallmarks of primary and secondary vitreoretinal lymphoma.	PIM1
34714908	10.1182/bloodadvances.2021005486	2022	Integrative genomic and transcriptomic analysis in plasmablastic lymphoma identifies disruption of key regulatory pathways.	PIM1
35030632	10.1182/bloodadvances.2021006410	2022	Distinct clinical and genetic features of hepatitis B virus-associated follicular lymphoma in Chinese patients.	PIM1
35106936	10.1002/cam4.4550	2022	SGK1 mutation status can further stratify patients with germinal center B-cell-like diffuse large B-cell lymphoma into different prognostic subgroups.	PIM1
35223507	10.3389/fonc.2022.824632	2022	<i>PIM1</i> and <i>CD79B</i> Mutation Status Impacts the Outcome of Primary Diffuse Large B-Cell Lymphoma of the CNS.	PIM1
35300216	10.2147/JIR.S341355	2022	The Mutation of <i>BTG2</i> Gene Predicts a Poor Outcome in Primary Testicular Diffuse Large B-Cell Lymphoma.	PIM1
35401516	10.3389/fimmu.2022.842439	2022	Oncogenic Mutations and Tumor Microenvironment Alterations of Older Patients With Diffuse Large B-Cell Lymphoma.	PIM1
35646048	10.3389/fgene.2022.878618	2022	Whole-Genome/Exome Sequencing Uncovers Mutations and Copy Number Variations in Primary Diffuse Large B-Cell Lymphoma of the Central Nervous System.	PIM1
35928872	10.3389/fonc.2022.932674	2022	Cell-Free DNA Sequencing of Intraocular Fluid as Liquid Biopsy in the Diagnosis of Vitreoretinal Lymphoma.	PIM1
35937947	10.1155/2022/6441139	2022	Genomic Mutation Landscape of Primary Breast Lymphoma: Next-Generation Sequencing Analysis.	PIM1
36081566	10.3389/fonc.2022.941347	2022	Molecular subtyping of CD5+ diffuse large B-cell lymphoma based on DNA-targeted sequencing and Lymph2Cx.	PIM1
32139889	10.1038/s41375-020-0766-4	2021	Targeting of inflammatory pathways with R2CHOP in high-risk DLBCL.	PIM1
32973328	10.1038/s41379-020-00685-7	2021	The clinicopathological and molecular features of sinusoidal large B-cell lymphoma.	PIM1
33202420	10.1182/blood.2020008520	2021	EBV-associated primary CNS lymphoma occurring after immunosuppression is a distinct immunobiological entity.	PIM1
33479306	10.1038/s41598-020-80376-0	2021	Proposal and validation of a method to classify genetic subtypes of diffuse large B cell lymphoma.	PIM1
33581493	10.1016/j.ctarc.2021.100310	2021	Diversity of genetic alterations of primary central nervous system lymphoma in Hispanic versus non-Hispanic patients.	PIM1
33747936	10.3389/fonc.2021.622648	2021	Genomic Mutation Profile of Primary Gastrointestinal Diffuse Large B-Cell Lymphoma.	PIM1
