pmid	doi	year	title	Hugo_Symbol
33512466	10.1182/blood.2020010175	2021	OBF1 and Oct factors control the germinal center transcriptional program.	POU2F2
24435047	10.1182/blood-2013-05-500264	2014	Mutations in linker histone genes HIST1H1 B, C, D, and E; OCT2 (POU2F2); IRF8; and ARID1A underlying the pathogenesis of follicular lymphoma.	POU2F2
23292937	10.1073/pnas.1205299110	2013	Genetic heterogeneity of diffuse large B-cell lymphoma.	POU2F2
21424034	NA	2011	B-cell transcription factors Pax-5, Oct-2, BOB.1, Bcl-6, and MUM1 are useful markers for the diagnosis of nodular lymphocyte predominant Hodgkin lymphoma.	POU2F2
22158496	10.1700/989.10724	2011	Immunohistochemical expression of Mum-1, Oct-2 and Bcl-6 in systemic anaplastic large cell lymphomas.	POU2F2
18695675	10.1038/onc.2008.286	2008	Functional long-range interactions of the IgH 3' enhancers with the bcl-2 promoter region in t(14;18) lymphoma cells.	POU2F2
16186795	10.1038/sj.onc.1209127	2006	Oct transcription factors mediate t(14;18) lymphoma cell survival by directly regulating bcl-2 expression.	POU2F2
15257313	10.1038/modpathol.3800227	2004	Analysis of transcription factor OCT.1, OCT.2 and BOB.1 expression using tissue arrays in classical Hodgkin's lymphoma.	POU2F2
12507907	10.1016/s0002-9440(10)63815-1	2003	Primary mediastinal B-cell lymphoma: high frequency of BCL-6 mutations and consistent expression of the transcription factors OCT-2, BOB.1, and PU.1 in the absence of immunoglobulins.	POU2F2
14608905	10.1309/YCH8-DWUF-FQBK-GPVB	2003	The B-cell transcription factors BSAP, Oct-2, and BOB.1 and the pan-B-cell markers CD20, CD22, and CD79a are useful in the differential diagnosis of classic Hodgkin lymphoma.	POU2F2
