pmid	doi	year	title	Hugo_Symbol
34382383	10.3324/haematol.2020.263251	2022	Whole-genome profiling of primary cutaneous anaplastic large cell lymphoma.	PRDM1
35759728	10.1182/blood.2022015926	2022	Aberrant expansion of spontaneous splenic germinal centers induced by hallmark genetic lesions of aggressive lymphoma.	PRDM1
35794478	10.1038/s41586-022-04906-8	2022	Super-enhancer hypermutation alters oncogene expression in B cell lymphoma.	PRDM1
32273478	10.3324/haematol.2020.251579	2021	Genetic lesions in MYC and STAT3 drive oncogenic transcription factor overexpression in plasmablastic lymphoma.	PRDM1
32732362	10.3324/haematol.2020.254276	2021	Genetic manipulation of primary human natural killer cells to investigate the functional and oncogenic roles of PRDM1.	PRDM1
33199235	10.1016/j.intimp.2020.107137	2021	Agrimophol suppresses RANKL-mediated osteoclastogenesis through Blimp1-Bcl6 axis and prevents inflammatory bone loss in mice.	PRDM1
33426772	10.1111/cas.14806	2021	Genetic profile of adult T-cell leukemia/lymphoma in Okinawa: Association with prognosis, ethnicity, and HTLV-1 strains.	PRDM1
33629212	10.1007/s12032-021-01470-5	2021	Identification BCL6 and miR-30 family associating with Ibrutinib resistance in activated B-cell-like diffuse large B-cell lymphoma.	PRDM1
34236648	10.1007/978-1-0716-1669-7_20	2021	Generation and Surgical Analysis of Genetic Mouse Models to Study NF-κB-Driven Pathogenesis of Diffuse Large B Cell Lymphoma.	PRDM1
35008340	10.3390/cancers14010176	2021	Recent Advances in the Genetic of MALT Lymphomas.	PRDM1
31980558	10.1136/jclinpath-2019-206282	2020	Diagnostic value of bone marrow core biopsy patterns in lymphoplasmacytic lymphoma/Waldenström macroglobulinaemia and description of its mutational profiles by targeted NGS.	PRDM1
32012328	10.1002/hon.2718	2020	High throughput sequencing reveals high specificity of TNFAIP3 mutations in ocular adnexal marginal zone B-cell lymphomas.	PRDM1
32127923	10.1177/1758835919900856	2020	Epigenetic aberrations in natural killer/T-cell lymphoma: diagnostic, prognostic and therapeutic implications.	PRDM1
32533097	10.1038/s41388-020-1347-8	2020	The BLIMP1-EZH2 nexus in a non-Hodgkin lymphoma.	PRDM1
32565964	10.3892/ol.2020.11552	2020	Comprehensive characterization of driver genes in diffuse large B cell lymphoma.	PRDM1
32679859	10.3390/cancers12071912	2020	Role of ETS1 in the Transcriptional Network of Diffuse Large B Cell Lymphoma of the Activated B Cell-Like Type.	PRDM1
33017467	10.1182/bloodadvances.2020002049	2020	The synergistic proapoptotic effect of PARP-1 and HDAC inhibition in cutaneous T-cell lymphoma is mediated via Blimp-1.	PRDM1
33252851	10.1002/ctm2.221	2020	Influence of oncogenic mutations and tumor microenvironment alterations on extranodal invasion in diffuse large B-cell lymphoma.	PRDM1
33463110	10.18502/ijaai.v19i4.4118	2020	Increased Expression of B Lymphocyte Induced Maturation Protein 1 (BLIMP1) in Patients with Common Variable Immunodeficiency (CVID).	PRDM1
30348636	10.1158/1078-0432.CCR-18-1153	2019	Pan-HDAC Inhibitors Restore PRDM1 Response to IL21 in CREBBP-Mutated Follicular Lymphoma.	PRDM1
30935402	10.1186/s13045-019-0716-7	2019	Molecular pathogenic pathways in extranodal NK/T cell lymphoma.	PRDM1
31024321	10.3389/fphar.2019.00367	2019	Inhibitory Effect of KP-A038 on Osteoclastogenesis and Inflammatory Bone Loss Is Associated With Downregulation of Blimp1.	PRDM1
31378966	10.1002/ajh.25600	2019	Clinical and molecular characteristics of lymphoplasmacytic lymphoma not associated with an IgM monoclonal protein: A multicentric study of the Rete Ematologica Lombarda (REL) network.	PRDM1
31806993	10.2147/OTT.S227122	2019	Genomic Alterations In Primary Cardiac Diffuse Large B Cell Lymphoma: A Case Report And Literature Review.	PRDM1
29463002	10.3390/ijms19020601	2018	Inhibitory Effect of Purpurogallin on Osteoclast Differentiation in Vitro through the Downregulation of c-Fos and NFATc1.	PRDM1
29891112	10.1016/j.critrevonc.2018.05.010	2018	Molecular analysis in liquid biopsies for diagnostics of primary central nervous system lymphoma: Review of literature and future opportunities.	PRDM1
30274972	10.1158/2159-8290.CD-18-0657	2018	TET2 Deficiency Causes Germinal Center Hyperplasia, Impairs Plasma Cell Differentiation, and Promotes B-cell Lymphomagenesis.	PRDM1
28479318	10.1016/j.jid.2017.04.010	2017	Identification of Somatic Mutations in Primary Cutaneous Diffuse Large B-Cell Lymphoma, Leg Type by Massive Parallel Sequencing.	PRDM1
28494239	10.1016/j.chom.2017.04.005	2017	CRISPR/Cas9 Screens Reveal Epstein-Barr Virus-Transformed B Cell Host Dependency Factors.	PRDM1
28835384	10.1158/1535-7163.MCT-16-0840	2017	EZH2 Inhibition by Tazemetostat Results in Altered Dependency on B-cell Activation Signaling in DLBCL.	PRDM1
29262531	10.18632/oncotarget.21986	2017	Mutational profile of primary breast diffuse large B-cell lymphoma.	PRDM1
26111727	10.1111/nan.12259	2016	Recurrent mutations of CD79B and MYD88 are the hallmark of primary central nervous system lymphomas.	PRDM1
27363279	NA	2016	[Increased expressions of Blimp-1 and Bcl-6 in the deciduas of patients with unexplained recurrent spontaneous abortion].	PRDM1
27764808	10.18632/oncotarget.12680	2016	The feedback loop of LITAF and BCL6 is involved in regulating apoptosis in B cell non-Hodgkin's-lymphoma.	PRDM1
25991819	10.1158/1078-0432.CCR-14-2116	2015	Genome-Wide Analysis Uncovers Novel Recurrent Alterations in Primary Central Nervous System Lymphomas.	PRDM1
26054109	NA	2015	Decreased Bcl-6 and increased Blimp-1 in the peritoneal cavity of patients with endometriosis.	PRDM1
26289642	10.1182/blood-2015-02-626176	2015	The forkhead transcription factor FOXP1 represses human plasma cell differentiation.	PRDM1
24030746	10.1038/modpathol.2013.156	2014	Multiple genetic alterations in primary cutaneous large B-cell lymphoma, leg type support a common lymphomagenesis with activated B-cell-like diffuse large B-cell lymphoma.	PRDM1
24240734	10.1007/s00401-013-1202-x	2014	Systems biology of primary CNS lymphoma: from genetic aberrations to modeling in mice.	PRDM1
24487434	10.1038/nm.3442	2014	Fas ligand-mediated immune surveillance by T cells is essential for the control of spontaneous B cell lymphomas.	PRDM1
25232062	10.1182/blood-2014-07-590570	2014	FOXO1 repression contributes to block of plasma cell differentiation in classical Hodgkin lymphoma.	PRDM1
23269792	10.1128/JVI.03003-12	2013	Different patterns of Epstein-Barr virus latency in endemic Burkitt lymphoma (BL) lead to distinct variants within the BL-associated gene expression signature.	PRDM1
23355206	10.1309/AJCP0YGM8BLFYHJY	2013	Nuclear protein dysregulation in lymphoplasmacytic lymphoma/waldenstrom macroglobulinemia.	PRDM1
23980171	10.1073/pnas.1309378110	2013	The transcription factor Interferon Regulatory Factor 4 is required for the generation of protective effector CD8+ T cells.	PRDM1
24009228	10.1182/blood-2013-05-498329	2013	Understanding MYC-driven aggressive B-cell lymphomas: pathogenesis and classification.	PRDM1
24200695	10.1172/JCI70626	2013	Germinal center dysregulation by histone methyltransferase EZH2 promotes lymphomagenesis.	PRDM1
23027925	10.1084/jem.20112744	2012	Human lymphoma mutations reveal CARD11 as the switch between self-antigen-induced B cell death or proliferation and autoantibody production.	PRDM1
20966935	10.1038/leu.2010.230	2011	Follicular dendritic cell-induced microRNA-mediated upregulation of PRDM1 and downregulation of BCL-6 in non-Hodgkin's B-cell lymphomas.	PRDM1
