pmid	doi	year	title	Hugo_Symbol
34977845	10.1016/j.xjidi.2021.100068	2022	Genomic Analysis of Cutaneous CD30-Positive Lymphoproliferative Disorders.	SETD2
35030632	10.1182/bloodadvances.2021006410	2022	Distinct clinical and genetic features of hepatitis B virus-associated follicular lymphoma in Chinese patients.	SETD2
35522148	10.3324/haematol.2021.280005	2022	Focal structural variants revealed by whole genome sequencing disrupt the histone demethylase <i>KDM4C</i> in B cell lymphomas.	SETD2
35726023	10.1038/s41684-022-00998-x	2022	The genomic landscape of canine diffuse large B-cell lymphoma identifies distinct subtypes with clinical and therapeutic implications.	SETD2
35895386	10.1111/bjd.21791	2022	Primary cutaneous peripheral T-cell lymphomas with a T-follicular helper phenotype: an integrative clinical, pathological and molecular case series study.	SETD2
31028364	10.1038/s41379-019-0279-8	2020	Whole exome sequencing reveals mutations in FAT1 tumor suppressor gene clinically impacting on peripheral T-cell lymphoma not otherwise specified.	SETD2
32469082	10.1002/cncr.32866	2020	Genome-defined African ancestry is associated with distinct mutations and worse survival in patients with diffuse large B-cell lymphoma.	SETD2
32695399	10.1186/s40364-020-00205-4	2020	Plasma circulating tumor DNA assessment reveals <i>KMT2D</i> as a potential poor prognostic factor in extranodal NK/T-cell lymphoma.	SETD2
30307363	10.1080/15384047.2018.1523857	2019	Successful implementation of genomically based treatment of chemotherapy refractory peripheral T-cell lymphoma (PTCL).	SETD2
31221981	10.1038/s12276-019-0230-6	2019	The cancer driver genes IDH1/2, JARID1C/ KDM5C, and UTX/ KDM6A: crosstalk between histone demethylation and hypoxic reprogramming in cancer metabolism.	SETD2
29305415	10.3324/haematol.2017.182444	2018	Histone modifier gene mutations in peripheral T-cell lymphoma not otherwise specified.	SETD2
28122867	10.1158/2159-8290.CD-16-0330	2017	The Genetic Basis of Hepatosplenic T-cell Lymphoma.	SETD2
27505670	10.1016/j.ccell.2016.07.006	2016	EZH2 and BCL6 Cooperate to Assemble CBX8-BCOR Complex to Repress Bivalent Promoters, Mediate Germinal Center Formation and Lymphomagenesis.	SETD2
27600764	10.1038/ncomms12602	2016	Type II enteropathy-associated T-cell lymphoma features a unique genomic profile with highly recurrent SETD2 alterations.	SETD2
