pmid	doi	year	title	Hugo_Symbol
33297669	10.3324/haematol.2020.267294	2022	Phenogenomic heterogeneity of post-transplant plasmablastic lymphomas.	SOCS1
34265801	10.1097/PAS.0000000000001780	2022	Plasticity of Mature B Cells Between Follicular and Classic Hodgkin Lymphomas: A Series of 22 Cases Expanding the Spectrum of Transdifferentiation.	SOCS1
34714908	10.1182/bloodadvances.2021005486	2022	Integrative genomic and transcriptomic analysis in plasmablastic lymphoma identifies disruption of key regulatory pathways.	SOCS1
34791836	10.1002/cam4.4422	2022	Identification of a genetic signature enriching for response to ibrutinib in relapsed/refractory follicular lymphoma in the DAWN phase 2 trial.	SOCS1
35075971	10.1080/10428194.2021.2010060	2022	Circulating tumor DNA in primary mediastinal large B-cell lymphoma versus classical Hodgkin lymphoma: a retrospective study.	SOCS1
35205765	10.3390/cancers14041018	2022	Integration of Baseline Metabolic Parameters and Mutational Profiles Predicts Long-Term Response to First-Line Therapy in DLBCL Patients: A Post Hoc Analysis of the SAKK38/07 Study.	SOCS1
35240014	10.4143/crt.2022.017	2022	Circulating Tumor DNA-Based Genotyping and Monitoring for Predicting Disease Relapses of Patients with Peripheral T-Cell Lymphomas.	SOCS1
35600392	10.3389/fonc.2022.881801	2022	SOCS3 Acts as an Onco-immunological Biomarker With Value in Assessing the Tumor Microenvironment, Pathological Staging, Histological Subtypes, Therapeutic Effect, and Prognoses of Several Types of Cancer.	SOCS1
35879731	10.1186/s40364-022-00401-4	2022	Dynamic change of soluble interleukin-2 receptor distinguished molecular heterogeneity and microenvironment alterations in diffuse large B-cell lymphoma.	SOCS1
35885481	10.3390/diagnostics12071575	2022	Cell-Free DNA for Genomic Analysis in Primary Mediastinal Large B-Cell Lymphoma.	SOCS1
32079702	10.3324/haematol.2019.237719	2021	Targeted genotyping of circulating tumor DNA for classical Hodgkin lymphoma monitoring: a prospective study.	SOCS1
32961552	10.1182/blood.2020007507	2021	Mutational landscape of gray zone lymphoma.	SOCS1
33684939	10.1182/blood.2020007683	2021	Characterization of DLBCL with a PMBL gene expression signature.	SOCS1
33899787	10.1097/PAS.0000000000001691	2021	The Positivity of Phosphorylated STAT3 Is a Novel Marker for Favorable Prognosis in Germinal Center B-Cell Type of Diffuse Large B-Cell Lymphoma.	SOCS1
33951889	10.3324/haematol.2020.271957	2021	MAPK and JAK-STAT pathways dysregulation in plasmablastic lymphoma.	SOCS1
34039950	10.1038/s41408-021-00493-5	2021	Genomic insights into the pathogenesis of Epstein-Barr virus-associated diffuse large B-cell lymphoma by whole-genome and targeted amplicon sequencing.	SOCS1
34272731	10.1111/bjh.17708	2021	EBV-positive HIV-associated diffuse large B cell lymphomas are characterized by JAK/STAT (STAT3) pathway mutations and unique clinicopathologic features.	SOCS1
34312841	10.1111/bjh.17719	2021	Liquid biopsy: a non-invasive approach for Hodgkin lymphoma genotyping.	SOCS1
34405005	10.7150/jca.60390	2021	Serial surveillance by circulating tumor DNA profiling after chimeric antigen receptor T therapy for the guidance of r/r diffuse large B cell lymphoma precise treatment.	SOCS1
34925435	10.3389/fgene.2021.677650	2021	Genetic Landscape of Relapsed and Refractory Diffuse Large B-Cell Lymphoma: A Systemic Review and Association Analysis With Next-Generation Sequencing.	SOCS1
31738823	10.1182/blood.2019002699	2020	Distinct molecular profile of IRF4-rearranged large B-cell lymphoma.	SOCS1
31774495	10.1182/blood.2019001904	2020	Gene alterations in epigenetic modifiers and JAK-STAT signaling are frequent in breast implant-associated ALCL.	SOCS1
32239385	10.1007/s11523-020-00710-4	2020	Genomic Alterations and MYD88<sup>MUT</sup> Variant Mapping in Patients with Diffuse Large B-Cell Lymphoma and Response to Ibrutinib.	SOCS1
32555149	10.1038/s41408-020-0335-0	2020	CREBBP and STAT6 co-mutation and 16p13 and 1p36 loss define the t(14;18)-negative diffuse variant of follicular lymphoma.	SOCS1
32947237	10.1016/j.tranon.2020.100855	2020	Identification of clinical molecular targets for childhood Burkitt lymphoma.	SOCS1
33045225	10.1016/j.humpath.2020.09.014	2020	The molecular landscape and other distinctive features of primary cutaneous follicle center lymphoma.	SOCS1
30211726	10.1097/PAS.0000000000001154	2019	Cyclin D1-positive Mediastinal Large B-Cell Lymphoma With Copy Number Gains of CCND1 Gene: A Study of 3 Cases With Nonmediastinal Disease.	SOCS1
30213827	10.3324/haematol.2018.203224	2019	<i>JUNB</i>, <i>DUSP2</i>, <i>SGK1</i>, <i>SOCS1</i> and <i>CREBBP</i> are frequently mutated in T-cell/histiocyte-rich large B-cell lymphoma.	SOCS1
31305266	10.1097/PAS.0000000000001324	2019	Chronic Active Epstein-Barr Virus Infection of T/NK-Cell Type Mimicking Classic Hodgkin Lymphoma: Clinicopathologic and Genetic Features of 8 Cases Supporting a Variant With Hodgkin/Reed-Sternberg-like Cells of NK Phenotype.	SOCS1
29650799	10.1182/blood-2017-11-814913	2018	Pervasive mutations of JAK-STAT pathway genes in classical Hodgkin lymphoma.	SOCS1
30054295	10.1182/blood-2018-01-829424	2018	Oncogenic activation of the STAT3 pathway drives PD-L1 expression in natural killer/T-cell lymphoma.	SOCS1
30087457	10.1038/s41374-018-0096-6	2018	Novel cell enrichment technique for robust genetic analysis of archival classical Hodgkin lymphoma tissues.	SOCS1
28302137	10.1186/s13045-017-0438-7	2017	Mutations of CREBBP and SOCS1 are independent prognostic factors in diffuse large B cell lymphoma: mutational analysis of the SAKK 38/07 prospective clinical trial cohort.	SOCS1
27198204	10.1038/leu.2016.135	2016	Distinct genetic evolution patterns of relapsing diffuse large B-cell lymphoma revealed by genome-wide copy number aberration and targeted sequencing analysis.	SOCS1
26599546	10.1371/journal.pone.0139663	2015	Genomic Landscape of Primary Mediastinal B-Cell Lymphoma Cell Lines.	SOCS1
22387553	10.4049/jimmunol.1102899	2012	Downregulation of inflammatory microRNAs by Ig-like transcript 3 is essential for the differentiation of human CD8(+) T suppressor cells.	SOCS1
10856136	10.1067/mai.2000.107604	2000	IL-4/IL-13 signaling beyond JAK/STAT.	SOCS1
