pmid	doi	year	title	Hugo_Symbol
33297669	10.3324/haematol.2020.267294	2022	Phenogenomic heterogeneity of post-transplant plasmablastic lymphomas.	STAT3
33579790	10.1136/gutjnl-2020-322935	2022	Oncogenetic landscape of lymphomagenesis in coeliac disease.	STAT3
34714908	10.1182/bloodadvances.2021005486	2022	Integrative genomic and transcriptomic analysis in plasmablastic lymphoma identifies disruption of key regulatory pathways.	STAT3
34917911	10.1016/j.jhepr.2021.100386	2022	ROCK2 inhibition attenuates profibrogenic immune cell function to reverse thioacetamide-induced liver fibrosis.	STAT3
34922904	10.1016/j.cbi.2021.109779	2022	Diffuse large B-cell lymphoma-derived exosomes push macrophage polarization toward M2 phenotype via GP130/STAT3 signaling pathway.	STAT3
34977845	10.1016/j.xjidi.2021.100068	2022	Genomic Analysis of Cutaneous CD30-Positive Lymphoproliferative Disorders.	STAT3
35136485	10.18632/oncotarget.28189	2022	GZ17-6.02 and axitinib interact to kill renal carcinoma cells.	STAT3
35578798	10.1002/jcp.30777	2022	Neddylation inactivation affects cell cycle and apoptosis in sheep follicular granulosa cells.	STAT3
35600392	10.3389/fonc.2022.881801	2022	SOCS3 Acts as an Onco-immunological Biomarker With Value in Assessing the Tumor Microenvironment, Pathological Staging, Histological Subtypes, Therapeutic Effect, and Prognoses of Several Types of Cancer.	STAT3
35651609	10.3389/fimmu.2022.878989	2022	Hyper-IgE and Carcinoma in CADINS Disease.	STAT3
35882439	10.1182/bloodadvances.2022007541	2022	Genetic and immunohistochemical profiling of NK/T-cell Lymphomas reveals prognostically relevant BCOR-MYC association.	STAT3
35884913	10.3390/biomedicines10071608	2022	Downregulation of STAT3 in Epstein-Barr Virus-Positive Hodgkin Lymphoma.	STAT3
36035991	10.3389/fcell.2022.935023	2022	Protein Kinase CK2 represents a new target to boost Ibrutinib and Venetoclax induced cytotoxicity in mantle cell lymphoma.	STAT3
32273478	10.3324/haematol.2020.251579	2021	Genetic lesions in MYC and STAT3 drive oncogenic transcription factor overexpression in plasmablastic lymphoma.	STAT3
32961552	10.1182/blood.2020007507	2021	Mutational landscape of gray zone lymphoma.	STAT3
33247999	10.1111/cas.14752	2021	Interleukin 6 regulates the expression of programmed cell death ligand 1 in thyroid cancer.	STAT3
33389078	10.1007/s00432-020-03446-w	2021	Vincristine upregulates PD-L1 and increases the efficacy of PD-L1 blockade therapy in diffuse large B-cell lymphoma.	STAT3
33544565	10.1097/PAS.0000000000001658	2021	Immunophenotypic Spectrum and Genomic Landscape of Refractory Celiac Disease Type II.	STAT3
33899787	10.1097/PAS.0000000000001691	2021	The Positivity of Phosphorylated STAT3 Is a Novel Marker for Favorable Prognosis in Germinal Center B-Cell Type of Diffuse Large B-Cell Lymphoma.	STAT3
33951889	10.3324/haematol.2020.271957	2021	MAPK and JAK-STAT pathways dysregulation in plasmablastic lymphoma.	STAT3
34039950	10.1038/s41408-021-00493-5	2021	Genomic insights into the pathogenesis of Epstein-Barr virus-associated diffuse large B-cell lymphoma by whole-genome and targeted amplicon sequencing.	STAT3
34272731	10.1111/bjh.17708	2021	EBV-positive HIV-associated diffuse large B cell lymphomas are characterized by JAK/STAT (STAT3) pathway mutations and unique clinicopathologic features.	STAT3
34282785	10.3390/cancers13133367	2021	Potent Anticancer Effects of Epidithiodiketopiperazine NT1721 in Cutaneous T Cell Lymphoma.	STAT3
34295778	10.21037/tp-21-39	2021	Effect of SOCS3 on apoptosis of human trophoblasts via adjustment of the JAK2/STAT3 signaling pathway in preterm birth.	STAT3
34447369	10.3389/fimmu.2021.671755	2021	Primary Immune Regulatory Disorders With an Autoimmune Lymphoproliferative Syndrome-Like Phenotype: Immunologic Evaluation, Early Diagnosis and Management.	STAT3
34455369	10.1016/j.bbrc.2021.08.051	2021	Involvement of EZH2 inhibition in lenalidomide and pomalidomide-mediated growth suppression in HTLV-1-infected cells.	STAT3
