pmid	doi	year	title	Hugo_Symbol
33579790	10.1136/gutjnl-2020-322935	2022	Oncogenetic landscape of lymphomagenesis in coeliac disease.	TNFAIP3
34494161	10.1007/s00428-021-03186-3	2022	Mutational landscape of marginal zone B-cell lymphomas of various origin: organotypic alterations and diagnostic potential for assignment of organ origin.	TNFAIP3
34560683	10.1097/PAS.0000000000001813	2022	A Comprehensive Clinicopathologic and Molecular Study of 19 Primary Effusion Lymphomas in HIV-infected Patients.	TNFAIP3
34605949	10.1007/s00277-021-04671-0	2022	Characterization of molecular genetics and clinicopathology in thymic MALT lymphoma.	TNFAIP3
34664256	10.1111/bjh.17894	2022	Tracking the evolution of untreated high-intermediate/high-risk diffuse large B-cell lymphoma by circulating tumour DNA.	TNFAIP3
34952945	10.1038/s41379-021-01002-6	2022	Genomic landscape of Epstein-Barr virus-positive extranodal marginal zone lymphomas of mucosa-associated lymphoid tissue.	TNFAIP3
35030632	10.1182/bloodadvances.2021006410	2022	Distinct clinical and genetic features of hepatitis B virus-associated follicular lymphoma in Chinese patients.	TNFAIP3
35075971	10.1080/10428194.2021.2010060	2022	Circulating tumor DNA in primary mediastinal large B-cell lymphoma versus classical Hodgkin lymphoma: a retrospective study.	TNFAIP3
35089437	10.1007/s00018-022-04139-y	2022	A20 undermines alternative NF-κB activity and expression of anti-apoptotic genes in Helicobacter pylori infection.	TNFAIP3
35236331	10.1186/s12885-022-09237-5	2022	Prognostic mutational subtyping in de novo diffuse large B-cell lymphoma.	TNFAIP3
35937947	10.1155/2022/6441139	2022	Genomic Mutation Landscape of Primary Breast Lymphoma: Next-Generation Sequencing Analysis.	TNFAIP3
36001451	10.1097/PAS.0000000000001956	2022	Targeted Mutational Profiling Reveals Clonal Relationships in Metachronous Occurrence of Classic Hodgkin and Mediastinal Large B-Cell Lymphomas.	TNFAIP3
32079702	10.3324/haematol.2019.237719	2021	Targeted genotyping of circulating tumor DNA for classical Hodgkin lymphoma monitoring: a prospective study.	TNFAIP3
32785655	10.1182/blood.2019004713	2021	Identification of MALT1 feedback mechanisms enables rational design of potent antilymphoma regimens for ABC-DLBCL.	TNFAIP3
32961552	10.1182/blood.2020007507	2021	Mutational landscape of gray zone lymphoma.	TNFAIP3
33263441	10.1080/17474086.2021.1856652	2021	Development of molecular intervention strategies for B-cell lymphoma.	TNFAIP3
33311649	10.1038/s41379-020-00720-7	2021	Targeted massively parallel sequencing of mature lymphoid neoplasms: assessment of empirical application and diagnostic utility in routine clinical practice.	TNFAIP3
