pmid	doi	year	title	Hugo_Symbol
32393046	10.1080/09603123.2020.1757043	2022	The expression of microRNAs and exposure to environmental contaminants related to human health: a review.	TP53
33297669	10.3324/haematol.2020.267294	2022	Phenogenomic heterogeneity of post-transplant plasmablastic lymphomas.	TP53
34289655	10.3324/haematol.2021.278638	2022	Dose-adjusted EPOCH and rituximab for the treatment of double expressor and double-hit diffuse large B-cell lymphoma: impact of TP53 mutations on clinical outcome.	TP53
34319003	10.1002/cnr2.1524	2022	Serum proteome modulations upon treatment provides biological insight on response to treatment in relapsed mantle cell lymphoma.	TP53
34332791	10.1016/j.pathol.2021.04.008	2022	Morphologic and molecular analysis of Richter syndrome in chronic lymphocytic leukaemia patients treated with ibrutinib or venetoclax.	TP53
34560683	10.1097/PAS.0000000000001813	2022	A Comprehensive Clinicopathologic and Molecular Study of 19 Primary Effusion Lymphomas in HIV-infected Patients.	TP53
34608246	10.1038/s41379-021-00909-4	2022	Blastoid high-grade B-cell lymphoma initially presenting in bone marrow: a diagnostic challenge.	TP53
34664256	10.1111/bjh.17894	2022	Tracking the evolution of untreated high-intermediate/high-risk diffuse large B-cell lymphoma by circulating tumour DNA.	TP53
34764434	10.1038/s41379-021-00962-z	2022	BCL2 super-expressor diffuse large B-cell lymphoma: a distinct subgroup associated with poor prognosis.	TP53
34788985	10.3324/haematol.2021.279631	2022	Mutational landscape of high-grade B-cell lymphoma with <i>MYC-</i>, <i>BCL2</i> and/or <i>BCL6</i> rearrangements characterized by whole-exome sequencing.	TP53
34791836	10.1002/cam4.4422	2022	Identification of a genetic signature enriching for response to ibrutinib in relapsed/refractory follicular lymphoma in the DAWN phase 2 trial.	TP53
34842019	10.1080/10428194.2021.2008383	2022	Fitting double-hit lymphoma into the aggressive lymphoma spectrum: a square peg in a round hole?	TP53
34861697	10.1182/bloodadvances.2021006156	2022	Epstein Barr virus-positive B-cell lymphoma is highly vulnerable to MDM2 inhibitors in vivo.	TP53
