pmid	doi	year	title	Hugo_Symbol
35857791	10.1080/15548627.2022.2100105	2022	Lack of COL6/collagen VI causes megakaryocyte dysfunction by impairing autophagy and inducing apoptosis.	XBP1
32855532	10.1038/s41401-020-00505-3	2021	Activation of unfolded protein response overcomes Ibrutinib resistance in diffuse large B-cell lymphoma.	XBP1
34093792	10.7150/jca.54952	2021	Aggregative Perivascular Tumor Cell Growth Pattern of Primary Central Nervous System Lymphomas Is Associated with Hypoxia-Related Endoplasmic Reticulum Stress.	XBP1
32376649	10.4049/jimmunol.2000172	2020	Rapid Death of Follicular B Cells and Burkitt Lymphoma Cells Effectuated by Xbp1s.	XBP1
30348636	10.1158/1078-0432.CCR-18-1153	2019	Pan-HDAC Inhibitors Restore PRDM1 Response to IL21 in CREBBP-Mutated Follicular Lymphoma.	XBP1
30966844	10.1080/21505594.2019.1605803	2019	The roles of apoptosis, autophagy and unfolded protein response in arbovirus, influenza virus, and HIV infections.	XBP1
28167662	10.1182/blood-2016-09-741348	2017	Impairment of both IRE1 expression and XBP1 activation is a hallmark of GCB DLBCL and contributes to tumor growth.	XBP1
28368397	10.1038/onc.2017.90	2017	Molecular impact of selective NFKB1 and NFKB2 signaling on DLBCL phenotype.	XBP1
27959929	10.1371/journal.pmed.1002197	2016	Histological Transformation and Progression in Follicular Lymphoma: A Clonal Evolution Study.	XBP1
25984893	10.1080/15548627.2015.1034402	2015	The GST-BHMT assay reveals a distinct mechanism underlying proteasome inhibition-induced macroautophagy in mammalian cells.	XBP1
26289642	10.1182/blood-2015-02-626176	2015	The forkhead transcription factor FOXP1 represses human plasma cell differentiation.	XBP1
26360498	10.1038/modpathol.2015.99	2015	Plasma cell and terminal B-cell differentiation in mantle cell lymphoma mainly occur in the SOX11-negative subtype.	XBP1
19717648	10.1182/blood-2009-01-201111	2009	C/EBPbeta regulates transcription factors critical for proliferation and survival of multiple myeloma cells.	XBP1
17651861	10.1016/j.ejcb.2007.05.006	2007	IRF4 negatively regulates proliferation of germinal center B cell-derived Burkitt's lymphoma cell lines and induces differentiation toward plasma cells.	XBP1
12200383	10.1182/blood-2002-01-0008	2002	A molecular compendium of genes expressed in multiple myeloma.	XBP1
