Gene	Curated	PMBL_De_Leval	MGZL_De_Leval	CHL_De_Leval	CHL_Wienand	CHL_Gomez	CHL_Alig	CHL_Desch	CHL_earliest_description
ACTB	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	NA
ACTG1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	31431735
ADGRG6	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	NA
AXDND1	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	37910143
ARID1A	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	NA
ARID5B	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA
B2M	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	NA
BIRC6	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA
BTG1	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	TRUE	NA
BCL7A	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	NA
CARD11	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA
CCND3	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	NA
CD58	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA
CD83	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA
CDKN2A	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	NA
CDH5	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	37910143
CHD8	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	NA
CHD2	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	NA
CIITA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	31431735
CISH	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	NA
CREBBP	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	NA
CSF2RB	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	NA
DDX3X	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	NA
DNAH12	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	NA
DTX1	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	NA
DUSP2	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	NA
EBF1	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	NA
EEF1A1	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	NA
EP300	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA
EGR1	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA
ETS1	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA
EWSR1	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	NA
EZH2	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	NA
FAS	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	NA
FAT1	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	NA
FAT4	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	NA
GNA13	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	NA
H1-2	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	NA
H1-3	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA
H1-4	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	NA
H1-5	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	NA
HLA-A		FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	31431735
HLA-B	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	NA
HLA-C	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA
IL4R	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	NA
IGLL5	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	NA
IRF8	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA
IRF4	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	NA
IKBKB	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	NA
ITPKB	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	NA
ITGB2	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	NA
JAK1	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	NA
KLF2	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	31431735
KMT2C	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	NA
KMT2D	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	NA
LTB	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	NA
LIMD2	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	37910143
MS4A1	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA
MYB	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	31431735
NFKBIA	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	NA
NFKBIE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	NA
NFKB2	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	NA
NSD2	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	NA
OR13C2	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	37910143
OSBPL10	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	NA
P2RY8	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	NA
PCDH7	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	37910143
PCBP1	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	NA
PCLO	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	NA
PHIP	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA
PIM1	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	NA
PIM2	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	NA
PRKDC	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	NA
PTPN1	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	NA
PTPRD	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA
RDH12	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	37910143
RHOA	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	NA
RBM38	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	NA
S1PR2	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	NA
SCN9A	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	37910143
SGK1	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA
SIN3A	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	NA
SMAD3	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA
SMARCA2	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	NA
SMARCA4	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	NA
SOCS1	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	NA
SPEN	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	NA
STAT3	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	NA
STAT6	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	NA
STRAP	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	37910143
TAP1	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	NA
TBL1XR1	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	NA
TCF3	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	NA
TET3	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	NA
TMSB4X	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	NA
TNFAIP3	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	NA
TNFRSF1B	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	NA
TP53	TRUE	TRUE	TRUE	TRUE	FALSE	TRUE	TRUE	TRUE	NA
TRAF3	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	NA
UBE2A	TRUE	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	NA
UBR5	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	NA
UNC5C	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	NA
VPS13B	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	NA
WEE1	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	NA
XPO1	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	TRUE	NA
ZFP36L1	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	NA
ZNF217	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	NA
