Gene	DLBCL Tier	FL Tier	BL Tier	Any Tier 1
ARID1A	1	1	1	Yes
BCL6	1	1	1	Yes
BCL7A	1	1	1	Yes
CCND3	1	1	1	Yes
CREBBP	1	1	1	Yes
EZH2	1	1	1	Yes
FOXO1	1	1	1	Yes
GNA13	1	1	1	Yes
GNAI2	1	1	1	Yes
HIST1H1E	1	1	1	Yes
IGLL5	1	1	1	Yes
KMT2D	1	1	1	Yes
MYC	1	1	1	Yes
SMARCA4	1	1	1	Yes
TP53	1	1	1	Yes
B2M	1	1	2	Yes
BCL2	1	1	2	Yes
CARD11	1	1	2	Yes
CD83	1	1	2	Yes
EBF1	1	1	2	Yes
HIST1H1B	1	1	2	Yes
IRF8	1	1	2	Yes
PIM1	1	1	2	Yes
TBL1XR1	1	1	2	Yes
TNFRSF14	1	1	2	Yes
HIST1H1C	1	1	3	Yes
HIST1H2AM	1	1	3	Yes
ACTB	1	1		Yes
BCL10	1	1		Yes
BTK	1	1		Yes
EEF1A1	1	1		Yes
EP300	1	1		Yes
FAS	1	1		Yes
HIST1H1D	1	1		Yes
HIST1H2AC	1	1		Yes
HIST1H2BC	1	1		Yes
HVCN1	1	1		Yes
KLHL6	1	1		Yes
MEF2B	1	1		Yes
POU2AF1	1	1		Yes
POU2F2	1	1		Yes
RRAGC	1	1		Yes
SGK1	1	1		Yes
SOCS1	1	1		Yes
STAT6	1	1		Yes
TMSB4X	1	1		Yes
TNFAIP3	1	1		Yes
DDX3X	1	2	1	Yes
P2RY8	1	2	1	Yes
RHOA	1	2	1	Yes
BTG1	1	2	2	Yes
CXCR4	1	2	2	Yes
S1PR2	1	2	2	Yes
BTG2	1	2	3	Yes
CD79B	1	2	3	Yes
ACTG1	1	2		Yes
CD70	1	2		Yes
DUSP2	1	2		Yes
IRF4	1	2		Yes
ITPKB	1	2		Yes
KLF2	1	2		Yes
LTB	1	2		Yes
MEF2C	1	2		Yes
MYD88	1	2		Yes
NFKBIA	1	2		Yes
TMEM30A	1	2		Yes
ZNF608	1	2		Yes
FBXO11	1		1	Yes
HNRNPU	1		1	Yes
PTEN	1		1	Yes
RFX7	1		1	Yes
SIN3A	1		1	Yes
CDKN2A	1		2	Yes
IKZF3	1		2	Yes
KMT2C	1		2	Yes
PRDM1	1		2	Yes
TET2	1		2	Yes
ZFP36L1	1		2	Yes
BRAF	1		3	Yes
DTX1	1		3	Yes
ETS1	1		3	Yes
HIST1H2BK	1		3	Yes
MTOR	1		3	Yes
NOTCH1	1		3	Yes
SF3B1	1		3	Yes
ATM	1			Yes
BIRC6	1			Yes
CD58	1			Yes
CIITA	1			Yes
ETV6	1			Yes
FBXW7	1			Yes
GRB2	1			Yes
GRHPR	1			Yes
HIST1H3B	1			Yes
HIST2H2BE	1			Yes
HLA-A	1			Yes
HLA-B	1			Yes
HLA-C	1			Yes
HLA-DMB	1			Yes
IL4R	1			Yes
JUNB	1			Yes
KLHL14	1			Yes
KRAS	1			Yes
LCOR	1			Yes
LRRN3	1			Yes
MGA	1			Yes
MPEG1	1			Yes
MS4A1	1			Yes
NFKBIE	1			Yes
NFKBIZ	1			Yes
NOL9	1			Yes
NOTCH2	1			Yes
OSBPL10	1			Yes
PIM2	1			Yes
PTPN6	1			Yes
RB1	1			Yes
SETD1B	1			Yes
SPEN	1			Yes
STAT3	1			Yes
TAF1	1			Yes
TOX	1			Yes
UBE2A	1			Yes
WEE1	1			Yes
XPO1	1			Yes
ZC3H12A	1			Yes
ZNF292	1			Yes
HIST1H2AG	2	1	3	Yes
MAP2K1	2	1		Yes
ID3	2		1	Yes
TCL1A	2		1	Yes
USP7	2		1	Yes
WNK1	2		1	Yes
PHF6	3		1	Yes
ATP6AP1		1		Yes
ATP6V1B2		1		Yes
CTSS		1		Yes
HIST1H2BG		1		Yes
VMA21		1		Yes
BACH2			1	Yes
BMP7			1	Yes
CHD8			1	Yes
PCBP1			1	Yes
TCF3			1	Yes
TFAP4			1	Yes
LAPTM5	2	2		No
PDS5B	2	2		No
PRKDC	2	2		No
PTPRD	2	2		No
SRRM2	2	2		No
MCL1	2		2	No
PIK3R1	2		3	No
RBP3	2		3	No
ABI3BP	2			No
ADAMTS1	2			No
ADAMTSL3	2			No
AICDA	2			No
AKAP8	2			No
ALDH3A2	2			No
ANKLE2	2			No
ANKRD12	2			No
ANKRD17	2			No
ARAP2	2			No
ARID5B	2			No
ASXL3	2			No
ATR	2			No
BAI1	2			No
BCL11A	2			No
BCL2L10	2			No
BCR	2			No
BIRC3	2			No
BRINP3	2			No
BRSK1	2			No
BTBD3	2			No
C12orf35	2			No
CADPS2	2			No
CAMTA1	2			No
CASP8	2			No
CD22	2			No
CD274	2			No
CD36	2			No
CD44	2			No
CD74	2			No
CDH9	2			No
CEP164	2			No
CNOT2	2			No
CNTNAP5	2			No
COL12A1	2			No
COQ7	2			No
CPS1	2			No
