Gene	Tier
ABI3BP	2
ACTB	1
ADAMTS1	2
ANKRD17	2
ANKRD12	2
ACTG1	1
AICDA	2
ARID1A	1
ARID1B	2
ARID5B	2
ATM	1
ATR	2
B2M	1
BCL10	1
BCL11A	1
BCL2	1
BCL6	1
BCL7A	1
BCOR	1
BCR	1
BIRC3	2
BIRC6	1
BRAF	1
BLK	2
BRINP3	2
BTBD3	2
BTG1	1
BTG2	1
BTK	1
CADPS2	2
CARD11	1
CASP8	1
CBLB	2
CCL4	2
CCND3	1
CD22	2
CD274	1
CD36	1
CD44	2
CD58	1
CD70	1
CD74	2
CD79B	1
CD83	1
CDC73	2
CDKN2A	1
CHD1	2
CHD8	2
CDH9	2
CNOT2	2
CNTNAP5	2
CHST2	2
CIITA	1
COQ7	2
CREBBP	1
CRIP1	2
CXCR4	1
CXCR5	1
DAZAP1	1
DCAF6	2
DDX10	2
DDX3X	1
DHX16	2
DICER1	2
DNAH5	2
DNMT3A	2
DNM2	2
DOCK1	2
DSG4	2
DTX1	1
DUSP2	1
EBF1	1
EEF1A1	1
EIF2AK3	2
EP300	1
ETS1	1
ETV6	1
EZH2	1
EZR	2
FAS	1
FAT4	2
FAM38B	2
FAM102A	2
FANK1	2
FBXO11	1
FBXW7	1
FCRL3	2
FNBP1	2
FNDC1	2
FOXC1	1
FOXO1	1
FOXP1	2
FUBP1	2
FUT5	2
GABRA2	2
GAK	2
GNA13	1
GNAI2	1
GNAS	2
GOLGA5	2
GPC5	2
GRB2	1
GRHPR	1
GSG2	2
HDAC7	2
HIST1H1B	1
HIST1H1C	1
HIST1H1D	1
HIST1H1E	1
HIST1H2AG	2
HIST1H2AC	1
HIST1H2AM	1
HIST1H2BC	1
HIST1H2BK	1
HIST1H3B	1
HIST2H2BE	1
HLA-A	1
HLA-B	1
HLA-C	1
HLA-DMA	1
HLA-DMB	1
HLA-DQA1	1
HNF1B	2
HNRNPD	1
HNRNPH1	1
HNRNPU	1
HRAS	2
HVCN1	1
ID3	2
IER2	2
IGLL5	2
IKBKB	2
IKBKE	2
IKZF3	1
IL16	1
IL4R	1
IL6	2
IFNGR1	2
INO80	2
IRF1	2
IRF4	1
IRF8	1
ITPKB	1
JAK1	2
JAK3	2
JUNB	1
KCMF1	2
KLF2	1
KLHL14	1
KLHL21	2
KLHL6	1
KMT2C	1
KMT2D	1
KRAS	1
LAMA5	2
LAPTM5	2
LRP12	2
LRRN3	2
LCOR	1
LIN54	2
LTB	1
LPP	2
IRAG2	2
MALAT1	2
NEAT1	2
LYN	1
MAGT1	2
MAP2K1	2
MAP4K4	2
MARK1	2
MCL1	1
MECOM	2
MEF2B	1
MEF2C	1
MET	2
MIR155HG	2
MGA	1
MPEG1	1
MS4A1	1
MSH2	2
MSH6	2
MPDZ	2
MTOR	1
MYB	2
MYBPC2	2
MYC	1
MYD88	1
MYOM2	1
MYO1E	2
NANOG	2
NAV1	2
NCOA3	2
NCOR1	2
NCOR2	1
NF1	2
NFKB1	1
NFKB2	2
NFKBIA	1
NFKBIE	1
NFKBIZ	1
NLRC5	1
NLRP5	2
NLRP8	2
NOL9	1
NOTCH1	1
NOTCH2	1
N2RF2	2
ODZ3	2
OSBPL10	1
P2RX5	2
P2RY8	1
PAPOLG	2
PTPN23	2
PASK	2
PAX5	2
PCBP1	1
PCLO	2
PCDHB11	2
PDE4DIP	2
PDS5B	2
PHF6	2
PIK3CD	2
PIK3R1	2
PIM1	1
PIM2	1
PKD1	2
POGZ	2
POU2AF1	1
POU2F2	1
PNPO	2
PPP1R9B	1
PRDM1	1
PRKCB	2
PRKDC	1
PRPS1	2
PTEN	1
PTMA	2
PTPN6	2
PTPRD	1
PTPRK	2
PTPN1	2
RAC2	2
RAD9A	2
RARA	2
RB1	1
RCC	2
RFX7	1
RFXAP	1
RFTN1	2
RHEX	2
RHOA	1
RHOH	2
RRAGC	1
RUNX1	2
RUBCNL	2
S1PR2	1
SEL1L3	2
SAMD9L	2
SARM1	2
SEPTIN9	2
SERPINA9	2
SETD1B	1
SETD2	2
SETD5	2
SF3B1	1
SGK1	1
SIN3A	1
SIAH2	2
SLC34A2	2
SMARCA4	1
SMEK1	2
SOCS1	1
SPEN	1
SRRM2	2
ST6GAL1	2
STAT3	1
STAT5B	2
STAT6	1
SYK	2
SYPL1	2
TAF1	1
TAP1	2
TBC1D4	2
TBL1XR1	1
TCL1A	2
TET2	1
TGFBR2	2
TIPARP	2
TLR2	2
TMEM30A	1
TMSB4X	1
TNFAIP3	1
TNFRSF14	1
TOX	1
TP53	1
TRAF3	2
TRAF6	2
TRIP12	1
TRRAP	1
MIR142	2
UBE2A	1
UBE2J1	2
UBR5	2
UNC5C	1
UNC5B	2
UNC5D	1
USP7	1
VPS13B	1
WAC	2
WDFY3	2
WNK1	2
WEE1	1
XBP1	2
XPO1	1
YY1	2
ZBTB7A	2
ZC3H12A	1
ZCCHC7	2
ZEB2	2
ZFAT	2
ZFP36L1	1
ZFX	2
ZNF292	1
ZNF423	2
ZNF608	1
ZNF217	2
