Gene	Tier
ABL2	2
ACTB	1
ACTG1	2
ARID1A	1
ATP6AP1	1
ATP6V1A	2
ATP6V1B2	1
B2M	1
BCL10	2
BCL2	1
BCL6	1
BCL7A	1
BIRC6	1
BTG1	1
BTG2	1
BTK	1
CARD11	1
CCND3	1
CCDC42BPB	2
CD70	2
CD79B	2
CD83	1
CILP	2
CPNE8	2
CREBBP	1
CTSS	1
CXCR4	2
CYP2A6	2
DDX3X	2
DTX1	1
DUSP2	2
DHX15	2
EBF1	1
EEF1A1	2
EP300	1
EZH2	1
EGR1    2
FAS	1
FOXO1	1
FZR1	2
GBP7	2
GNA13	1
GNAI2	1
GRM6	2
HIST1H1B	1
HIST1H1C	1
HIST1H1D	1
HIST1H1E	1
HIST1H2AC	1
HIST1H2AG	1
HIST1H2AM	1
HIST1H2BC	1
HIST1H2BD	1
HIST1H2BG	1
HIST1H2BM	2
HIST1H3B	1
HIST1H3G	1
HIST1H3I	2
HLA-B	2
HNRNPD	2
HVCN1	1
ID3	2
IGLL5	2
IRF4	1
IRF8	1
ITPKB	1
JUP	2
KIR3DL1	2
KLF2	1
KLHL6	1
KMT2D	1
LAPTM5	2
LTB	1
MAGEC1	2
MAP2K1	1
MAP7D1	2
MEF2B	1
MEF2C	1
MGEA5	2
MKI67	2
MYC	2
MYCBP2	2
MYD88	2
NFKBIA	2
OR8H2	2
P2RY8	2
PDS5B	2
PCLO	1
PIM1	1
POU2AF1	1
POU2F2	1
PPP4C	2
PTPRD	1
PRKDC	2
PZP	2
RRAGC	1
RBM6	2
S1PR2	1
SESN1	2
SGK1	1
SHROOM3	2
SMARCA4	1
SOCS1	1
SRRM2	2
STAB2	2
STAT6	1
TBL1XR1	1
TMEM30A	2
TMSB4X	1
TNFAIP3	1
TNFRSF14	1
TP53	1
VMA21	1
XIRP2	2
TPP1	2
ZC3H12A	2
